CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None,-0.394, None, None,2017-05-07 00:00:00, None, None,21.34,21.92,251.0, None, None, None, None, None, None, 120.8,19
None,-0.575, None, None,2017-05-07 01:00:00, None, None,22.15,18.14,255.6, None, None, None, None, None, None, 120.8,19
None,-0.773, None, None,2017-05-07 02:00:00, None, None,22.62,16.66,258.5, None, None, None, None, None, None, None,19
None,-0.962, None, None,2017-05-07 03:00:00, None, None,22.18,16.12,256.3, None, None, None, None, None, None, None,19
None,-1.104, None, None,2017-05-07 04:00:00, None, None,26.73,14.86,253.1, None, None, None, None, None, None, None,19
None,-1.181, None, None,2017-05-07 05:00:00, None, None,29.75,12.82,248.0, None, None, None, None, None, None, None,19
None,-0.242, None, None,2017-05-07 06:00:00, None, None,24.14,17.35,252.3, None, None, None, None, None, None, 120.9,19
None,0.175, None, None,2017-05-07 07:00:00, None, None,15.58,21.0,262.0, None, None, None, None, None, None, 120.4,19
None,3.138, None, None,2017-05-07 10:00:00, None, None,28.65,10.8,240.7, None, None, None, None, None, None, 119.9,19
None,3.243, None, None,2017-05-07 11:00:00, None, None,22.75,14.97,255.9, None, None, None, None, None, None, 120.2,19
None,4.626, None, None,2017-05-07 12:00:00, None, None,20.38,15.06,260.8, None, None, None, None, None, None, 119.5,19
None,3.844, None, None,2017-05-07 13:00:00, None, None,20.87,13.16,252.4, None, None, None, None, None, None, 119.5,19
None,4.046, None, None,2017-05-07 14:00:00, None, None,18.1,12.1,256.2, None, None, None, None, None, None, 119.7,19
None,4.494, None, None,2017-05-07 15:00:00, None, None,21.46,9.9,257.5, None, None, None, None, None, None, 119.2,19
None,4.693, None, None,2017-05-07 16:00:00, None, None,18.17,10.01,248.7, None, None, None, None, None, None, 118.0,19
None,4.426, None, None,2017-05-07 17:00:00, None, None,20.99,7.82,248.9, None, None, None, None, None, None, 118.8,19
None,4.141, None, None,2017-05-07 18:00:00, None, None,29.73,5.798,213.3, None, None, None, None, None, None, 119.5,19
None,2.961, None, None,2017-05-07 19:00:00, None, None,53.32,3.265,207.3, None, None, None, None, None, None, 119.3,19
None,1.118, None, None,2017-05-07 20:00:00, None, None,26.35,7.09,66.47, None, None, None, None, None, None, 119.5,19
None,0.122, None, None,2017-05-07 21:00:00, None, None,11.0,14.56,24.49, None, None, None, None, None, None, 118.4,19
None,-0.409, None, None,2017-05-07 22:00:00, None, None,10.09,17.14,28.66, None, None, None, None, None, None, 118.7,19
None,-0.613, None, None,2017-05-07 23:00:00, None, None,13.76,16.47,23.91, None, None, None, None, None, None, 119.8,19
None,-0.773, None, None,2017-05-08 00:00:00, None, None,15.96,16.42,22.69, None, None, None, None, None, None, None,19
None,-0.725, None, None,2017-05-08 01:00:00, None, None,13.71,14.2,27.6, None, None, None, None, None, None, None,19
None,-0.574, None, None,2017-05-08 02:00:00, None, None,11.92,13.87,19.75, None, None, None, None, None, None, None,19
None,-0.622, None, None,2017-05-08 03:00:00, None, None,12.75,13.53,24.49, None, None, None, None, None, None, None,19
None,-0.716, None, None,2017-05-08 04:00:00, None, None,18.68,11.19,26.66, None, None, None, None, None, None, None,19
None,-0.849, None, None,2017-05-08 05:00:00, None, None,12.91,10.7,22.09, None, None, None, None, None, None, None,19
None,-0.858, None, None,2017-05-08 06:00:00, None, None,14.64,11.23,28.84, None, None, None, None, None, None, None,19
