FIRE_SIZE_HA
4.0
0.009
0.009
0.9
4.0
0.009
0.009
0.009
0.84
0.0
1.9
0.9
0.9
1.9
0.0
0.9
0.009
4.0
0.0
0.0
0.4
0.84
0.0
4.0
0.009
165.0
5.0
17.6
0.15
5.6
0.009
5.6
5.0
0.0
0.009
17.6
165.0
3.0
3.0
1.05
1.05
0.009
0.0
0.009
0.009
0.009
0.1
1.4
0.009
0.0
0.2
0.0
1.4
1.4
0.0
0.3
0.1
0.0
0.009
0.2
1.4
0.0
0.009
0.3
0.0
0.0
0.4
0.0
0.0
0.009
0.5
0.009
0.0
0.44
0.5
0.0
0.4
0.009
0.0
0.44
0.1
0.009
0.009
0.009
0.009
315.0
0.1
0.009
0.009
315.0
0.1
0.0
0.009
0.009
0.0
0.05
0.009
0.009
0.0
0.009
0.0
0.009
0.0
0.009
0.05
0.009
0.009
0.6
0.2
0.0
542.7
0.0
0.1
0.0
0.14
0.1
16.5
6.5
0.009
0.009
0.0
0.3
16.5
0.04
0.0
15.5
0.009
21795.0
0.3
0.46
0.009
35.1
0.009
9.6
9.6
1700.0
0.0
1700.0
700.0
0.009
261.0
0.4
0.0
0.04
