ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP,AirTemp, ONE_DAY_PRECIPITATION, Snow_WE, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, air_temp_1,pcpn_amt_pst24hrs, cum_pcpn_amt, air_temp_2, snw_dpth
0.0, 0.0, -4.0, 0.0, 2012-01-02 00:00:00, 0.0, 3.5,,,,,,,,,,,
0.0, 0.0, 0.0, 0.0, 2012-01-03 00:00:00, 0.0, 8.0,,,,,,,,,,,
4.2, 4.2, 3.0, 0.0, 2012-01-04 00:00:00, 0.0, 9.0,,,,,,,,,,,
0.0, 0.0, 3.5, 0.0, 2012-01-05 00:00:00, 0.0, 9.5,,,,,,,,,,,
0.0, 0.0, 0.0, 0.0, 2012-01-06 00:00:00, 0.0, 6.0,,,,,,,,,,,
2.0, 0.0, -2.5, 2.0, 2012-01-07 00:00:00, 0.0, 3.0,,,,,,,,,,,
3.2, 3.2, -0.5, 0.0, 2012-01-08 00:00:00, 0.0, 5.0,,,,,,,,,,,
0.0, 0.0, 2.5, 0.0, 2012-01-09 00:00:00, 0.0, 7.0,,,,,,,,,,,
0.0, 0.0, 0.0, 0.0, 2012-01-10 00:00:00, 0.0, 2.0,,,,,,,,,,,
0.0, 0.0, -8.0, 0.0, 2012-01-11 00:00:00, 0.0, -3.0,,,,,,,,,,,
0.0, 0.0, -8.5, 0.0, 2012-01-12 00:00:00, 0.0, -1.5,,,,,,,,,,,
0.0, 0.0, -5.0, 0.0, 2012-01-13 00:00:00, 0.0, None,,,,,,,,,,,
0.0, 0.0, None, 0.0, 2012-01-14 00:00:00, 0.0, -0.5,,,,,,,,,,,
0.0, 0.0, -6.0, 0.0, 2012-01-15 00:00:00, 12.0, -1.0,,,,,,,,,,,
0.0, 0.0, -8.0, 0.0, 2012-01-16 00:00:00, 0.0, -7.0,,,,,,,,,,,
0.0, 0.0, -12.0, 0.0, 2012-01-17 00:00:00, 0.0, -12.0,,,,,,,,,,,
4.0, 0.0, -17.0, 4.0, 2012-01-18 00:00:00, 13.0, -14.5,,,,,,,,,,,
