IGNITION_DATE,FIRE_SIZE_HA,LATITUDE,LONGITUDE
2017-07-16,0.1,51.8061,-118.6445
2017-07-16,0.0,50.3738,-119.0645
2017-07-16,0.0,51.3728,-121.7222
2017-07-16,0.009,49.6874,-120.6029
2017-07-16,0.009,51.1158,-120.1408
2017-07-16,0.009,51.5658,-120.1264
2017-07-16,0.0,49.584,-123.0409
2017-07-16,0.009,51.2366,-118.6861
2017-07-16,0.02,50.5305,-116.1481
2017-07-16,0.0,52.6418,-119.124
2017-07-16,28.0,51.6256,-119.1765
2017-07-16,0.009,50.6086,-116.1348
2017-07-16,0.3,51.1148,-118.9506
2017-07-16,0.009,52.785,-119.1743
2017-07-16,0.1,52.4343,-119.2505
2017-07-16,0.7,51.6296,-118.1946
2017-07-16,0.2,51.5441,-118.2832
2017-07-16,0.015,51.4636,-118.1469
2017-07-16,2.1,51.8177,-118.5814
2017-07-16,0.009,51.1635,-118.7462
2017-07-16,0.009,49.8759,-119.7052
2017-07-16,0.009,52.984,-122.3055
2017-07-16,0.0,53.8801,-123.6318
2017-07-16,0.015,49.1654,-116.4245
2017-07-16,0.05,52.5702,-122.5754
2017-07-16,0.2,53.2095,-120.0635
2017-07-16,0.0,52.9566,-121.8691
2017-07-16,0.009,51.1366,-122.7287
2017-07-16,0.0,54.8667,-122.3085
2017-07-16,577.0,52.6002,-121.039
2017-07-16,309.1,52.8305,-120.1061
2017-07-16,0.2,53.3507,-122.938
2017-07-16,14.0,52.7368,-121.1615
2017-07-16,872.0,52.7988,-120.7082
2017-07-17,0.0,52.9118,-119.3528
2017-07-17,0.2,49.1369,-123.9598
2017-07-17,0.0,53.9784,-122.8985
2017-07-17,1.7,53.0867,-124.1861
2017-07-17,0.0,49.2457,-124.6861
2017-07-17,0.009,53.8889,-123.5326
2017-07-17,0.0,50.0089,-121.549
2017-07-17,1790.0,49.71345,-119.76463333
2017-07-17,0.0,49.0333,-121.8787
2017-07-17,0.3,49.5536,-115.5381
2017-07-17,0.0,49.6984,-125.1861
2017-07-17,53.0,53.684,-121.1526
2017-07-17,43.1,54.3165,-121.6046
2017-07-17,0.4,55.3235,-123.9398
2017-07-17,0.0,49.4779,-119.5244
2017-07-18,0.02,49.2821,-116.374
2017-07-18,0.009,50.2071,-119.5055
2017-07-18,0.0,54.1203,-128.4913
2017-07-18,0.0,51.115,-118.2841
2017-07-18,0.0,49.9112,-124.5017
2017-07-18,11.8,54.8061,-123.3433
2017-07-18,0.0,48.8585,-124.9725
2017-07-18,0.009,49.6617,-120.7805
2017-07-19,0.009,50.6948,-121.2737
2017-07-19,0.0,56.2885,-121.2175
2017-07-19,0.1,51.8571,-122.1467
2017-07-19,0.009,50.6117,-120.2241
2017-07-19,1.8,52.7527,-124.6964
2017-07-19,0.009,49.4189,-120.2625
2017-07-19,0.26,50.542,-127.4911
2017-07-19,0.9,50.6575,-118.7973
2017-07-19,0.009,50.7437,-120.5915
2017-07-19,0.009,50.1958,-125.7458
2017-07-19,0.0,49.383,-121.3559
2017-07-19,1.0,50.1398,-119.7901
2017-07-19,0.009,54.0628,-124.5557
2017-07-19,0.009,50.8432,-118.4971
2017-07-19,1.5,50.8514,-118.4995
2017-07-19,0.02,51.8201,-117.3792
2017-07-19,0.0,50.1133,-119.7133
2017-07-19,0.2,53.8162,-125.8613
2017-07-19,0.04,51.6514,-121.8766
2017-07-19,0.01,50.5107,-119.7084
2017-07-19,0.0,50.1785,-122.953
2017-07-19,0.009,50.5969,-119.695
2017-07-19,0.009,52.5035,-121.8114
2017-07-19,0.009,53.9507,-123.5582
2017-07-19,3.6,49.2419,-116.2968
2017-07-19,0.0,50.2098,-126.5159
2017-07-19,0.1,50.4997,-119.6892
2017-07-19,0.0,50.7764,-119.1482
2017-07-19,0.04,51.4814,-120.4504
2017-07-19,0.0,50.0659,-121.5503
2017-07-19,0.009,50.9699,-119.0793
2017-07-19,0.06,51.5728,-121.6947
2017-07-19,0.4,51.596,-121.8316
2017-07-19,0.8,50.7532,-119.5963
2017-07-19,0.9,51.4055,-121.6594
2017-07-19,95.5,49.4153,-121.7516
2017-07-19,0.009,53.3878,-125.6074
2017-07-20,0.009,51.0176,-119.2079
2017-07-20,0.0,50.8428,-124.4973
2017-07-20,0.1,51.338,-119.4102
2017-07-20,0.3,50.592,-117.507
2017-07-20,0.03,51.6899,-122.1325
2017-07-20,1.2,52.0205,-120.4349
2017-07-20,0.0,49.4776,-121.2541
2017-07-20,0.9,51.0472,-119.2854
2017-07-20,0.32,51.3043,-121.1194
2017-07-20,0.5,51.3038,-121.1188
2017-07-20,17.2,51.4885,-119.6306
2017-07-20,0.0,51.2348,-120.0089
2017-07-20,0.009,51.1947,-119.5014
2017-07-20,0.009,51.7746,-119.3261
2017-07-20,2.0,51.529,-122.1579
2017-07-20,0.009,50.8073,-116.1896
2017-07-20,0.009,50.9514,-118.2737
2017-07-20,0.009,50.9429,-119.1125
2017-07-20,1.5,51.8873,-117.9421
2017-07-20,0.2,49.7102,-117.0303
2017-07-20,0.009,51.1865,-118.8434
2017-07-20,8.0,50.9872,-119.1291
2017-07-20,0.009,51.0931,-118.2712
2017-07-20,0.1,51.1793,-118.9355
2017-07-20,0.19,50.1141,-119.8249
2017-07-20,0.2,49.1502,-116.187
2017-07-20,0.8,51.5837,-120.388
2017-07-20,0.009,50.96,-119.6997
2017-07-20,0.2,51.2307,-118.836
2017-07-20,0.009,51.5151,-118.93
2017-07-20,0.009,50.6576,-120.5728
2017-07-20,0.15,50.4621,-117.1504
2017-07-20,561.0,52.6611,-120.719
2017-07-20,0.009,50.5797,-120.2061
2017-07-20,0.009,50.6029,-118.8458
2017-07-20,0.02,50.5616,-117.4258
2017-07-20,0.009,51.0712,-118.9796
2017-07-20,0.0,50.827,-119.3958
2017-07-20,0.3,49.9999,-117.6436
2017-07-20,310.3,50.9951,-117.5447
2017-07-20,0.009,51.4473,-120.2847
2017-07-20,0.04,49.8102,-117.4622
2017-07-20,0.068,50.0104,-118.2407
2017-07-20,0.0,50.7511,-120.1448
2017-07-20,0.01,49.7183,-118.0948
2017-07-20,9.2,49.5147,-118.0202
2017-07-20,1.77,50.8763,-120.0013
2017-07-20,0.003,50.7892,-117.7955
2017-07-20,0.009,55.6637,-124.4826
2017-07-20,0.009,50.6232,-117.5499
