wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
260.0, 51.0, 6.2, 0.0, 5.9, 3.3, 16.0, 13.3, 1.0, 0.0, 0.0, 64.0,2021-07-30 00:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
348.0, 62.0, 3.8, 0.0, 6.7, 2.9, 13.8, 11.8, 240.0, 0.0, 0.0, 69.0,2021-07-30 01:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
184.0, 64.0, 3.3, 0.0, 6.6, 3.4, 13.3, 13.6, 260.0, 0.0, 0.0, 62.0,2021-07-30 02:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
315.0, 69.0, 2.9, 0.0, 6.3, 2.9, 11.8, 10.7, 348.0, 0.0, 0.0, 74.0,2021-07-30 03:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
315.0, 62.0, 3.4, 0.0, 6.5, 3.4, 13.6, 10.0, 184.0, 0.0, 0.0, 73.0,2021-07-30 04:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0, None, None, 0.0, None, 3.7, None, 11.9, None, None, None, 69.0,2021-07-30 05:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
267.0, 73.0, 3.4, 0.0, 5.4, 3.1, 10.0, 15.0, 315.0, 0.0, 0.0, 63.0,2021-07-30 06:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
173.0, 69.0, 3.7, 0.0, 6.4, 2.7, 11.9, 22.1, 46.0, 0.0, 0.0, 41.0,2021-07-30 07:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
198.0, 63.0, 3.1, 0.0, 8.0, 3.5, 15.0, 26.1, 267.0, 0.0, 0.0, 31.0,2021-07-30 08:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
199.0, 41.0, 2.7, 0.0, 8.2, 5.9, 22.1, 30.7, 173.0, 0.0, 0.0, 20.0,2021-07-30 09:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
165.0, 31.0, 3.5, 0.0, 7.7, 5.8, 26.1, 33.2, 198.0, 0.0, 0.0, 16.0,2021-07-30 10:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
208.0, 20.0, 5.9, 0.0, 5.2, 7.6, 30.7, 33.8, 199.0, 0.0, 0.0, 15.0,2021-07-30 11:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
284.0, 16.0, 5.8, 0.0, 4.0, 6.2, 33.2, 33.4, 165.0, 0.0, 0.0, 17.0,2021-07-30 12:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0, 15.0, 7.6, 0.0, 3.6, 4.5, 33.8, 34.1, 208.0, 0.0, 0.0, 15.0,2021-07-30 13:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
338.0, 17.0, 6.2, 0.0, 5.0, 7.0, 33.4, 34.6, 284.0, 0.0, 0.0, 15.0,2021-07-30 14:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
328.0, 15.0, 4.5, 0.0, 3.8, 8.9, 34.1, 33.1, 16.0, 0.0, 0.0, 17.0,2021-07-30 15:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
334.0, 15.0, 7.0, 0.0, 4.2, 7.0, 34.6, 30.2, 338.0, 0.0, 0.0, 22.0,2021-07-30 16:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
132.0, 17.0, 8.9, 0.0, 4.8, 1.8, 33.1, 27.1, 328.0, 0.0, 0.0, 29.0,2021-07-30 17:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
351.0, 22.0, 7.0, 0.0, 6.1, 3.0, 30.2, 22.6, 334.0, 0.0, 0.0, 38.0,2021-07-30 18:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0, None, None, 0.0, None, 4.9, None, 21.3, None, None, None, 42.0,2021-07-30 19:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0, 38.0, 3.0, 0.0, 7.6, 6.9, 22.6, 21.9, 351.0, 0.0, 0.0, 35.0,2021-07-30 20:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0, 42.0, 4.9, 0.0, 7.9, 8.3, 21.3, 21.0, 93.0, 0.0, 0.0, 37.0,2021-07-30 21:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0, 35.0, 6.9, 0.0, 5.8, 7.2, 21.9, 20.0, 76.0, 0.0, 0.0, 39.0,2021-07-30 22:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0, None, None, 0.0, None, 5.3, None, 16.6, None, None, None, 47.0,2021-07-30 23:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
, 39.0, 7.2, None, 5.6, None, 20.0, None, 60.0, 0.0, 0.0, None,2021-07-31 00:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0, 47.0, 5.3, 0.0, 5.3, 5.4, 16.6, 16.7, 12.0, 0.0, 0.0, 47.0,2021-07-31 01:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0, None, None, 0.0, None, 5.2, None, 16.1, None, None, None, 50.0,2021-07-31 02:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
277.0, 47.0, 5.4, 0.0, 5.3, 4.2, 16.7, 13.1, 3.0, 0.0, None, 58.0,2021-07-31 03:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
318.0, 50.0, 5.2, 0.0, 5.7, 2.8, 16.1, 12.6, 0.0, 0.0, None, 62.0,2021-07-31 04:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0, 58.0, 4.2, 0.0, 5.0, 2.9, 13.1, 14.0, 277.0, 0.0, None, 62.0,2021-07-31 05:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
291.0, 62.0, 2.8, 0.0, 5.5, 2.2, 12.6, 16.9, 318.0, 0.0, None, 62.0,2021-07-31 06:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0, 62.0, 2.9, 0.0, 6.8, 2.3, 14.0, 22.4, 250.0, 0.0, None, 48.0,2021-07-31 07:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
278.0, 62.0, 2.2, 0.0, 9.6, 3.5, 16.9, 27.3, 291.0, 0.0, None, 27.0,2021-07-31 08:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
148.0, 48.0, 2.3, 0.0, 10.9, 4.3, 22.4, 31.0, 276.0, 0.0, None, 24.0,2021-07-31 09:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
216.0, 27.0, 3.5, 0.0, 6.7, 6.4, 27.3, 34.0, 278.0, 0.0, None, 16.0,2021-07-31 10:00:00,31,,,,,,,,,,,,,,,,,,,,,,,,,,
