ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
12.0,12.0,11.0,0.0,2016-09-02,0.0,18.0,36,,,,,,
0.0,0.0,10.0,0.0,2016-09-03,0.0,19.5,36,,,,,,
0.0,0.0,10.0,0.0,2016-09-04,0.0,20.0,36,,,,,,
2.4,2.4,6.5,0.0,2016-09-05,0.0,17.0,36,,,,,,
1.2,1.2,9.5,0.0,2016-09-06,0.0,18.0,36,,,,,,
1.2,1.2,10.5,0.0,2016-09-07,0.0,20.0,36,,,,,,
0.0,0.0,11.0,0.0,2016-09-08,0.0,19.0,36,,,,,,
,,,,2016-09-02 00:00:00,,,36,, None,0.623, None,88.8,12.99
,,,,2016-09-02 01:00:00,,,36,, None,0.400999, None,90.1,12.77
,,,,2016-09-02 02:00:00,,,36,, None,0.287, None,93.6,12.79
,,,,2016-09-02 03:00:00,,,36,, None,0.568, None,92.6,12.64
,,,,2016-09-02 04:00:00,,,36,, None,0.570999, None,93.0,12.57
,,,,2016-09-02 05:00:00,,,36,, None,1.167, None,89.7,12.11
,,,,2016-09-02 06:00:00,,,36,, None,0.527, None,89.8,11.49
,,,,2016-09-02 07:00:00,,,36,, None,0.305999, None,90.6,11.94
,,,,2016-09-02 08:00:00,,,36,, None,0.474, None,88.5,12.67
,,,,2016-09-02 09:00:00,,,36,, None,0.934, None,82.1,13.74
,,,,2016-09-02 10:00:00,,,36,, None,1.687, None,66.85,15.36
,,,,2016-09-02 11:00:00,,,36,, None,2.552, None,58.8,16.03
,,,,2016-09-02 12:00:00,,,36,, None,3.606, None,53.79,17.13
,,,,2016-09-02 13:00:00,,,36,, None,4.317, None,55.44,17.5
,,,,2016-09-02 14:00:00,,,36,, None,5.428, None,70.25,14.79
,,,,2016-09-02 15:00:00,,,36,, None,3.707, None,79.18,13.78
,,,,2016-09-02 16:00:00,,,36,, None,3.597, None,81.6,13.4
,,,,2016-09-02 17:00:00,,,36,, None,1.897, None,80.5,13.84
,,,,2016-09-02 18:00:00,,,36,, None,1.974, None,82.7,13.43
,,,,2016-09-02 19:00:00,,,36,, None,1.201, None,82.0,13.2
,,,,2016-09-02 20:00:00,,,36,, None,1.061, None,82.8,12.86
,,,,2016-09-02 21:00:00,,,36,, None,0.781, None,85.0,12.66
,,,,2016-09-02 22:00:00,,,36,, None,1.165, None,87.8,12.27
,,,,2016-09-02 23:00:00,,,36,, None,0.298, None,88.8,12.13
,,,,2016-09-03 00:00:00,,,36,, None,0.56, None,87.3,11.8
,,,,2016-09-03 01:00:00,,,36,, None,0.412999, None,90.2,10.98
,,,,2016-09-03 02:00:00,,,36,, None,0.446999, None,91.9,10.5
