station_observations
AirTemperature, Precipitation, Rain, WindSpeed, SnowDepth, time, WindDirection, SnowWaterEquivalent, RelativeHumidity
6.7, 1.0, 0.0, 23.7, 0.0, 2020-01-01 00:00:00, 246.0, 0.8, 94.0
6.7, None, 0.0, 25.5, None, 2020-01-01 00:15:00, 244.0, None, 94.0
6.7, None, 0.0, 24.2, None, 2020-01-01 00:30:00, 247.0, None, 93.0
6.6, None, 0.0, 20.8, None, 2020-01-01 00:45:00, 252.0, None, 94.0
6.6, 0.0, 0.0, 28.6, 0.0, 2020-01-01 01:00:00, 253.0, 0.7, 91.0
6.5, None, 0.0, 25.6, None, 2020-01-01 01:15:00, 256.0, None, 92.0
6.5, None, 0.0, 25.2, None, 2020-01-01 01:30:00, 246.0, None, 92.0
6.4, None, 0.0, 24.8, None, 2020-01-01 01:45:00, 250.0, None, 93.0
6.3, 1.0, 0.254, 22.5, 0.001, 2020-01-01 02:00:00, 258.0, 0.8, 93.0
6.5, None, 0.0, 22.3, None, 2020-01-01 02:15:00, 259.0, None, 91.0
6.4, None, 0.0, 24.2, None, 2020-01-01 02:30:00, 264.0, None, 93.0
6.4, None, 0.0, 20.0, None, 2020-01-01 02:45:00, 263.0, None, 92.0
6.4, -1.0, 0.254, 22.9, 0.0, 2020-01-01 03:00:00, 255.0, 0.7, 92.0
6.3, None, 0.0, 30.2, None, 2020-01-01 03:15:00, 263.0, None, 91.0
6.2, None, 0.0, 38.7, None, 2020-01-01 03:30:00, 259.0, None, 91.0
6.2, None, 0.0, 36.0, None, 2020-01-01 03:45:00, 262.0, None, 89.0
5.9, -1.0, 0.0, 33.8, 0.0, 2020-01-01 04:00:00, 262.0, 0.7, 92.0
5.9, None, 0.0, 32.7, None, 2020-01-01 04:15:00, 261.0, None, 89.0
5.8, None, 0.0, 30.8, None, 2020-01-01 04:30:00, 262.0, None, 90.0
5.7, None, 0.0, 28.4, None, 2020-01-01 04:45:00, 262.0, None, 90.0
5.6, 1.0, 0.0, 30.7, -0.001, 2020-01-01 05:00:00, 262.0, 0.8, 90.0
5.6, None, 0.0, 25.0, None, 2020-01-01 05:15:00, 260.0, None, 90.0
5.2, None, 0.254, 30.8, None, 2020-01-01 05:30:00, 254.0, None, 91.0
5.0, None, 0.0, 24.3, None, 2020-01-01 05:45:00, 266.0, None, 94.0
4.9, 1.0, 0.0, 21.6, 0.0, 2020-01-01 06:00:00, 259.0, 1.2, 91.0
5.1, None, 0.0, 27.9, None, 2020-01-01 06:15:00, 263.0, None, 93.0
5.2, None, 0.0, 32.4, None, 2020-01-01 06:30:00, 264.0, None, 93.0
5.1, None, 0.0, 31.9, None, 2020-01-01 06:45:00, 263.0, None, 95.0
5.0, 0.0, 0.254, 23.7, 0.0, 2020-01-01 07:00:00, 255.0, 0.7, 96.0
5.0, None, 0.0, 23.5, None, 2020-01-01 07:15:00, 252.0, None, 94.0
5.1, None, 0.0, 23.4, None, 2020-01-01 07:30:00, 252.0, None, 92.0
4.8, None, 0.0, 21.9, None, 2020-01-01 07:45:00, 260.0, None, 94.0
4.6, 1.0, 0.0, 22.3, 0.0, 2020-01-01 08:00:00, 263.0, 1.0, 94.0
4.6, None, 0.0, 21.5, None, 2020-01-01 08:15:00, 262.0, None, 94.0
4.6, None, 0.0, 25.6, None, 2020-01-01 08:30:00, 261.0, None, 91.0
4.6, None, 0.0, 24.0, None, 2020-01-01 08:45:00, 254.0, None, 91.0
4.6, 0.0, 0.0, 25.2, -0.001, 2020-01-01 09:00:00, 254.0, 0.7, 92.0
4.6, None, 0.0, 26.2, None, 2020-01-01 09:15:00, 254.0, None, 93.0
4.7, None, 0.0, 27.4, None, 2020-01-01 09:30:00, 255.0, None, 89.0
4.8, None, 0.0, 25.6, None, 2020-01-01 09:45:00, 260.0, None, 89.0
4.8, -1.0, 0.0, 30.4, 0.0, 2020-01-01 10:00:00, 256.0, 0.5, 89.0
4.9, None, 0.0, 30.8, None, 2020-01-01 10:15:00, 257.0, None, 88.0
4.8, None, 0.0, 31.5, None, 2020-01-01 10:30:00, 253.0, None, 89.0
4.9, None, 0.0, 32.2, None, 2020-01-01 10:45:00, 252.0, None, 90.0
5.2, 2.0, 0.0, 31.9, 0.0, 2020-01-01 11:00:00, 254.0, 0.4, 89.0
5.3, None, 0.0, 30.3, None, 2020-01-01 11:15:00, 254.0, None, 88.0
5.4, None, 0.0, 29.1, None, 2020-01-01 11:30:00, 255.0, None, 88.0
5.6, None, 0.0, 24.2, None, 2020-01-01 11:45:00, 262.0, None, 86.0
5.7, -2.0, 0.0, 22.7, 0.0, 2020-01-01 12:00:00, 263.0, 0.3, 85.0
5.8, None, 0.0, 21.2, None, 2020-01-01 12:15:00, 267.0, None, 84.0
5.6, None, 0.0, 22.8, None, 2020-01-01 12:30:00, 263.0, None, 88.0
5.9, None, 0.0, 18.4, None, 2020-01-01 12:45:00, 271.0, None, 87.0
5.8, 1.0, 0.0, 19.8, 0.0, 2020-01-01 13:00:00, 260.0, 0.2, 85.0
