station_observations
TempC, SolarRadiationWm, RH, WindSpeedms, Pressurembar, Rainmm, GustSpeedms, time, WindDirection, DewPtC
-19.886, 0.6, 86.2, 0.0, 895.45, 0.0, 0.0, 2021-01-01 00:00:00, 348.2, -21.625
-18.12, 0.6, 87.1, 0.0, 894.85, 0.0, 0.5, 2021-01-01 01:00:00, 348.2, -19.764
-17.04, 0.6, 87.9, 0.0, 894.05, 0.0, 2.01, 2021-01-01 02:00:00, 49.1, -18.591
-16.078, 0.6, 88.7, 0.0, 894.35, 0.0, 0.0, 2021-01-01 03:00:00, 110.9, -17.534
-15.506, 0.6, 89.0, 0.0, 893.05, 0.0, 2.01, 2021-01-01 04:00:00, 113.7, -16.928
-14.197, 0.6, 89.6, 0.0, 891.75, 0.0, 2.01, 2021-01-01 05:00:00, 108.1, -15.553
-13.088, 0.6, 90.3, 0.0, 891.45, 0.0, 1.01, 2021-01-01 06:00:00, 348.2, -14.361
-13.126, 0.6, 90.4, 0.0, 890.85, 0.0, 2.01, 2021-01-01 07:00:00, 289.2, -14.385
-13.126, 0.6, 90.1, 0.0, 890.55, 0.0, 2.01, 2021-01-01 08:00:00, 313.1, -14.425
-13.013, 1.9, 90.4, 0.0, 889.75, 0.0, 0.0, 2021-01-01 09:00:00, 318.7, -14.273
-12.714, 6.9, 90.5, 0.0, 889.25, 0.0, 1.51, 2021-01-01 10:00:00, 318.7, -13.963
-12.751, 18.1, 90.0, 0.5, 888.65, 0.0, 2.01, 2021-01-01 11:00:00, 317.3, -14.067
-12.306, 28.1, 89.0, 1.01, 887.85, 0.0, 2.52, 2021-01-01 12:00:00, 314.5, -13.763
-12.602, 13.1, 88.4, 1.01, 886.85, 0.0, 3.02, 2021-01-01 13:00:00, 317.3, -14.139
-12.9, 5.6, 89.2, 1.01, 886.05, 0.0, 3.02, 2021-01-01 14:00:00, 313.1, -14.324
-13.201, 0.6, 89.5, 0.5, 885.35, 0.0, 3.02, 2021-01-01 15:00:00, 317.3, -14.581
-14.081, 0.6, 89.1, 0.5, 884.55, 0.0, 2.52, 2021-01-01 16:00:00, 318.7, -15.505
-15.184, 0.6, 89.1, 0.5, 883.85, 0.0, 3.02, 2021-01-01 17:00:00, 318.7, -16.596
-15.913, 0.6, 89.2, 1.01, 883.45, 0.0, 3.02, 2021-01-01 18:00:00, 322.9, -17.304
-16.576, 0.6, 87.9, 1.51, 882.35, 0.0, 4.03, 2021-01-01 19:00:00, 315.9, -18.133
-16.997, 0.6, 87.2, 1.51, 881.75, 0.0, 4.03, 2021-01-01 20:00:00, 314.5, -18.642
-17.125, 0.6, 86.7, 1.51, 881.15, 0.0, 5.03, 2021-01-01 21:00:00, 307.5, -18.836
-17.857, 0.6, 86.0, 2.01, 880.65, 0.0, 4.53, 2021-01-01 22:00:00, 306.1, -19.652
-18.607, 0.6, 86.5, 1.01, 880.35, 0.0, 3.52, 2021-01-01 23:00:00, 307.5, -20.324
-20.642, 0.6, 86.0, 0.0, 880.15, 0.0, 2.52, 2021-01-02 00:00:00, 314.5, -22.397
-23.943, 0.6, 84.9, 0.0, 879.75, 0.0, 1.01, 2021-01-02 01:00:00, 315.9, -25.792
-25.498, 0.6, 84.2, 0.0, 879.85, 0.0, 0.5, 2021-01-02 02:00:00, 315.9, -27.413
-25.556, 0.6, 83.2, 0.0, 879.95, 0.0, 1.51, 2021-01-02 03:00:00, 324.3, -27.599
