pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
0.0, -4.602, 97.3, -4.2, 97.0, -5.0, -4.6, -6.1, 1007.1, 0.0, -5.0, 910.0, 0.0,2022-01-29 00:00:00, 64.0, 64.33, 910.0,5
0.0, -5.347, 96.6, -4.2, 97.0, -6.0, -5.3, -6.1, 1006.0, 0.0, -6.0, 909.0, 0.0,2022-01-29 01:00:00, 64.0, 64.36, 909.0,5
0.0, -4.996, 96.6, -4.2, 97.0, -5.0, -5.0, -6.1, 1005.8, 0.0, -5.0, 909.0, 0.0,2022-01-29 02:00:00, 64.0, 64.17, 909.0,5
0.0, -4.559, 97.0, -4.2, 97.0, -5.0, -4.6, -6.1, 1004.6, 0.0, -5.0, 908.0, 1.0,2022-01-29 03:00:00, 65.0, 64.63, 908.0,5
0.0, -4.846, 96.6, -4.2, 97.0, -5.0, -4.8, -6.1, 1003.6, 0.0, -5.0, 907.0, 0.0,2022-01-29 04:00:00, 65.0, 64.52, 907.0,5
None, None, None, -3.9, 96.0, -4.0, -3.9, -4.9, 997.9, 0.0, None, None, 0.0,2022-01-29 11:00:00, 64.0, None, 902.0,5
None, -1.264, 97.7, -1.4, 98.0, -1.0, -1.3, -4.9, 997.6, 0.0, -1.0, 902.0, 0.0,2022-01-29 12:00:00, 64.0, 63.84, 902.0,5
None, 1.201, 92.7, 1.2, 93.0, 0.0, 1.2, -4.9, 997.4, 0.9, 0.0, 902.0, 1.0,2022-01-29 13:00:00, 65.0, 64.54, 902.0,5
None, 1.615, 92.0, 1.5, 92.0, 0.0, 1.6, -4.9, 997.3, 0.1, 0.0, 902.0, 0.0,2022-01-29 14:00:00, 65.0, 64.55, 902.0,5
None, 1.271, 91.6, 2.3, 92.0, 0.0, 1.3, -4.9, 997.3, 0.0, 0.0, 902.0, 0.0,2022-01-29 15:00:00, 64.0, 64.12, 902.0,5
None, 1.385, 84.7, 2.3, 85.0, -1.0, 1.4, -4.9, 997.3, 0.0, -1.0, 902.0, -1.0,2022-01-29 16:00:00, 64.0, 63.55, 902.0,5
None, 0.174, 86.5, 2.3, 87.0, -2.0, 0.2, -4.9, None, 0.0, -2.0, 902.0, -1.0,2022-01-29 17:00:00, 63.0, 62.52, 902.0,5
