air_temp,min_air_temp_snc_last_reset,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,week_of_year
-5.9,-14.1, 255.0,-3.3, -6999.0, 22.8,2021-02-19 00:00:00, 8.9, -6999.0,8
-6.6,-14.1, 224.0,-3.3, -6999.0, 19.1,2021-02-19 01:00:00, 5.7, -6999.0,8
-4.1,-14.1, 230.0,-2.3, -6999.0, 17.9,2021-02-19 02:00:00, 6.0, -6999.0,8
-3.0,-14.1, None,-2.3, -6999.0, None,2021-02-19 03:00:00, None, -6999.0,8
-3.3,-14.1, 234.0,-2.3, -6999.0, 16.2,2021-02-19 04:00:00, 6.5, -6999.0,8
-3.2,-14.1, 243.0,-2.3, -6999.0, 22.0,2021-02-19 05:00:00, 9.1, -6999.0,8
-6.0,-14.1, 233.0,-2.3, -6999.0, 22.4,2021-02-19 06:00:00, 7.8, -6999.0,8
-8.4,-8.5, 233.0,-5.9, -6999.0, 12.8,2021-02-19 07:00:00, 4.3, -6999.0,8
-8.3,-9.1, 244.0,-5.9, -6999.0, 14.7,2021-02-19 08:00:00, 5.5, -6999.0,8
-9.0,-9.4, 250.0,-5.9, -6999.0, 6.0,2021-02-19 09:00:00, 2.0, -6999.0,8
-4.2,-9.4, 240.0,-4.6, -6999.0, 15.6,2021-02-19 10:00:00, 3.0, -6999.0,8
-2.2,-9.4, 267.0,-2.2, -6999.0, 18.9,2021-02-19 11:00:00, 10.3, -6999.0,8
-1.3,-9.4, 251.0,-0.9, -6999.0, 23.7,2021-02-19 12:00:00, 10.1, -6999.0,8
-2.2,-9.4, 265.0,-0.9, -6999.0, 21.2,2021-02-19 13:00:00, 10.5, -6999.0,8
-1.8,-9.4, 260.0,-0.9, -6999.0, 22.9,2021-02-19 14:00:00, 8.2, -6999.0,8
-2.1,-9.4, 269.0,-0.9, -6999.0, 17.2,2021-02-19 15:00:00, 7.2, -6999.0,8
-2.5,-9.4, 243.0,-0.9, -6999.0, 15.7,2021-02-19 16:00:00, 6.1, -6999.0,8
-2.5,-9.4, 240.0,-0.9, -6999.0, 19.2,2021-02-19 17:00:00, 8.1, -6999.0,8
-1.8,-9.4, 244.0,-0.9, -6999.0, 24.7,2021-02-19 18:00:00, 10.2, -6999.0,8
-1.8,-1.9, 247.0,-1.5, -6999.0, 30.8,2021-02-19 19:00:00, 13.1, -6999.0,8
-2.3,-2.4, 245.0,-1.5, -6999.0, 30.9,2021-02-19 20:00:00, 12.1, -6999.0,8
-3.0,-2.9, 238.0,-1.5, -6999.0, 23.9,2021-02-19 21:00:00, 8.5, -6999.0,8
-5.2,-5.2, 233.0,-1.5, -6999.0, 22.5,2021-02-19 22:00:00, 7.3, -6999.0,8
-5.6,-5.7, 250.0,-1.5, -6999.0, 20.3,2021-02-19 23:00:00, 10.4, -6999.0,8
-5.3,-6.2, 253.0,-1.5, -6999.0, 20.3,2021-02-20 00:00:00, 11.5, -6999.0,8
-4.5,-6.2, 242.0,-1.5, -6999.0, 23.4,2021-02-20 01:00:00, 10.0, -6999.0,8
-4.3,-6.2, 244.0,-1.5, -6999.0, 25.0,2021-02-20 02:00:00, 12.8, -6999.0,8
-5.1,-6.2, 245.0,-1.5, -6999.0, 30.7,2021-02-20 03:00:00, 13.9, -6999.0,8
-5.6,-6.2, 243.0,-1.5, -6999.0, 22.6,2021-02-20 04:00:00, 9.5, -6999.0,8
-6.2,-6.3, 241.0,-1.5, -6999.0, 21.2,2021-02-20 05:00:00, 9.5, -6999.0,8
-6.6,-6.7, 235.0,-1.5, -6999.0, 18.8,2021-02-20 06:00:00, 7.2, -6999.0,8
-6.7,-6.8, 240.0,-6.5, -6999.0, 21.7,2021-02-20 07:00:00, 6.8, -6999.0,8
-6.9,-6.9, 246.0,-6.5, -6999.0, 16.2,2021-02-20 08:00:00, 8.1, -6999.0,8
-6.2,-6.9, 249.0,-6.2, -6999.0, 23.4,2021-02-20 09:00:00, 11.7, -6999.0,8
