station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
74.8, None, None, None, 0.086, 343.0, None, None, -16.0, 910.0, None, None, None, None, None, 36.35, None, None, -12.86, None, None, None, None, 61.65, None, None, None, None, None, 2017-01-06 14:00:00, None
73.8, None, None, None, 0.101, 342.5, None, None, -16.0, 910.0, None, None, None, None, None, 36.45, None, None, -13.17, None, None, None, None, 68.85, None, None, None, None, None, 2017-01-06 15:00:00, None
76.1, None, None, None, 0.199, 350.8, None, None, -17.0, 911.0, None, None, None, None, None, 36.57, None, None, -13.67, None, None, None, None, 43.88, None, None, None, None, None, 2017-01-06 16:00:00, None
74.9, None, None, None, 0.247, 345.8, None, None, -17.0, 912.0, None, None, None, None, None, 36.65, None, None, -14.32, None, None, None, None, 52.47, None, None, None, None, None, 2017-01-06 17:00:00, None
73.1, None, None, None, 0.242, 359.9, None, None, -18.0, 913.0, None, None, None, None, None, 36.53, None, None, -15.03, None, None, None, None, 51.23, None, None, None, None, None, 2017-01-06 18:00:00, None
71.2, None, None, None, 0.147, 1.547, None, None, -19.0, 914.0, None, None, None, None, None, 36.49, None, None, -15.76, None, None, None, None, 57.38, None, None, None, None, None, 2017-01-06 19:00:00, None
68.96, None, None, None, 0.101, 355.6, None, None, -20.0, 915.0, None, None, None, None, None, 36.49, None, None, -16.5, None, None, None, None, 59.93, None, None, None, None, None, 2017-01-06 20:00:00, None
66.77, None, None, None, 0.096, 349.1, None, None, -21.0, 916.0, None, None, None, None, None, 36.0, None, None, -17.13, None, None, None, None, 45.92, None, None, None, None, None, 2017-01-06 21:00:00, None
65.47, None, None, None, 0.058, 334.5, None, None, -22.0, 916.0, None, None, None, None, None, 35.96, None, None, -17.92, None, None, None, None, 51.89, None, None, None, None, None, 2017-01-06 22:00:00, None
69.45, None, None, None, 0.198, 4.914, None, None, -22.0, 917.0, None, None, None, None, None, 35.94, None, None, -18.56, None, None, None, None, 50.31, None, None, None, None, None, 2017-01-06 23:00:00, None
70.8, None, None, None, 0.279, 356.6, None, None, -23.0, 918.0, None, None, None, None, None, 35.89, None, None, -19.11, None, None, None, None, 51.8, None, None, None, None, None, 2017-01-07 00:00:00, None
68.81, None, None, None, 0.368, 339.3, None, None, -24.0, 918.0, None, None, None, None, None, 35.86, None, None, -19.77, None, None, None, None, 49.41, None, None, None, None, None, 2017-01-07 01:00:00, None
66.25, None, None, None, 0.53, 1.03, None, None, -24.0, 919.0, None, None, None, None, None, 35.81, None, None, -20.3, None, None, None, None, 45.37, None, None, None, None, None, 2017-01-07 02:00:00, None
66.89, None, None, None, 0.323, 347.1, None, None, -25.0, 919.0, None, None, None, None, None, 35.78, None, None, -20.9, None, None, None, None, 54.41, None, None, None, None, None, 2017-01-07 03:00:00, None
64.76, None, None, None, 0.384, 355.7, None, None, -26.0, 919.0, None, None, None, None, None, 35.73, None, None, -21.29, None, None, None, None, 37.28, None, None, None, None, None, 2017-01-07 04:00:00, None
64.2, None, None, None, 0.332, 344.1, None, None, -26.0, 919.0, None, None, None, None, None, 35.67, None, None, -21.69, None, None, None, None, 41.98, None, None, None, None, None, 2017-01-07 05:00:00, None
62.45, None, None, None, 0.524, 348.6, None, None, -27.0, 919.0, None, None, None, None, None, 35.66, None, None, -22.13, None, None, None, None, 48.83, None, None, None, None, None, 2017-01-07 06:00:00, None
60.13, None, None, None, 0.508, 345.3, None, None, -28.0, 919.0, None, None, None, None, None, 36.33, None, None, -22.5, None, None, None, None, 42.26, None, None, None, None, None, 2017-01-07 07:00:00, None
60.62, None, None, None, 0.426, 354.4, None, None, -28.0, 919.0, None, None, None, None, None, 36.32, None, None, -22.97, None, None, None, None, 44.11, None, None, None, None, None, 2017-01-07 08:00:00, None
61.07, None, None, None, 0.595, 346.4, None, None, -28.0, 920.0, None, None, None, None, None, 36.21, None, None, -23.55, None, None, None, None, 23.26, None, None, None, None, None, 2017-01-07 09:00:00, None
60.81, None, None, None, 0.4, 344.6, None, None, -28.0, 920.0, None, None, None, None, None, 36.3, None, None, -23.56, None, None, None, None, 25.14, None, None, None, None, None, 2017-01-07 10:00:00, None
59.7, None, None, None, 0.638, 350.4, None, None, -29.0, 919.0, None, None, None, None, None, 36.21, None, None, -23.48, None, None, None, None, 26.56, None, None, None, None, None, 2017-01-07 11:00:00, None
59.64, None, None, None, 0.268, 352.5, None, None, -29.0, 919.0, None, None, None, None, None, 35.99, None, None, -23.47, None, None, None, None, 24.87, None, None, None, None, None, 2017-01-07 12:00:00, None
59.88, None, None, None, 0.277, 345.3, None, None, -28.0, 918.0, None, None, None, None, None, 36.35, None, None, -23.14, None, None, None, None, 22.93, None, None, None, None, None, 2017-01-07 13:00:00, None
59.07, None, None, None, 0.145, 336.9, None, None, -29.0, 918.0, None, None, None, None, None, 35.83, None, None, -23.36, None, None, None, None, 29.63, None, None, None, None, None, 2017-01-07 14:00:00, None
62.74, None, None, None, 0.07, 326.5, None, None, -29.0, 918.0, None, None, None, None, None, 35.94, None, None, -24.68, None, None, None, None, 4.717, None, None, None, None, None, 2017-01-07 15:00:00, None
62.02, None, None, None, 0.071, 324.7, None, None, -31.0, 918.0, None, None, None, None, None, 35.96, None, None, -26.26, None, None, None, None, 0.686, None, None, None, None, None, 2017-01-07 16:00:00, None
