station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -8.52, None, 2017-01-06 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.74
None, None, -8.07, None, 2017-01-06 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.7
None, None, -9.38, None, 2017-01-06 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.51
None, None, -10.41, None, 2017-01-06 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.36
None, None, -10.76, None, 2017-01-06 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.34
None, None, -10.47, None, 2017-01-06 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.42
None, None, -10.12, None, 2017-01-06 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.43
None, None, -10.1, None, 2017-01-06 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.35
None, None, -10.9, None, 2017-01-06 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.35
None, None, -10.92, None, 2017-01-06 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.32
None, None, -10.8, None, 2017-01-07 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.34
None, None, -11.48, None, 2017-01-07 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.17
None, None, -12.25, None, 2017-01-07 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.0
None, None, -12.69, None, 2017-01-07 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.73
None, None, -13.35, None, 2017-01-07 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.77
None, None, -14.23, None, 2017-01-07 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.8
None, None, -14.08, None, 2017-01-07 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.6
None, None, -13.89, None, 2017-01-07 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.7
None, None, -14.79, None, 2017-01-07 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.62
None, None, -15.06, None, 2017-01-07 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.59
None, None, -15.42, None, 2017-01-07 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.58
