station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -11.85, 89.4, None, None, None, None, 16.45, 8.44, 192.7, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 14:00:00, None, None
None, -13.15, 87.2, None, None, None, None, 9.09, 6.742, 197.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 15:00:00, None, None
None, -13.69, 88.4, None, None, None, None, 17.77, 6.644, 173.4, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 16:00:00, None, None
None, -14.72, 78.82, None, None, None, None, 29.3, 7.005, 139.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 17:00:00, None, None
None, -14.77, 79.11, None, None, None, None, 15.47, 8.01, 114.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 18:00:00, None, None
None, -14.45, 73.43, None, None, None, None, 16.83, 11.46, 171.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 19:00:00, None, None
None, -15.19, 74.39, None, None, None, None, 19.72, 12.88, 161.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 20:00:00, None, None
None, -15.57, 75.43, None, None, None, None, 18.76, 12.46, 167.2, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 21:00:00, None, None
None, -15.56, 72.91, None, None, None, None, 20.0, 12.67, 153.5, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 22:00:00, None, None
None, -14.25, 71.32, None, None, None, None, 12.7, 14.97, 179.2, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-06 23:00:00, None, None
None, -15.61, 70.26, None, None, None, None, 16.37, 12.04, 121.9, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 00:00:00, None, None
None, -14.93, 61.44, None, None, None, None, 21.7, 13.38, 126.5, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 01:00:00, None, None
None, -14.18, 54.54, None, None, None, None, 9.01, 17.16, 112.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 02:00:00, None, None
None, -14.91, 58.41, None, None, None, None, 10.64, 19.06, 109.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 03:00:00, None, None
None, -13.76, 49.55, None, None, None, None, 16.06, 19.98, 116.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 04:00:00, None, None
None, -12.44, 36.7, None, None, None, None, 11.29, 23.39, 130.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 05:00:00, None, None
None, -12.47, 35.91, None, None, None, None, 9.52, 25.34, 138.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 06:00:00, None, None
None, -12.59, 36.29, None, None, None, None, 13.56, 28.77, 122.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 07:00:00, None, None
None, -12.2, 36.38, None, None, None, None, 15.38, 30.34, 137.8, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 08:00:00, None, None
None, -13.48, 50.12, None, None, None, None, 16.95, 29.4, 112.3, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 09:00:00, None, None
None, -13.39, 52.51, None, None, None, None, 7.552, 38.49, 92.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 10:00:00, None, None
None, -13.88, 63.65, None, None, None, None, 11.41, 32.04, 96.2, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 11:00:00, None, None
None, -13.22, 61.7, None, None, None, None, 13.05, 29.46, 109.3, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 12:00:00, None, None
None, -13.85, 64.6, None, None, None, None, 10.2, 28.1, 110.9, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 13:00:00, None, None
None, -14.11, 59.19, None, None, None, None, 8.55, 36.54, 93.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 14:00:00, None, None
None, -13.98, 60.13, None, None, None, None, 7.375, 41.64, 87.5, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 15:00:00, None, None
None, -13.96, 62.74, None, None, None, None, 7.93, 38.0, 85.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 16:00:00, None, None
None, -13.09, 55.13, None, None, None, None, 8.46, 38.89, 86.4, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 17:00:00, None, None
None, -12.78, 52.37, None, None, None, None, 8.1, 38.39, 88.8, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 18:00:00, None, None
None, -13.18, 66.29, None, None, None, None, 6.677, 33.69, 95.7, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 19:00:00, None, None
None, -12.93, 90.3, None, None, None, None, 7.487, 33.71, 92.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 20:00:00, None, None
None, -13.79, 89.9, None, None, None, None, 6.768, 26.79, 90.8, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 21:00:00, None, None
None, -11.07, 91.5, None, None, None, None, 26.36, 25.81, 133.9, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 22:00:00, None, None
None, -11.05, 91.7, None, None, None, None, 17.41, 21.97, 192.4, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-07 23:00:00, None, None
None, -11.41, 91.3, None, None, None, None, 8.35, 18.56, 218.1, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 00:00:00, None, None
None, -11.51, 91.3, None, None, None, None, 6.119, 15.12, 233.2, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 01:00:00, None, None
None, -11.92, 90.9, None, None, None, None, 7.474, 9.89, 245.3, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 02:00:00, None, None
None, -12.0, 90.9, None, None, None, None, 6.892, 10.8, 234.9, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 03:00:00, None, None
None, -12.43, 90.4, None, None, None, None, 20.53, 7.669, 259.8, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 04:00:00, None, None
None, -12.78, 90.0, None, None, None, None, 36.39, 3.771, 270.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 05:00:00, None, None
None, -10.63, 92.5, None, None, None, None, 40.39, 4.675, 37.16, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 06:00:00, None, None
None, -12.02, 91.1, None, None, None, None, 35.06, 6.434, 88.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 07:00:00, None, None
None, -11.8, 91.5, None, None, None, None, 10.94, 14.31, 110.6, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 08:00:00, None, None
None, -12.13, 91.3, None, None, None, None, 12.22, 16.9, 113.3, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 09:00:00, None, None
None, -11.42, 90.8, None, None, None, None, 13.02, 23.42, 96.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 10:00:00, None, None
None, -10.49, 91.8, None, None, None, None, 16.77, 28.61, 122.0, None, None, None, None, None, None, None, None, None, None, None, None, 2017-01-08 11:00:00, None, None
