station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, MINIMUM_AIR_TEMPERATURE, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, DEW_POINT, ATMOSPHERIC_PRESSURE, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -6.379, 52.29, None, 2017-01-06 14:00:00, None, None, None, None, None, -14.0, None, None, None, None, None, None
None, -6.053, 53.61, None, 2017-01-06 15:00:00, None, None, None, None, None, -13.0, None, None, None, None, None, None
None, -6.221, 52.4, None, 2017-01-06 16:00:00, None, None, None, None, None, -13.0, None, None, None, None, None, None
None, -6.31, 51.59, None, 2017-01-06 17:00:00, None, None, None, None, None, -14.0, None, None, None, None, None, None
None, -6.33, 51.64, None, 2017-01-06 18:00:00, None, None, None, None, None, -14.0, None, None, None, None, None, None
None, -6.142, 52.07, None, 2017-01-06 19:00:00, None, None, None, None, None, -13.0, None, None, None, None, None, None
None, -5.856, 50.01, None, 2017-01-06 20:00:00, None, None, None, None, None, -14.0, None, None, None, None, None, None
None, -6.053, 27.33, None, 2017-01-06 21:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -5.876, 24.5, None, 2017-01-06 22:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -6.112, 26.1, None, 2017-01-06 23:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -6.014, 25.37, None, 2017-01-07 00:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -5.561, 24.29, None, 2017-01-07 01:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -6.35, 24.7, None, 2017-01-07 02:00:00, None, None, None, None, None, -22.0, None, None, None, None, None, None
None, -6.242, 25.38, None, 2017-01-07 03:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -6.311, 25.05, None, 2017-01-07 04:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -6.271, 24.92, None, 2017-01-07 05:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -6.39, 24.83, None, 2017-01-07 06:00:00, None, None, None, None, None, -22.0, None, None, None, None, None, None
None, -6.114, 24.39, None, 2017-01-07 07:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -5.72, 23.85, None, 2017-01-07 08:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -5.837, 23.76, None, 2017-01-07 09:00:00, None, None, None, None, None, -22.0, None, None, None, None, None, None
None, -4.584, 23.32, None, 2017-01-07 10:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -3.631, 22.79, None, 2017-01-07 11:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -3.301, 22.69, None, 2017-01-07 12:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -3.106, 22.45, None, 2017-01-07 13:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -2.449, 22.25, None, 2017-01-07 14:00:00, None, None, None, None, None, -19.0, None, None, None, None, None, None
None, -2.777, 22.35, None, 2017-01-07 15:00:00, None, None, None, None, None, -19.0, None, None, None, None, None, None
None, -3.057, 22.31, None, 2017-01-07 16:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -3.463, 22.31, None, 2017-01-07 17:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -2.864, 22.13, None, 2017-01-07 18:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -2.96, 22.16, None, 2017-01-07 19:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -3.832, 22.42, None, 2017-01-07 20:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -3.677, 22.62, None, 2017-01-07 21:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -4.309, 22.93, None, 2017-01-07 22:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -4.64, 23.46, None, 2017-01-07 23:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -5.05, 24.55, None, 2017-01-08 00:00:00, None, None, None, None, None, -20.0, None, None, None, None, None, None
None, -4.436, 31.3, None, 2017-01-08 01:00:00, None, None, None, None, None, -17.0, None, None, None, None, None, None
None, -3.436, 37.54, None, 2017-01-08 02:00:00, None, None, None, None, None, -15.0, None, None, None, None, None, None
None, -1.93, 40.13, None, 2017-01-08 03:00:00, None, None, None, None, None, -12.0, None, None, None, None, None, None
None, -1.592, 39.91, None, 2017-01-08 04:00:00, None, None, None, None, None, -12.0, None, None, None, None, None, None
None, -0.467, 50.16, None, 2017-01-08 05:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None
None, 1.348, 40.27, None, 2017-01-08 06:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -0.361, 45.13, None, 2017-01-08 07:00:00, None, None, None, None, None, -10.0, None, None, None, None, None, None
None, 0.484, 50.0, None, 2017-01-08 08:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None
None, 0.907, 49.67, None, 2017-01-08 09:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None
None, 1.117, 47.18, None, 2017-01-08 10:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None
None, 2.116, 35.46, None, 2017-01-08 11:00:00, None, None, None, None, None, -12.0, None, None, None, None, None, None
None, 2.973, 31.65, None, 2017-01-08 12:00:00, None, None, None, None, None, -12.0, None, None, None, None, None, None
None, 2.282, 35.93, None, 2017-01-08 13:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, 0.522, 49.53, None, 2017-01-08 14:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None
None, 0.694, 64.38, None, 2017-01-08 15:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None
None, 0.571, 55.28, None, 2017-01-08 16:00:00, None, None, None, None, None, -7.0, None, None, None, None, None, None
None, 0.359, 61.4, None, 2017-01-08 17:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None
None, 0.005, 66.7, None, 2017-01-08 18:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None
None, -0.362, 61.37, None, 2017-01-08 19:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None
None, -0.744, 69.97, None, 2017-01-08 20:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None
None, -0.994, 72.2, None, 2017-01-08 21:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None
None, -1.167, 74.0, None, 2017-01-08 22:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None
None, -1.409, 74.5, None, 2017-01-08 23:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None
None, -0.217, 79.5, None, 2017-01-09 00:00:00, None, None, None, None, None, -3.0, None, None, None, None, None, None
None, -0.841, 77.5, None, 2017-01-09 01:00:00, None, None, None, None, None, -4.0, None, None, None, None, None, None
None, -0.754, 75.3, None, 2017-01-09 02:00:00, None, None, None, None, None, -4.0, None, None, None, None, None, None
None, -1.899, 69.72, None, 2017-01-09 03:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None
None, -1.754, 70.6, None, 2017-01-09 04:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None
None, -3.28, 68.88, None, 2017-01-09 05:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None
None, -3.569, 68.67, None, 2017-01-09 06:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None
None, -4.065, 66.95, None, 2017-01-09 07:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None
None, -4.172, 66.2, None, 2017-01-09 08:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None
None, -4.25, 67.26, None, 2017-01-09 09:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None
None, -4.318, 62.92, None, 2017-01-09 10:00:00, None, None, None, None, None, -10.0, None, None, None, None, None, None
None, -3.861, 55.08, None, 2017-01-09 11:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -3.793, 52.47, None, 2017-01-09 12:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -3.745, 50.82, None, 2017-01-09 13:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -3.347, 52.19, None, 2017-01-09 14:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -3.793, 50.86, None, 2017-01-09 15:00:00, None, None, None, None, None, -12.0, None, None, None, None, None, None
None, -4.055, 50.97, None, 2017-01-09 16:00:00, None, None, None, None, None, -12.0, None, None, None, None, None, None
None, -4.357, 54.61, None, 2017-01-09 17:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -4.639, 51.12, None, 2017-01-09 18:00:00, None, None, None, None, None, -12.0, None, None, None, None, None, None
None, -4.923, 52.56, None, 2017-01-09 19:00:00, None, None, None, None, None, -12.0, None, None, None, None, None, None
None, -4.845, 56.78, None, 2017-01-09 20:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -4.845, 58.4, None, 2017-01-09 21:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -4.904, 60.74, None, 2017-01-09 22:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -5.374, 60.05, None, 2017-01-09 23:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None
None, -5.649, 53.22, None, 2017-01-10 00:00:00, None, None, None, None, None, -13.0, None, None, None, None, None, None
None, -6.102, 51.52, None, 2017-01-10 01:00:00, None, None, None, None, None, -14.0, None, None, None, None, None, None
None, -5.777, 49.61, None, 2017-01-10 02:00:00, None, None, None, None, None, -14.0, None, None, None, None, None, None
None, -6.488, 47.92, None, 2017-01-10 03:00:00, None, None, None, None, None, -15.0, None, None, None, None, None, None
None, -6.856, 51.96, None, 2017-01-10 04:00:00, None, None, None, None, None, -14.0, None, None, None, None, None, None
None, -6.906, 50.53, None, 2017-01-10 05:00:00, None, None, None, None, None, -15.0, None, None, None, None, None, None
None, -6.986, 50.48, None, 2017-01-10 06:00:00, None, None, None, None, None, -15.0, None, None, None, None, None, None
None, -6.648, 48.05, None, 2017-01-10 07:00:00, None, None, None, None, None, -15.0, None, None, None, None, None, None
None, -7.5, 43.09, None, 2017-01-10 08:00:00, None, None, None, None, None, -17.0, None, None, None, None, None, None
None, -8.63, 44.37, None, 2017-01-10 09:00:00, None, None, None, None, None, -18.0, None, None, None, None, None, None
None, -9.11, 40.34, None, 2017-01-10 10:00:00, None, None, None, None, None, -19.0, None, None, None, None, None, None
None, -9.93, 37.33, None, 2017-01-10 11:00:00, None, None, None, None, None, -21.0, None, None, None, None, None, None
None, -9.99, 33.77, None, 2017-01-10 12:00:00, None, None, None, None, None, -22.0, None, None, None, None, None, None
None, -9.7, 31.4, None, 2017-01-10 13:00:00, None, None, None, None, None, -22.0, None, None, None, None, None, None
None, -10.88, 32.11, None, 2017-01-10 15:00:00, None, None, None, None, None, -23.0, None, None, None, None, None, None
None, -10.73, 29.88, None, 2017-01-10 16:00:00, None, None, None, None, None, -24.0, None, None, None, None, None, None
None, -11.53, 29.36, None, 2017-01-10 17:00:00, None, None, None, None, None, -24.0, None, None, None, None, None, None
None, -12.34, 28.94, None, 2017-01-10 18:00:00, None, None, None, None, None, -25.0, None, None, None, None, None, None
None, -11.15, 28.18, None, 2017-01-10 19:00:00, None, None, None, None, None, -25.0, None, None, None, None, None, None
None, -12.44, 27.48, None, 2017-01-10 20:00:00, None, None, None, None, None, -26.0, None, None, None, None, None, None
None, -12.66, 28.35, None, 2017-01-10 21:00:00, None, None, None, None, None, -26.0, None, None, None, None, None, None
None, -12.29, 27.43, None, 2017-01-10 22:00:00, None, None, None, None, None, -26.0, None, None, None, None, None, None
None, -12.49, 27.96, None, 2017-01-10 23:00:00, None, None, None, None, None, -26.0, None, None, None, None, None, None
None, -12.18, 27.16, None, 2017-01-11 00:00:00, None, None, None, None, None, -26.0, None, None, None, None, None, None
None, -12.23, 27.65, None, 2017-01-11 01:00:00, None, None, None, None, None, -26.0, None, None, None, None, None, None
None, -11.55, 26.74, None, 2017-01-11 02:00:00, None, None, None, None, None, -25.0, None, None, None, None, None, None
None, -10.98, 26.15, None, 2017-01-11 03:00:00, None, None, None, None, None, -25.0, None, None, None, None, None, None
None, -10.46, 26.41, None, 2017-01-11 04:00:00, None, None, None, None, None, -25.0, None, None, None, None, None, None
None, -10.44, 25.99, None, 2017-01-11 05:00:00, None, None, None, None, None, -25.0, None, None, None, None, None, None
None, -10.27, 26.06, None, 2017-01-11 06:00:00, None, None, None, None, None, -25.0, None, None, None, None, None, None
None, -9.92, 25.65, None, 2017-01-11 07:00:00, None, None, None, None, None, -24.0, None, None, None, None, None, None
None, -9.81, 25.86, None, 2017-01-11 08:00:00, None, None, None, None, None, -24.0, None, None, None, None, None, None
None, -9.33, 26.07, None, 2017-01-11 09:00:00, None, None, None, None, None, -24.0, None, None, None, None, None, None
