station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, 0.307, 83.4, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 14:00:00, None, 14.51, None
None, 0.452, 84.2, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 15:00:00, None, 14.29, None
None, 0.548, 85.2, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 16:00:00, None, 14.22, None
None, 0.838, 82.4, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 17:00:00, None, 14.33, None
None, 0.259, 87.5, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 18:00:00, None, 14.26, None
None, 0.403, 86.7, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 19:00:00, None, 14.19, None
None, 0.452, 86.5, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 20:00:00, None, 14.12, None
None, 2.14, 76.0, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 21:00:00, None, 14.18, None
None, 2.478, 73.2, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 22:00:00, None, 14.06, None
None, 2.237, 74.3, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-06 23:00:00, None, 13.94, None
None, 2.571, 72.5, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-07 00:00:00, None, 14.01, None
None, 2.661, 70.2, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-07 01:00:00, None, 13.96, None
None, 2.76, 68.31, None, None, None, None, None, None, None, -2.0, None, None, None, 2017-01-07 02:00:00, None, 13.87, None
None, 3.001, 61.77, None, None, None, None, None, None, None, -4.0, None, None, None, 2017-01-07 03:00:00, None, 13.79, None
None, 2.807, 57.25, None, None, None, None, None, None, None, -5.0, None, None, None, 2017-01-07 04:00:00, None, 13.78, None
None, 2.423, 57.12, None, None, None, None, None, None, None, -5.0, None, None, None, 2017-01-07 05:00:00, None, 13.66, None
None, 2.285, 55.57, None, None, None, None, None, None, None, -6.0, None, None, None, 2017-01-07 06:00:00, None, 13.67, None
None, 2.14, 54.22, None, None, None, None, None, None, None, -6.0, None, None, None, 2017-01-07 07:00:00, None, 13.29, None
None, 1.754, 53.35, None, None, None, None, None, None, None, -7.0, None, None, None, 2017-01-07 08:00:00, None, 12.49, None
None, 1.272, 53.14, None, None, None, None, None, None, None, -7.0, None, None, None, 2017-01-07 09:00:00, None, 12.68, None
None, 0.886, 52.13, None, None, None, None, None, None, None, -8.0, None, None, None, 2017-01-07 10:00:00, None, 11.4, None
None, 0.548, 51.19, None, None, None, None, None, None, None, -8.0, None, None, None, 2017-01-07 11:00:00, None, 12.15, None
None, -0.272, 50.78, None, None, None, None, None, None, None, -8.0, None, None, None, 2017-01-07 12:00:00, None, 12.55, None
None, -0.369, 48.83, None, None, None, None, None, None, None, -9.0, None, None, None, 2017-01-07 13:00:00, None, 12.72, None
None, -0.947, 48.22, None, None, None, None, None, None, None, -9.0, None, None, None, 2017-01-07 14:00:00, None, 12.63, None
None, -1.526, 48.9, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-07 15:00:00, None, 12.51, None
None, -2.095, 48.36, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-07 16:00:00, None, 12.46, None
None, -2.233, 48.23, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-07 17:00:00, None, 12.42, None
None, -2.42, 47.83, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-07 18:00:00, None, 12.37, None
None, -2.468, 47.29, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-07 19:00:00, None, 12.26, None
None, -2.275, 46.08, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-07 20:00:00, None, 12.13, None
None, -2.516, 44.86, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-07 21:00:00, None, 12.0, None
None, -2.806, 46.82, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-07 22:00:00, None, 11.84, None
None, -2.806, 46.28, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-07 23:00:00, None, 11.97, None
None, -2.854, 43.72, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-08 00:00:00, None, 11.42, None
None, -2.757, 46.15, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-08 01:00:00, None, 11.02, None
None, -2.564, 46.62, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 02:00:00, None, 11.14, None
None, -2.854, 48.84, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 03:00:00, None, 11.2, None
None, -2.902, 50.19, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 04:00:00, None, 11.13, None
None, -2.854, 50.06, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 05:00:00, None, 11.02, None
None, -2.709, 49.45, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 06:00:00, None, 10.62, None
None, -2.516, 47.77, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 07:00:00, None, 10.42, None
None, -2.564, 49.11, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 08:00:00, None, 10.01, None
None, -2.564, 48.57, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 09:00:00, None, 9.81, None
None, -2.564, 46.62, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 10:00:00, None, 10.04, None
None, -2.564, 45.74, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-08 11:00:00, None, 10.39, None
None, -2.953, 45.2, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-08 12:00:00, None, 10.25, None
None, -3.289, 44.93, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-08 13:00:00, None, 10.48, None
None, -3.385, 44.53, None, None, None, None, None, None, None, -13.0, None, None, None, 2017-01-08 14:00:00, None, 10.42, None
None, -3.433, 44.05, None, None, None, None, None, None, None, -13.0, None, None, None, 2017-01-08 15:00:00, None, 10.34, None
None, -3.771, 44.59, None, None, None, None, None, None, None, -13.0, None, None, None, 2017-01-08 16:00:00, None, 9.97, None
None, -4.64, 46.35, None, None, None, None, None, None, None, -13.0, None, None, None, 2017-01-08 17:00:00, None, 9.7, None
None, -4.447, 45.2, None, None, None, None, None, None, None, -13.0, None, None, None, 2017-01-08 18:00:00, None, 9.37, None
None, -4.495, 44.66, None, None, None, None, None, None, None, -14.0, None, None, None, 2017-01-08 19:00:00, None, 9.4, None
None, -4.783, 47.02, None, None, None, None, None, None, None, -13.0, None, None, None, 2017-01-08 20:00:00, None, 9.49, None
None, -5.603, 57.41, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-08 21:00:00, None, 9.35, None
None, -6.131, 66.12, None, None, None, None, None, None, None, -11.0, None, None, None, 2017-01-08 22:00:00, None, 9.71, None
None, -6.752, 74.4, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-08 23:00:00, None, 10.21, None
None, -6.839, 73.1, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-09 00:00:00, None, 10.26, None
None, -7.23, 78.3, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-09 01:00:00, None, 10.5, None
None, -7.52, 82.7, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-09 02:00:00, None, 10.62, None
None, -7.71, 85.1, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-09 03:00:00, None, 11.01, None
None, -7.71, 85.6, None, None, None, None, None, None, None, -9.0, None, None, None, 2017-01-09 04:00:00, None, 10.72, None
None, -8.04, 90.6, None, None, None, None, None, None, None, -9.0, None, None, None, 2017-01-09 05:00:00, None, 12.89, None
None, -8.0, 89.2, None, None, None, None, None, None, None, -9.0, None, None, None, 2017-01-09 06:00:00, None, 14.49, None
None, -7.71, 84.5, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-09 07:00:00, None, 14.61, None
None, -7.71, 84.4, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-09 08:00:00, None, 14.76, None
None, -7.32, 77.5, None, None, None, None, None, None, None, -10.0, None, None, None, 2017-01-09 09:00:00, None, 14.71, None
None, -6.356, 63.03, None, None, None, None, None, None, None, -12.0, None, None, None, 2017-01-09 10:00:00, None, 14.59, None
