pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,snwfl_amt_pst1hr,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 22.44,29.16, None, None, None, None, None, None, None, None, None,5.0, 873.0, None, None, None,2017-06-12 14:00:00, None, None, None,24
None, 22.96,27.61, None, None, None, None, None, None, None, None, None,4.0, 873.0, None, None, None,2017-06-12 15:00:00, None, None, None,24
None, 23.49,26.05, None, None, None, None, None, None, None, None, None,3.0, 872.0, None, None, None,2017-06-12 16:00:00, None, None, None,24
None, 22.55,28.91, None, None, None, None, None, None, None, None, None,5.0, 872.0, None, None, None,2017-06-12 17:00:00, None, None, None,24
None, 18.26,44.46, None, None, None, None, None, None, None, None, None,7.0, 872.0, None, None, None,2017-06-12 18:00:00, None, None, None,24
None, 17.55,50.89, None, None, None, None, None, None, None, None, None,7.0, 872.0, None, None, None,2017-06-12 19:00:00, None, None, None,24
None, 16.29,57.14, None, None, None, None, None, None, None, None, None,8.0, 872.0, None, None, None,2017-06-12 20:00:00, None, None, None,24
None, 14.23,60.97, None, None, None, None, None, None, None, None, None,7.0, 872.0, None, None, None,2017-06-12 21:00:00, None, None, None,24
None, 11.86,69.66, None, None, None, None, None, None, None, None, None,6.0, 873.0, None, None, None,2017-06-12 22:00:00, None, None, None,24
None, 10.32,75.98, None, None, None, None, None, None, None, None, None,6.0, 873.0, None, None, None,2017-06-12 23:00:00, None, None, None,24
None, 9.2,79.12, None, None, None, None, None, None, None, None, None,6.0, 874.0, None, None, None,2017-06-13 00:00:00, None, None, None,24
None, 7.61,84.1, None, None, None, None, None, None, None, None, None,5.0, 874.0, None, None, None,2017-06-13 01:00:00, None, None, None,24
None, 6.587,86.7, None, None, None, None, None, None, None, None, None,5.0, 874.0, None, None, None,2017-06-13 02:00:00, None, None, None,24
None, 5.746,88.2, None, None, None, None, None, None, None, None, None,4.0, 874.0, None, None, None,2017-06-13 03:00:00, None, None, None,24
None, 5.105,91.3, None, None, None, None, None, None, None, None, None,4.0, 874.0, None, None, None,2017-06-13 04:00:00, None, None, None,24
None, 4.451,92.1, None, None, None, None, None, None, None, None, None,3.0, 874.0, None, None, None,2017-06-13 05:00:00, None, None, None,24
None, 6.268,94.0, None, None, None, None, None, None, None, None, None,5.0, 875.0, None, None, None,2017-06-13 06:00:00, None, None, None,24
None, 10.86,69.53, None, None, None, None, None, None, None, None, None,5.0, 874.0, None, None, None,2017-06-13 07:00:00, None, None, None,24
None, 14.26,57.65, None, None, None, None, None, None, None, None, None,6.0, 874.0, None, None, None,2017-06-13 08:00:00, None, None, None,24
None, 18.6,43.48, None, None, None, None, None, None, None, None, None,6.0, 873.0, None, None, None,2017-06-13 09:00:00, None, None, None,24
None, 18.27,42.1, None, None, None, None, None, None, None, None, None,5.0, 873.0, None, None, None,2017-06-13 10:00:00, None, None, None,24
None, 21.17,38.98, None, None, None, None, None, None, None, None, None,6.0, 873.0, None, None, None,2017-06-13 11:00:00, None, None, None,24
None, 22.29,31.38, None, None, None, None, None, None, None, None, None,4.0, 872.0, None, None, None,2017-06-13 12:00:00, None, None, None,24
None, 13.37,91.1, None, None, None, None, None, None, None, None, None,12.0, 874.0, None, None, None,2017-06-13 15:00:00, None, None, None,24
None, 13.76,81.4, None, None, None, None, None, None, None, None, None,10.0, 874.0, None, None, None,2017-06-13 16:00:00, None, None, None,24
None, 13.6,75.01, None, None, None, None, None, None, None, None, None,9.0, 874.0, None, None, None,2017-06-13 17:00:00, None, None, None,24
None, 12.33,85.2, None, None, None, None, None, None, None, None, None,10.0, 875.0, None, None, None,2017-06-13 18:00:00, None, None, None,24
None, 11.78,92.6, None, None, None, None, None, None, None, None, None,11.0, 876.0, None, None, None,2017-06-13 19:00:00, None, None, None,24
None, 11.3,94.7, None, None, None, None, None, None, None, None, None,10.0, 876.0, None, None, None,2017-06-13 20:00:00, None, None, None,24
None, 10.79,95.1, None, None, None, None, None, None, None, None, None,10.0, 876.0, None, None, None,2017-06-13 21:00:00, None, None, None,24
None, 10.14,95.4, None, None, None, None, None, None, None, None, None,9.0, 876.0, None, None, None,2017-06-13 22:00:00, None, None, None,24
None, 9.87,95.6, None, None, None, None, None, None, None, None, None,9.0, 876.0, None, None, None,2017-06-13 23:00:00, None, None, None,24
None, 9.66,95.8, None, None, None, None, None, None, None, None, None,9.0, 876.0, None, None, None,2017-06-14 00:00:00, None, None, None,24
None, 9.44,95.9, None, None, None, None, None, None, None, None, None,9.0, 876.0, None, None, None,2017-06-14 01:00:00, None, None, None,24
None, 9.24,95.9, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 02:00:00, None, None, None,24
None, 9.18,96.0, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 03:00:00, None, None, None,24
None, 9.2,96.1, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 04:00:00, None, None, None,24
None, 9.13,96.2, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 05:00:00, None, None, None,24
None, 9.18,96.2, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 06:00:00, None, None, None,24
None, 9.65,96.2, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 07:00:00, None, None, None,24
None, 9.86,96.3, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 08:00:00, None, None, None,24
None, 9.93,96.2, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 09:00:00, None, None, None,24
None, 11.42,94.6, None, None, None, None, None, None, None, None, None,11.0, 877.0, None, None, None,2017-06-14 10:00:00, None, None, None,24
None, 10.71,92.5, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 11:00:00, None, None, None,24
None, 12.18,88.7, None, None, None, None, None, None, None, None, None,10.0, 877.0, None, None, None,2017-06-14 12:00:00, None, None, None,24
None, 12.15,83.1, None, None, None, None, None, None, None, None, None,9.0, 877.0, None, None, None,2017-06-14 13:00:00, None, None, None,24
None, 14.22,71.09, None, None, None, None, None, None, None, None, None,9.0, 878.0, None, None, None,2017-06-14 14:00:00, None, None, None,24
None, 16.09,52.94, None, None, None, None, None, None, None, None, None,7.0, 878.0, None, None, None,2017-06-14 15:00:00, None, None, None,24
None, 15.0,48.78, None, None, None, None, None, None, None, None, None,5.0, 878.0, None, None, None,2017-06-14 16:00:00, None, None, None,24
None, 14.16,49.15, None, None, None, None, None, None, None, None, None,4.0, 878.0, None, None, None,2017-06-14 17:00:00, None, None, None,24
None, 13.17,53.13, None, None, None, None, None, None, None, None, None,4.0, 878.0, None, None, None,2017-06-14 18:00:00, None, None, None,24
None, 12.78,55.82, None, None, None, None, None, None, None, None, None,3.0, 878.0, None, None, None,2017-06-14 19:00:00, None, None, None,24
None, 11.22,61.52, None, None, None, None, None, None, None, None, None,4.0, 880.0, None, None, None,2017-06-14 20:00:00, None, None, None,24
None, 8.49,79.03, None, None, None, None, None, None, None, None, None,5.0, 880.0, None, None, None,2017-06-14 21:00:00, None, None, None,24
None, 7.772,86.6, None, None, None, None, None, None, None, None, None,6.0, 880.0, None, None, None,2017-06-14 22:00:00, None, None, None,24
None, 7.61,87.0, None, None, None, None, None, None, None, None, None,6.0, 881.0, None, None, None,2017-06-14 23:00:00, None, None, None,24
None, 7.121,86.9, None, None, None, None, None, None, None, None, None,5.0, 881.0, None, None, None,2017-06-15 00:00:00, None, None, None,24
