pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,4.962,95.0, None, None, None, None, None, None, None, 4.0, None, None, None,2019-11-12 00:00:00, None, -0.532, None,46
None,5.064,95.2, None, None, None, None, None, None, None, 4.0, None, None, None,2019-11-12 01:00:00, None, -0.554, None,46
None,4.965,95.4, None, None, None, None, None, None, None, 4.0, None, None, None,2019-11-12 02:00:00, None, -0.532, None,46
None,5.253,94.7, None, None, None, None, None, None, None, 4.0, None, None, None,2019-11-12 03:00:00, None, -0.494, None,46
None,5.3,94.6, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-12 04:00:00, None, -0.506, None,46
None,5.784,93.9, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-12 05:00:00, None, -0.608, None,46
None,5.588,94.8, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-12 06:00:00, None, -0.566, None,46
None,5.588,95.8, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-12 07:00:00, None, -0.482, None,46
None,5.781,95.4, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-12 08:00:00, None, -0.507, None,46
None,6.022,95.7, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-12 09:00:00, None, -0.515, None,46
None,6.263,95.9, None, None, None, None, None, None, None, 6.0, None, None, None,2019-11-12 10:00:00, None, -0.339, None,46
None,6.938,96.5, None, None, None, None, None, None, None, 6.0, None, None, None,2019-11-12 11:00:00, None, -0.415, None,46
None,7.76,96.7, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-12 12:00:00, None, -0.5, None,46
None,8.34,96.4, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 13:00:00, None, -0.495, None,46
None,8.28,96.5, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 14:00:00, None, -0.529, None,46
None,8.86,96.7, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 15:00:00, None, -0.562, None,46
None,9.49,95.1, None, None, None, None, None, None, None, 9.0, None, None, None,2019-11-12 16:00:00, None, -0.492, None,46
None,8.91,94.2, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 17:00:00, None, -0.697, None,46
None,8.96,95.6, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 18:00:00, None, -0.694, None,46
None,8.34,96.2, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 19:00:00, None, -0.558, None,46
None,8.87,95.6, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 20:00:00, None, -0.535, None,46
None,8.58,95.4, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 21:00:00, None, -0.603, None,46
None,8.53,96.0, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 22:00:00, None, -0.592, None,46
None,8.67,96.0, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-12 23:00:00, None, -0.613, None,46
None,7.95,95.9, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 00:00:00, None, -0.57, None,46
None,7.81,96.2, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 01:00:00, None, -0.529, None,46
None,7.71,96.4, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 02:00:00, None, -0.599, None,46
None,7.85,96.5, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 03:00:00, None, -0.549, None,46
None,7.9,96.7, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 04:00:00, None, -0.559, None,46
None,7.71,96.7, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 05:00:00, None, -0.583, None,46
None,7.28,96.7, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 06:00:00, None, -0.526, None,46
None,7.32,96.7, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 07:00:00, None, -0.536, None,46
None,7.13,97.2, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 08:00:00, None, -0.483, None,46
None,8.43,96.3, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-13 10:00:00, None, -0.559, None,46
None,9.01,94.1, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-13 11:00:00, None, -0.499, None,46
None,9.49,89.3, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-13 12:00:00, None, -0.463, None,46
None,9.9,87.2, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-13 13:00:00, None, -0.553, None,46
None,10.09,85.6, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-13 14:00:00, None, -0.504, None,46
None,9.27,88.8, None, None, None, None, None, None, None, 8.0, None, None, None,2019-11-13 15:00:00, None, -0.563, None,46
None,9.37,87.8, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 16:00:00, None, -0.57, None,46
None,8.47,90.9, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 17:00:00, None, -0.554, None,46
None,7.9,94.6, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 18:00:00, None, -0.49, None,46
None,8.24,93.9, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 19:00:00, None, -0.543, None,46
None,8.63,91.7, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 20:00:00, None, -0.476, None,46
None,8.53,90.7, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 21:00:00, None, -0.489, None,46
None,8.05,93.6, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 22:00:00, None, -0.59, None,46
None,8.1,93.8, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-13 23:00:00, None, -0.465, None,46
None,8.34,89.9, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-14 00:00:00, None, -0.5, None,46
None,8.14,91.0, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-14 01:00:00, None, -0.498, None,46
None,7.32,93.4, None, None, None, None, None, None, None, 6.0, None, None, None,2019-11-14 02:00:00, None, -0.536, None,46
None,7.03,93.6, None, None, None, None, None, None, None, 6.0, None, None, None,2019-11-14 03:00:00, None, -0.563, None,46
None,6.794,94.2, None, None, None, None, None, None, None, 6.0, None, None, None,2019-11-14 04:00:00, None, -0.493, None,46
None,5.877,94.9, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-14 05:00:00, None, -0.64, None,46
None,6.022,93.7, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-14 06:00:00, None, -0.559, None,46
None,6.07,94.9, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-14 07:00:00, None, -0.458, None,46
None,7.08,88.7, None, None, None, None, None, None, None, 5.0, None, None, None,2019-11-14 08:00:00, None, -0.533, None,46
None,7.03,92.1, None, None, None, None, None, None, None, 6.0, None, None, None,2019-11-14 09:00:00, None, -0.464, None,46
None,7.61,90.3, None, None, None, None, None, None, None, 6.0, None, None, None,2019-11-14 10:00:00, None, -0.583, None,46
None,7.71,92.5, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-14 11:00:00, None, -0.528, None,46
None,7.76,93.0, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-14 12:00:00, None, -0.538, None,46
None,8.14,92.7, None, None, None, None, None, None, None, 7.0, None, None, None,2019-11-14 13:00:00, None, -0.488, None,46
