CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 4.885, 69.49, None, None, None, None, 16.67, None, 10.14, 101.1, None, None, None, None, None, None, None, None, None, None, None, None,2021-10-22 00:00:00, None, None, 1.139,43
None, 5.302, 71.39, None, None, None, None, 15.97, 0.0, 12.27, 90.9, 1.0, None, 5.3, 2.0, None, None, None, 5.3, None, None, 71.0, None,2021-10-22 01:00:00, 1.0, None, 1.158,43
None, 5.416, 72.28, None, None, None, None, 19.43, 0.0, 10.53, 91.8, 1.0, None, 5.4, 2.0, None, None, None, 5.6, None, None, 72.0, None,2021-10-22 02:00:00, 1.0, None, 1.107,43
None, 5.245, 76.37, None, None, None, None, 19.91, 0.0, 11.53, 93.7, 2.0, None, 5.2, 2.0, None, None, None, 5.7, None, None, 76.0, None,2021-10-22 03:00:00, 1.0, None, 0.987,43
None, 5.289, 75.7, None, None, None, None, 20.16, 0.0, 10.81, 94.3, 1.0, None, 5.3, 2.0, None, None, None, 5.8, None, None, 76.0, None,2021-10-22 04:00:00, 1.0, None, 0.578,43
None, 5.482, 82.0, None, None, None, None, 21.88, 0.0, 10.11, 98.8, 3.0, None, 5.5, 2.0, None, None, None, 5.8, None, None, 82.0, None,2021-10-22 05:00:00, 1.0, None, 0.511,43
None, 4.609, 99.8, None, None, None, None, 30.07, 0.0, 9.43, 102.5, 5.0, None, 4.6, 2.0, None, None, None, 5.8, None, None, 100.0, None,2021-10-22 06:00:00, 0.0, None, 0.382,43
None, 4.673, 99.9, None, None, None, None, 28.19, 0.0, 9.17, 108.1, 5.0, None, 4.7, 4.4, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 07:00:00, 0.0, None, 0.072,43
None, 4.442, 99.9, None, None, None, None, 33.66, 0.0, 7.443, 123.6, 4.0, None, 4.4, 4.4, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 08:00:00, 0.0, None, -0.398,43
None, 4.204, 99.9, None, None, None, None, 34.12, 1.0, 6.683, 132.1, 4.0, None, 4.2, 4.1, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 09:00:00, 0.0, None, 0.104,43
None, 3.827, 99.9, None, None, None, None, 35.9, -1.0, 5.758, 152.1, 4.0, None, 3.8, 3.8, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 10:00:00, -1.0, None, -1.135,43
None, 3.012, 99.9, None, None, None, None, 27.27, 0.0, 6.333, 190.1, 3.0, None, 3.0, 3.0, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 11:00:00, -1.0, None, -0.93,43
None, 2.626, 99.9, None, None, None, None, 27.12, 1.0, 4.898, 169.1, 3.0, None, 2.6, 2.6, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 12:00:00, -1.0, None, -0.638,43
None, 2.702, 99.9, None, None, None, None, 27.02, 0.0, 5.469, 169.8, 3.0, None, 2.7, 2.6, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 13:00:00, 0.0, None, -0.492,43
None, 2.786, 99.9, None, None, None, None, 31.14, 0.0, 5.047, 163.5, 3.0, None, 2.8, 2.5, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 14:00:00, -1.0, None, -0.628,43
None, 2.814, 99.9, None, None, None, None, 33.99, 0.0, 4.106, 159.0, 3.0, None, 2.8, 2.5, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 15:00:00, -1.0, None, -0.772,43
None, 3.027, 99.9, None, None, None, None, 42.14, 0.0, 1.884, 204.0, 3.0, None, 3.0, 2.5, None, None, None, 4.7, None, None, 100.0, None,2021-10-22 16:00:00, -1.0, None, -0.747,43
