pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, None, 0.0,-6.0,610.0, None,2021-08-13 00:00:00,15.1, None,-11.0, None,33
None, None, 0.0,-6.0,610.0, None,2021-08-13 01:00:00,13.2, None,10.0, None,33
0.0, None, 1.0,-6.0,611.0, None,2021-08-13 02:00:00,14.3, None,-9.0, None,33
None, None, 0.0,-6.0,611.0, None,2021-08-13 03:00:00,15.6, None,-9.0, None,33
None, None, None,-6.0,610.0, None,2021-08-13 04:00:00,14.8, None,10.0, None,33
None, None, 1.0,-6.0,611.0, None,2021-08-13 05:00:00,14.8, None,-9.0, None,33
None, None, None,-7.0,610.0, None,2021-08-13 06:00:00,13.6, None,11.0, None,33
None, None, 1.0,-7.0,611.0, None,2021-08-13 07:00:00,16.3, None,-10.0, None,33
None, None, 0.0,-7.0,611.0, None,2021-08-13 08:00:00,17.8, None,-12.0, None,33
None, None, None,-6.0,610.0, None,2021-08-13 09:00:00,18.2, None,-10.0, None,33
None, None, 1.0,-6.0,611.0, None,2021-08-13 10:00:00,20.0, None,410.0, None,33
None, None, 0.0,-5.0,611.0, None,2021-08-13 11:00:00,20.1, None,-10.0, None,33
None, None, None,-5.0,610.0, None,2021-08-13 12:00:00,21.3, None,-8.0, None,33
0.0, None, 1.0,-4.0,611.0, None,2021-08-13 13:00:00,22.2, None,-11.0, None,33
None, None, None,-3.0,610.0, None,2021-08-13 14:00:00,22.3, None,-8.0, None,33
None, None, 0.0,-3.0,610.0, None,2021-08-13 15:00:00,23.2, None,-11.0, None,33
None, None, 0.0,-2.0,610.0, None,2021-08-13 16:00:00,24.4, None,17.0, None,33
None, None, None,-2.0,609.0, None,2021-08-13 17:00:00,24.1, None,-9.0, None,33
None, None, 0.0,-2.0,609.0, None,2021-08-13 18:00:00,24.0, None,15.0, None,33
None, None, 0.0,-2.0,609.0, None,2021-08-13 19:00:00,22.9, None,-7.0, None,33
None, None, 0.0,-2.0,609.0, None,2021-08-13 20:00:00,22.4, None,-6.0, None,33
None, None, 0.0,-3.0,609.0, None,2021-08-13 21:00:00,22.0, None,-13.0, None,33
None, None, 0.0,-3.0,609.0, None,2021-08-13 22:00:00,21.9, None,-9.0, None,33
None, None, 0.0,-3.0,609.0, None,2021-08-13 23:00:00,20.9, None,-11.0, None,33
None, None, 0.0,-4.0,609.0, None,2021-08-14 00:00:00,20.0, None,-9.0, None,33
None, None, 0.0,-4.0,609.0, None,2021-08-14 01:00:00,20.0, None,-11.0, None,33
None, None, 0.0,-4.0,609.0, None,2021-08-14 02:00:00,18.7, None,410.0, None,33
None, None, 0.0,-4.0,609.0, None,2021-08-14 03:00:00,18.0, None,-6.0, None,33
None, None, 0.0,-5.0,609.0, None,2021-08-14 04:00:00,17.3, None,14.0, None,33
