station_observations
AirTemp, ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP
None, 5.0, 2015-04-12 00:00:00, -0.9, 2.7
None, 29.6, 2015-04-13 00:00:00, 0.2, 2.0
None, 11.4, 2015-04-14 00:00:00, -1.2, 5.3
None, 3.0, 2015-04-15 00:00:00, -1.1, 5.8
None, 2.0, 2015-04-16 00:00:00, -1.0, 14.0
None, 0.0, 2015-04-17 00:00:00, 2.1, 15.0
None, 0.0, 2015-04-18 00:00:00, 1.5, 15.7
None, 0.0, 2015-04-19 00:00:00, 2.8, 17.9
None, 0.0, 2015-04-20 00:00:00, 4.0, 19.1
None, 4.9, 2015-04-21 00:00:00, 1.2, 14.7
None, 0.0, 2015-04-22 00:00:00, 0.8, 8.7
None, 7.0, 2015-04-23 00:00:00, -0.1, 2.7
None, 40.0, 2015-04-24 00:00:00, 0.1, 1.9
None, 8.0, 2015-04-25 00:00:00, -0.7, 8.3
None, 2.0, 2015-04-26 00:00:00, -1.0, 9.6
None, 10.0, 2015-04-27 00:00:00, 2.8, 13.8
None, 4.0, 2015-04-28 00:00:00, 3.4, 9.5
None, 9.0, 2015-04-29 00:00:00, 3.0, 6.6
None, 0.0, 2015-04-30 00:00:00, 3.0, 5.3
None, 0.0, 2015-05-01 00:00:00, 1.8, 10.6
None, 0.0, 2015-05-02 00:00:00, 0.7, 14.0
None, 0.0, 2015-05-03 00:00:00, 2.8, 17.3
None, 5.3, 2015-05-04 00:00:00, 0.9, 13.4
None, 6.6, 2015-05-05 00:00:00, 1.0, 4.1
None, 0.8, 2015-05-06 00:00:00, 1.5, 11.6
None, 2.0, 2015-05-07 00:00:00, 1.2, 16.7
None, 0.0, 2015-05-08 00:00:00, 3.7, 21.0
None, 0.0, 2015-05-09 00:00:00, 5.2, 20.9
None, 0.0, 2015-05-10 00:00:00, 6.7, 18.1
None, 0.0, 2015-05-11 00:00:00, 7.3, 13.8
None, 0.0, 2015-05-12 00:00:00, 6.1, 16.7
None, 0.0, 2015-05-13 00:00:00, 6.6, 10.2
None, 2.0, 2015-05-14 00:00:00, 5.5, 16.6
None, 0.0, 2015-05-15 00:00:00, 5.6, 15.3
None, 0.0, 2015-05-16 00:00:00, 8.4, 13.3
None, 0.0, 2015-05-17 00:00:00, 8.0, 18.7
None, 0.0, 2015-05-18 00:00:00, 9.0, 21.8
None, 0.0, 2015-05-19 00:00:00, 7.8, 21.3
None, 0.0, 2015-05-20 00:00:00, 9.1, 21.9
None, 0.0, 2015-05-21 00:00:00, 10.4, 24.0
None, 0.0, 2015-05-22 00:00:00, 9.0, 18.9
None, 0.0, 2015-05-23 00:00:00, 8.9, 12.8
None, 1.0, 2015-05-24 00:00:00, 8.8, 11.5
None, 7.0, 2015-05-25 00:00:00, 8.5, 10.4
None, 2.9, 2015-05-26 00:00:00, 8.9, 15.4
None, 0.0, 2015-05-27 00:00:00, 9.9, 18.6
None, 0.0, 2015-05-28 00:00:00, 10.4, 23.1
None, 0.0, 2015-05-29 00:00:00, 8.8, 24.0
None, 0.0, 2015-05-30 00:00:00, 6.2, 19.6
None, 0.0, 2015-05-31 00:00:00, 4.5, 20.3
None, 0.0, 2015-06-01 00:00:00, 9.2, 18.4
None, 16.1, 2015-06-02 00:00:00, 7.9, 9.2
None, 3.3, 2015-06-03 00:00:00, 7.2, 10.2
None, 0.0, 2015-06-04 00:00:00, 8.1, 15.6
None, 1.8, 2015-06-05 00:00:00, 7.4, 23.0
None, 0.0, 2015-06-06 00:00:00, 9.6, 24.3
None, 0.0, 2015-06-07 00:00:00, 11.1, 25.5
None, 0.0, 2015-06-08 00:00:00, 10.5, 25.5
None, 0.0, 2015-06-09 00:00:00, 9.0, 23.2
None, 0.0, 2015-06-10 00:00:00, 7.8, 20.9
None, 0.0, 2015-06-11 00:00:00, 6.7, 19.2
None, 0.0, 2015-06-12 00:00:00, 5.1, 10.9
None, 0.0, 2015-06-13 00:00:00, 3.6, 19.4
None, 0.0, 2015-06-14 00:00:00, 5.4, 24.2
None, 0.0, 2015-06-15 00:00:00, 10.9, 26.0
None, 0.0, 2015-06-16 00:00:00, 8.3, 20.5
None, 0.0, 2015-06-17 00:00:00, 5.4, 19.8
None, 3.2, 2015-06-18 00:00:00, 8.7, 21.0
None, 3.3, 2015-06-19 00:00:00, 5.3, 17.2
None, 0.0, 2015-06-20 00:00:00, 4.3, 18.0
None, 0.0, 2015-06-21 00:00:00, 5.4, 23.2
None, 0.0, 2015-06-22 00:00:00, 6.9, 20.8
None, 0.0, 2015-06-23 00:00:00, 5.6, 21.8
None, 0.0, 2015-06-24 00:00:00, 8.6, 21.6
None, 0.0, 2015-06-25 00:00:00, 9.7, 24.3
None, 0.0, 2015-06-26 00:00:00, 11.6, 28.1
None, 1.0, 2015-06-27 00:00:00, 13.4, 30.1
None, 0.0, 2015-06-28 00:00:00, 15.7, 31.0
None, 0.0, 2015-06-29 00:00:00, 14.5, 27.6
None, 0.0, 2015-06-30 00:00:00, 12.8, 26.5
None, 0.0, 2015-07-01 00:00:00, 12.0, 29.3
None, 0.0, 2015-07-02 00:00:00, 14.7, 30.6
None, 0.0, 2015-07-03 00:00:00, 13.4, 28.4
None, 0.0, 2015-07-04 00:00:00, 12.6, 27.8
None, 0.0, 2015-07-05 00:00:00, 15.4, 31.5
None, 0.0, 2015-07-06 00:00:00, 13.1, 24.8
None, 0.0, 2015-07-07 00:00:00, 11.5, 24.0
None, 0.0, 2015-07-08 00:00:00, 12.6, 27.0
None, 0.0, 2015-07-09 00:00:00, 13.6, 27.7
None, 0.0, 2015-07-10 00:00:00, 11.4, 19.0
None, 0.7, 2015-07-11 00:00:00, 11.3, 12.4
None, 13.5, 2015-07-12 00:00:00, 11.4, 15.7
None, 0.0, 2015-07-13 00:00:00, 8.9, 21.7
None, 0.0, 2015-07-14 00:00:00, 7.7, 21.5
None, 0.0, 2015-07-15 00:00:00, 8.0, 20.6
None, 0.0, 2015-07-16 00:00:00, 8.7, 20.2
None, 0.0, 2015-07-17 00:00:00, 7.6, 23.5
None, 0.0, 2015-07-18 00:00:00, 12.0, 28.6
None, 0.0, 2015-07-19 00:00:00, 13.4, 29.7
None, 0.0, 2015-07-20 00:00:00, 9.6, 21.9
None, 0.0, 2015-07-21 00:00:00, 8.1, 15.7
None, 0.0, 2015-07-22 00:00:00, 7.3, 14.7
None, 0.0, 2015-07-23 00:00:00, 7.9, 20.7
None, 21.0, 2015-07-24 00:00:00, 8.5, 11.4
None, 3.0, 2015-07-25 00:00:00, 9.2, 12.5
None, 28.0, 2015-07-26 00:00:00, 7.7, 12.7
