CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, 5.087,94.9, None, None, None, None,11.03, None,1.05,225.1, None, None, None, None, None, None, None, None, None,2016-07-15 00:00:00, None, 17.89,29
None, 4.94,95.5, None, None, None, None,13.75, None,1.197,230.7, None, None, None, None, None, None, None, None, None,2016-07-15 01:00:00, None, 18.16,29
None, 4.786,95.9, None, None, None, None,16.95, None,0.98,237.5, None, None, None, None, None, None, None, None, None,2016-07-15 02:00:00, None, 17.8,29
None, 4.51,95.9, None, None, None, None,14.0, None,0.851,236.8, None, None, None, None, None, None, None, None, None,2016-07-15 03:00:00, None, 18.35,29
None, 4.553,96.2, None, None, None, None,15.61, None,0.379,232.2, None, None, None, None, None, None, None, None, None,2016-07-15 04:00:00, None, 18.64,29
None, 4.504,96.8, None, None, None, None,19.43, None,1.3,233.1, None, None, None, None, None, None, None, None, None,2016-07-15 05:00:00, None, 18.38,29
None, 4.236,97.1, None, None, None, None,16.0, None,1.19,234.2, None, None, None, None, None, None, None, None, None,2016-07-15 06:00:00, None, 16.79,29
None, 4.306,97.3, None, None, None, None,12.83, None,2.225,224.3, None, None, None, None, None, None, None, None, None,2016-07-15 07:00:00, None, 16.02,29
None, 5.036,97.5, None, None, None, None,21.12, None,2.318,226.4, None, None, None, None, None, None, None, None, None,2016-07-15 08:00:00, None, 16.27,29
None, 5.568,97.4, None, None, None, None,15.73, None,1.709,228.7, None, None, None, None, None, None, None, None, None,2016-07-15 09:00:00, None, 16.09,29
None, 5.732,97.3, None, None, None, None,19.99, None,1.703,237.2, None, None, None, None, None, None, None, None, None,2016-07-15 10:00:00, None, 15.56,29
None, 5.937,96.8, None, None, None, None,20.06, None,1.179,240.5, None, None, None, None, None, None, None, None, None,2016-07-15 11:00:00, None, 15.94,29
None, 5.902,96.8, None, None, None, None,25.5, None,0.999,242.9, None, None, None, None, None, None, None, None, None,2016-07-15 12:00:00, None, 15.43,29
