air_temp,min_air_temp_snc_last_reset,time,max_air_temp_snc_last_reset,week_of_year
7.2,6.5,2022-04-02 00:00:00,8.0,14
6.9,6.5,2022-04-02 01:00:00,8.0,14
6.7,6.5,2022-04-02 02:00:00,8.0,14
6.5,6.5,2022-04-02 03:00:00,8.0,14
6.9,6.4,2022-04-02 04:00:00,8.0,14
6.3,5.7,2022-04-02 05:00:00,8.0,14
6.2,5.7,2022-04-02 06:00:00,8.0,14
7.2,6.0,2022-04-02 07:00:00,7.2,14
6.7,6.0,2022-04-02 08:00:00,7.2,14
6.9,6.0,2022-04-02 09:00:00,7.2,14
8.0,6.0,2022-04-02 10:00:00,8.1,14
8.2,6.0,2022-04-02 11:00:00,8.2,14
8.6,6.0,2022-04-02 12:00:00,8.6,14
9.2,6.0,2022-04-02 13:00:00,9.7,14
9.2,6.0,2022-04-02 14:00:00,9.7,14
9.1,6.0,2022-04-02 15:00:00,9.7,14
9.1,6.0,2022-04-02 16:00:00,9.7,14
9.3,6.0,2022-04-02 17:00:00,9.7,14
9.4,6.0,2022-04-02 18:00:00,9.7,14
9.3,9.3,2022-04-02 19:00:00,9.6,14
7.2,7.2,2022-04-02 20:00:00,9.6,14
7.6,7.1,2022-04-02 21:00:00,9.6,14
6.8,6.8,2022-04-02 22:00:00,9.6,14
6.9,6.7,2022-04-02 23:00:00,9.6,14
7.0,6.7,2022-04-03 00:00:00,9.6,14
7.6,6.7,2022-04-03 01:00:00,9.6,14
7.3,6.7,2022-04-03 02:00:00,9.6,14
7.7,6.7,2022-04-03 03:00:00,9.6,14
7.6,6.7,2022-04-03 04:00:00,9.6,14
8.2,6.7,2022-04-03 05:00:00,9.6,14
7.7,6.7,2022-04-03 06:00:00,9.6,14
7.0,7.0,2022-04-03 07:00:00,7.9,14
6.8,6.5,2022-04-03 08:00:00,7.9,14
7.0,6.5,2022-04-03 09:00:00,7.9,14
7.7,6.5,2022-04-03 10:00:00,7.9,14
8.5,6.5,2022-04-03 11:00:00,8.6,14
8.6,6.5,2022-04-03 12:00:00,8.7,14
8.9,6.5,2022-04-03 13:00:00,8.9,14
8.3,6.5,2022-04-03 14:00:00,9.1,14
7.7,6.5,2022-04-03 15:00:00,9.1,14
7.6,6.5,2022-04-03 16:00:00,9.1,14
7.5,6.5,2022-04-03 17:00:00,9.1,14
6.6,6.5,2022-04-03 18:00:00,9.1,14
6.5,6.3,2022-04-03 19:00:00,6.9,14
6.0,6.0,2022-04-03 20:00:00,6.9,14
6.0,-772.2,2022-04-03 21:00:00,6.1,14
7.3,-1394.0,2022-04-03 22:00:00,7.4,14
8.5,-1394.0,2022-04-03 23:00:00,8.6,14
8.3,8.1,2022-04-04 00:00:00,8.5,14
7.7,7.7,2022-04-04 01:00:00,8.5,14
7.4,-993.0,2022-04-04 02:00:00,7.5,14
7.4,-993.0,2022-04-04 03:00:00,7.5,14
7.8,-993.0,2022-04-04 04:00:00,7.8,14
8.1,-993.0,2022-04-04 05:00:00,8.2,14
8.2,-993.0,2022-04-04 06:00:00,8.8,14
7.3,7.2,2022-04-04 07:00:00,8.6,14
6.9,6.6,2022-04-04 08:00:00,8.6,14
6.8,6.6,2022-04-04 09:00:00,8.6,14
6.7,6.2,2022-04-04 10:00:00,8.6,14
6.5,6.2,2022-04-04 11:00:00,8.6,14
6.7,6.2,2022-04-04 12:00:00,8.6,14
6.9,6.2,2022-04-04 13:00:00,8.6,14
6.0,5.9,2022-04-04 14:00:00,8.6,14
7.8,5.9,2022-04-04 15:00:00,8.6,14
7.6,5.9,2022-04-04 16:00:00,8.6,14
6.4,5.9,2022-04-04 17:00:00,8.6,14
6.6,5.7,2022-04-04 18:00:00,8.6,14
6.5,6.3,2022-04-04 19:00:00,6.6,14
6.4,6.3,2022-04-04 20:00:00,6.6,14
6.6,6.3,2022-04-04 21:00:00,6.7,14
6.4,6.3,2022-04-04 22:00:00,6.7,14
6.4,6.2,2022-04-04 23:00:00,6.7,14
6.4,6.2,2022-04-05 00:00:00,6.7,14
6.1,6.1,2022-04-05 01:00:00,6.7,14
6.2,6.0,2022-04-05 02:00:00,6.7,14
6.0,5.9,2022-04-05 03:00:00,6.7,14
6.1,5.8,2022-04-05 04:00:00,6.7,14
6.1,5.8,2022-04-05 05:00:00,6.7,14
6.5,5.8,2022-04-05 06:00:00,6.7,14
6.0,5.9,2022-04-05 07:00:00,6.5,14
6.1,5.8,2022-04-05 08:00:00,6.5,14
6.3,5.8,2022-04-05 09:00:00,6.5,14
7.5,5.8,2022-04-05 10:00:00,7.5,14
7.7,5.8,2022-04-05 11:00:00,8.0,14
8.1,5.8,2022-04-05 12:00:00,8.2,14
8.2,5.8,2022-04-05 13:00:00,8.7,14
9.0,5.8,2022-04-05 14:00:00,9.3,14
9.5,5.8,2022-04-05 15:00:00,9.8,14
