RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
91.9, None, None, None, 5.528, 25.51, 0.0, 0.8, 0.0, 973.0, None, None, None, -1.0, None, -1.037, None, None, 0.881, None, 2.7, None, None, 24.48, None, 0.9, 1021.0, 0.2, 0.0, 92.0,2021-11-26 20:00:00, 973.0,48
93.7, None, None, None, 0.71, 24.12, -1.0, 0.0, -1.0, 974.0, None, None, None, -1.0, None, -0.773, None, None, 0.001, None, 2.7, None, None, 41.06, None, 0.0, 1022.1, -0.1, 1.0, 94.0,2021-11-26 21:00:00, 974.0,48
94.9, None, None, None, 6.332, 24.81, -1.0, -0.4, -1.0, 974.0, None, None, None, -1.0, None, -0.744, None, None, -0.391, None, 2.7, None, None, 13.73, None, -0.4, 1022.1, -0.4, 0.0, 95.0,2021-11-26 22:00:00, 974.0,48
95.6, None, None, None, 6.553, 44.77, -1.0, -0.8, -1.0, 974.0, None, None, None, -1.0, None, -0.673, None, None, -0.783, None, 2.7, None, None, 11.68, None, -0.8, 1022.0, 0.2, 0.0, 96.0,2021-11-26 23:00:00, 974.0,48
95.8, None, None, None, 7.801, 36.58, -1.0, -0.8, -1.0, 975.0, None, None, None, -1.0, None, -0.694, None, None, -0.734, None, 2.7, None, None, 12.11, None, -0.7, 1023.0, -0.1, 0.0, 96.0,2021-11-27 00:00:00, 975.0,48
96.0, None, None, None, 9.23, 35.6, -1.0, -0.8, -1.0, 974.0, None, None, None, -1.0, None, -0.645, None, None, -0.804, None, 2.7, None, None, 14.47, None, -0.8, 1021.9, -0.1, 0.0, 96.0,2021-11-27 01:00:00, 974.0,48
96.1, None, None, None, 5.973, 35.64, -1.0, -0.9, -1.0, 974.0, None, None, None, -1.0, None, -0.71, None, None, -0.962, None, 2.7, None, None, 15.41, None, -1.0, 1021.9, 0.2, 0.0, 96.0,2021-11-27 02:00:00, 974.0,48
96.1, None, None, None, 5.012, 27.15, -1.0, -1.2, -1.0, 975.0, None, None, None, -1.0, None, -0.611, None, None, -0.93, None, 2.7, None, None, 22.63, None, -0.9, 1022.9, 0.1, 0.0, 96.0,2021-11-27 03:00:00, 975.0,48
96.2, None, None, None, 8.44, 26.17, -1.0, -1.2, -1.0, 974.0, None, None, None, -1.0, None, -0.665, None, None, -0.78, None, 2.7, None, None, 17.33, None, -0.8, 1022.0, 0.0, 0.0, 96.0,2021-11-27 04:00:00, 974.0,48
96.2, None, None, None, 5.365, 34.18, -1.0, -1.2, -1.0, 974.0, None, None, None, -1.0, None, -0.641, None, None, -0.563, None, 2.7, None, None, 27.79, None, -0.6, 1022.1, 0.1, 0.0, 96.0,2021-11-27 05:00:00, 974.0,48
96.3, None, None, None, 1.966, 8.45, -1.0, -1.2, -1.0, 973.0, None, None, None, -1.0, None, -0.685, None, None, -0.93, None, 2.7, None, None, 45.32, None, -0.9, 1021.1, -0.1, 0.0, 96.0,2021-11-27 06:00:00, 973.0,48
96.3, None, None, None, 4.553, 5.448, -1.0, -1.0, -1.0, 972.0, None, None, None, -1.0, None, -0.681, None, None, -0.979, None, -0.8, None, None, 48.2, None, -1.0, 1020.1, 0.1, 0.0, 96.0,2021-11-27 07:00:00, 972.0,48
96.2, None, None, None, 0.079, 177.0, -1.0, -1.0, -1.0, 971.0, None, None, None, -1.0, None, -0.645, None, None, -0.636, None, -0.6, None, None, 49.52, None, -0.6, 1019.0, 0.1, 0.0, 96.0,2021-11-27 08:00:00, 971.0,48
96.2, None, None, None, 0.017, 68.06, -1.0, -1.0, -1.0, 971.0, None, None, None, -1.0, None, -0.548, None, None, -0.342, None, -0.3, None, None, 58.1, None, -0.3, 1019.1, 0.0, 0.0, 96.0,2021-11-27 09:00:00, 971.0,48
96.0, None, None, None, 9.49, 28.99, 0.0, -1.0, 0.0, 971.0, None, None, None, 0.0, None, -0.281, None, None, 0.904, None, 0.8, None, None, 26.25, None, 0.9, 1019.0, -0.3, 1.0, 96.0,2021-11-27 10:00:00, 971.0,48
95.5, None, None, None, 1.583, 174.9, 1.0, -1.0, 1.0, 971.0, None, None, None, 0.0, None, -0.242, None, None, 1.128, None, 1.3, None, None, 56.13, None, 1.1, 1019.0, 1.7, 0.0, 96.0,2021-11-27 11:00:00, 971.0,48
95.2, None, None, None, 0.421, 170.0, 1.0, -1.0, 1.0, 970.0, None, None, None, -1.0, None, -0.728, None, None, 1.963, None, 2.2, None, None, 56.75, None, 2.0, 1017.9, 0.9, 0.0, 95.0,2021-11-27 12:00:00, 970.0,48
95.0, None, None, None, 0.018, 138.5, 1.0, -1.0, 1.0, 968.0, None, None, None, -1.0, None, -0.628, None, None, 1.887, None, 2.2, None, None, 58.62, None, 1.9, 1015.8, 0.0, 0.0, 95.0,2021-11-27 13:00:00, 968.0,48
95.0, None, None, None, 0.274, 6.721, 1.0, -1.0, 1.0, 968.0, None, None, None, -1.0, None, -0.931, None, None, 1.961, None, 2.2, None, None, 67.51, None, 2.0, 1015.9, 0.0, 0.0, 95.0,2021-11-27 14:00:00, 968.0,48
94.0, None, None, None, 5.16, 23.94, 2.0, -1.0, 2.0, 967.0, None, None, None, -1.0, None, -0.75, None, None, 2.949, None, 2.9, None, None, 28.51, None, 2.9, 1014.7, -0.3, 0.0, 94.0,2021-11-27 15:00:00, 967.0,48
83.8, None, None, None, 11.16, 29.61, 2.0, -1.0, 2.0, 967.0, None, None, None, -1.0, None, -1.007, None, None, 4.344, None, 4.3, None, None, 33.27, None, 4.3, 1014.7, 0.1, 0.0, 84.0,2021-11-27 16:00:00, 967.0,48
82.5, None, None, None, 12.38, 350.6, 2.0, -1.0, 2.0, 967.0, None, None, None, -1.0, None, -0.957, None, None, 4.331, None, 4.8, None, None, 16.15, None, 4.3, 1014.7, 0.0, 0.0, 83.0,2021-11-27 17:00:00, 967.0,48
90.0, None, None, None, 8.22, 351.6, 2.0, -1.0, 2.0, 966.0, None, None, None, -1.0, None, -0.912, None, None, 3.467, None, 4.9, None, None, 25.18, None, 3.5, 1013.7, 0.8, 0.0, 90.0,2021-11-27 18:00:00, 966.0,48
92.6, None, None, None, 6.8, 353.1, 2.0, 3.1, 2.0, 965.0, None, None, None, -1.0, None, -0.763, None, None, 3.362, None, 3.7, None, None, 18.51, None, 3.4, 1012.6, 0.8, 0.0, 93.0,2021-11-27 19:00:00, 965.0,48
92.1, None, None, None, 8.54, 352.0, 2.0, 3.1, 2.0, 965.0, None, None, None, -1.0, None, -0.855, None, None, 3.269, None, 3.7, None, None, 24.6, None, 3.3, 1012.6, 1.4, 0.0, 92.0,2021-11-27 20:00:00, 965.0,48
90.2, None, None, None, 8.41, 15.1, 2.0, 3.0, 2.0, 965.0, None, None, None, -1.0, None, -0.919, None, None, 2.963, None, 3.7, None, None, 48.74, None, 3.0, 1012.6, 0.1, 0.0, 90.0,2021-11-27 21:00:00, 965.0,48
89.9, None, None, None, 10.81, 32.19, 1.0, 2.8, 1.0, 964.0, None, None, None, -1.0, None, -0.896, None, None, 2.964, None, 3.7, None, None, 30.1, None, 3.0, 1011.5, 1.3, 0.0, 90.0,2021-11-27 22:00:00, 964.0,48
88.6, None, None, None, 1.851, 84.6, 1.0, 2.8, 1.0, 963.0, None, None, None, -1.0, None, -0.968, None, None, 3.069, None, 3.7, None, None, 52.32, None, 3.1, 1010.4, 0.1, 0.0, 89.0,2021-11-27 23:00:00, 963.0,48
85.3, None, None, None, 4.172, 39.15, 1.0, 2.8, 1.0, 963.0, None, None, None, -1.0, None, -0.962, None, None, 3.581, None, 3.7, None, None, 41.7, None, 3.6, 1010.4, -0.1, 0.0, 85.0,2021-11-28 00:00:00, 963.0,48
89.0, None, None, None, 6.404, 34.77, 1.0, 2.7, 1.0, 963.0, None, None, None, -1.0, None, -0.728, None, None, 2.867, None, 3.7, None, None, 32.88, None, 2.9, 1010.4, -0.4, 0.0, 89.0,2021-11-28 01:00:00, 963.0,48
92.9, None, None, None, 5.238, 19.92, 1.0, 1.5, 1.0, 963.0, None, None, None, -1.0, None, -0.957, None, None, 1.544, None, 3.7, None, None, 28.32, None, 1.5, 1010.5, 1.1, 0.0, 93.0,2021-11-28 02:00:00, 963.0,48
93.5, None, None, None, 0.0, 12.99, 1.0, 1.5, 1.0, 963.0, None, None, None, -1.0, None, -0.911, None, None, 1.592, None, 3.7, None, None, 46.38, None, 1.6, 1010.4, 0.4, 0.0, 94.0,2021-11-28 03:00:00, 963.0,48
93.9, None, None, None, 0.0, 14.77, 1.0, 1.5, 1.0, 964.0, None, None, None, -1.0, None, -0.959, None, None, 1.541, None, 3.7, None, None, 45.2, None, 1.5, 1011.4, 0.0, 0.0, 94.0,2021-11-28 04:00:00, 964.0,48
94.2, None, None, None, 0.0, 65.35, 1.0, 1.5, 1.0, 964.0, None, None, None, -1.0, None, -0.941, None, None, 1.508, None, 3.7, None, None, 61.01, None, 1.5, 1011.4, 0.2, 0.0, 94.0,2021-11-28 05:00:00, 964.0,48
94.4, None, None, None, 0.085, 45.62, 1.0, 1.5, 1.0, 965.0, None, None, None, -1.0, None, -0.923, None, None, 1.479, None, 3.7, None, None, 49.15, None, 1.5, 1012.5, 0.0, 0.0, 94.0,2021-11-28 06:00:00, 965.0,48
94.5, None, None, None, 0.001, 0.984, 1.0, 1.5, 1.0, 965.0, None, None, None, -1.0, None, -0.967, None, None, 1.609, None, 1.6, None, None, 32.74, None, 1.6, 1012.5, 0.5, 0.0, 95.0,2021-11-28 07:00:00, 965.0,48
94.6, None, None, None, 0.063, 18.93, 1.0, 1.5, 1.0, 965.0, None, None, None, -1.0, None, -0.946, None, None, 1.75, None, 1.8, None, None, 55.25, None, 1.8, 1012.5, 0.1, 0.0, 95.0,2021-11-28 08:00:00, 965.0,48
94.6, None, None, None, 1.568, 21.12, 1.0, 1.5, 1.0, 965.0, None, None, None, -1.0, None, -0.947, None, None, 1.988, None, 2.0, None, None, 55.29, None, 2.0, 1012.5, 0.0, 0.0, 95.0,2021-11-28 09:00:00, 965.0,48
94.6, None, None, None, 2.122, 5.378, 1.0, 1.5, 1.0, 966.0, None, None, None, -1.0, None, -0.86, None, None, 1.834, None, 2.0, None, None, 25.92, None, 1.8, 1013.5, -0.1, 0.0, 95.0,2021-11-28 10:00:00, 966.0,48
94.7, None, None, None, 1.9, 354.5, 1.0, 1.5, 1.0, 965.0, None, None, None, -1.0, None, -0.942, None, None, 1.962, None, 2.0, None, None, 21.12, None, 2.0, 1012.5, 0.1, 0.0, 95.0,2021-11-28 11:00:00, 965.0,48
94.6, None, None, None, 2.032, 31.63, 1.0, 1.5, 1.0, 965.0, None, None, None, -1.0, None, -0.826, None, None, 2.181, None, 2.2, None, None, 60.21, None, 2.2, 1012.4, -0.3, 0.0, 95.0,2021-11-28 12:00:00, 965.0,48
93.8, None, None, None, 9.6, 25.25, 1.0, 1.5, 1.0, 965.0, None, None, None, -1.0, None, -0.829, None, None, 2.377, None, 2.4, None, None, 15.77, None, 2.4, 1012.5, 0.1, 0.0, 94.0,2021-11-28 13:00:00, 965.0,48
93.7, None, None, None, 2.382, 1.36, 2.0, 1.5, 2.0, 965.0, None, None, None, -1.0, None, -0.936, None, None, 2.671, None, 2.7, None, None, 14.3, None, 2.7, 1012.5, 0.3, 0.0, 94.0,2021-11-28 14:00:00, 965.0,48
92.8, None, None, None, 0.148, 351.8, 2.0, 1.5, 2.0, 965.0, None, None, None, -1.0, None, -1.047, None, None, 2.864, None, 3.2, None, None, 43.85, None, 2.9, 1012.5, 0.0, 0.0, 93.0,2021-11-28 15:00:00, 965.0,48
93.4, None, None, None, 0.0, 171.3, 1.0, 1.5, 1.0, 966.0, None, None, None, -1.0, None, -1.061, None, None, 2.133, None, 3.2, None, None, 52.11, None, 2.1, 1013.6, 0.0, 0.0, 93.0,2021-11-28 16:00:00, 966.0,48
94.0, None, None, None, 0.056, 143.0, 1.0, 1.5, 1.0, 967.0, None, None, None, -1.0, None, -0.943, None, None, 2.132, None, 3.2, None, None, 57.47, None, 2.1, 1014.7, -0.1, 0.0, 94.0,2021-11-28 17:00:00, 967.0,48
94.6, None, None, None, 4.796, 189.4, 1.0, 1.5, 1.0, 967.0, None, None, None, -1.0, None, -0.978, None, None, 1.593, None, 3.2, None, None, 26.45, None, 1.6, 1014.7, 0.0, 0.0, 95.0,2021-11-28 18:00:00, 967.0,48
95.2, None, None, None, 2.094, 165.3, 1.0, 1.3, 1.0, 967.0, None, None, None, -1.0, None, -0.988, None, None, 1.266, None, 1.6, None, None, 45.52, None, 1.3, 1014.7, 0.0, 0.0, 95.0,2021-11-28 19:00:00, 967.0,48
94.9, None, None, None, 7.365, 175.3, 1.0, 1.3, 1.0, 968.0, None, None, None, -1.0, None, -1.048, None, None, 1.7, None, 2.6, None, None, 52.26, None, 1.7, 1015.7, -0.1, 0.0, 95.0,2021-11-28 20:00:00, 968.0,48
95.3, None, None, None, 4.963, 43.32, 1.0, 1.3, 1.0, 969.0, None, None, None, -1.0, None, -0.94, None, None, 1.741, None, 2.6, None, None, 65.94, None, 1.7, 1016.8, 0.1, 0.0, 95.0,2021-11-28 21:00:00, 969.0,48
95.0, None, None, None, 7.474, 166.0, 4.0, 1.3, 4.0, 969.0, None, None, None, -1.0, None, -0.517, None, None, 4.315, None, 4.2, None, None, 56.49, None, 4.3, 1016.6, 0.8, 1.0, 95.0,2021-11-28 22:00:00, 969.0,48
94.3, None, None, None, 7.794, 29.97, 2.0, 1.3, 2.0, 970.0, None, None, None, -1.0, None, -0.887, None, None, 2.652, None, 4.4, None, None, 56.21, None, 2.7, 1017.7, 0.1, 0.0, 94.0,2021-11-28 23:00:00, 970.0,48
94.2, None, None, None, 5.854, 175.4, 2.0, 1.3, 2.0, 970.0, None, None, None, -1.0, None, -0.886, None, None, 2.721, None, 4.4, None, None, 48.83, None, 2.7, 1017.7, 0.0, 0.0, 94.0,2021-11-29 00:00:00, 970.0,48
94.4, None, None, None, 1.265, 40.59, 2.0, 1.3, 2.0, 970.0, None, None, None, -1.0, None, -0.989, None, None, 2.53, None, 4.4, None, None, 59.22, None, 2.5, 1017.7, 0.0, 0.0, 94.0,2021-11-29 01:00:00, 970.0,48
