station_observations
AirTemperature, Precipitation, Rain, WindSpeed, SnowDepth, time, WindDirection, SnowWaterEquivalent, RelativeHumidity
-0.3, 0.0, 0.0, 0.7, 0.0, 2019-01-01 00:00:00, 218.0, 0.3, 52.0
-0.4, None, 0.0, 2.1, None, 2019-01-01 00:15:00, 329.0, None, 53.0
-0.5, None, 0.0, 1.6, None, 2019-01-01 00:30:00, 290.0, None, 53.0
-0.3, None, 0.0, 4.6, None, 2019-01-01 00:45:00, 244.0, None, 50.0
0.4, 0.0, 0.0, 7.3, 0.0, 2019-01-01 01:00:00, 227.0, 0.6, 45.0
0.4, None, 0.0, 7.7, None, 2019-01-01 01:15:00, 217.0, None, 47.0
0.5, None, 0.0, 6.2, None, 2019-01-01 01:30:00, 204.0, None, 43.0
0.0, None, 0.0, 6.1, None, 2019-01-01 01:45:00, 218.0, None, 49.0
0.3, 0.0, 0.0, 6.2, 0.0, 2019-01-01 02:00:00, 206.0, 0.5, 45.0
0.5, None, 0.0, 3.7, None, 2019-01-01 02:15:00, 196.0, None, 42.0
0.1, None, 0.0, 2.4, None, 2019-01-01 02:30:00, 8.0, None, 54.0
0.0, None, 0.0, 2.6, None, 2019-01-01 02:45:00, 266.0, None, 50.0
-0.1, 0.0, 0.0, 3.3, 0.0, 2019-01-01 03:00:00, 245.0, 0.7, 63.0
0.2, None, 0.0, 4.2, None, 2019-01-01 03:15:00, 245.0, None, 44.0
0.4, None, 0.0, 1.5, None, 2019-01-01 03:30:00, 72.0, None, 46.0
0.4, None, 0.0, 2.2, None, 2019-01-01 03:45:00, 229.0, None, 45.0
0.3, 0.0, 0.0, 4.2, 0.0, 2019-01-01 04:00:00, 221.0, 0.7, 48.0
0.1, None, 0.0, 3.9, None, 2019-01-01 04:15:00, 219.0, None, 58.0
-0.3, None, 0.0, 3.3, None, 2019-01-01 04:30:00, 103.0, None, 59.0
-0.8, None, 0.0, 3.4, None, 2019-01-01 04:45:00, 123.0, None, 58.0
-0.8, 0.0, 0.0, 3.8, 0.0, 2019-01-01 05:00:00, 238.0, 0.3, 66.0
-0.9, None, 0.0, 6.5, None, 2019-01-01 05:15:00, 239.0, None, 57.0
-0.7, None, 0.0, 4.1, None, 2019-01-01 05:30:00, 248.0, None, 52.0
-0.1, None, 0.0, 3.2, None, 2019-01-01 05:45:00, 199.0, None, 52.0
0.2, 0.0, 0.0, 7.4, 0.0, 2019-01-01 06:00:00, 222.0, 0.2, 50.0
0.3, None, 0.0, 4.0, None, 2019-01-01 06:15:00, 124.0, None, 54.0
0.1, None, 0.0, 2.1, None, 2019-01-01 06:30:00, 267.0, None, 54.0
0.0, None, 0.0, 3.5, None, 2019-01-01 06:45:00, 252.0, None, 66.0
-0.2, 0.0, 0.0, 7.3, 0.0, 2019-01-01 07:00:00, 243.0, 0.5, 57.0
-0.3, None, 0.0, 2.1, None, 2019-01-01 07:15:00, 53.0, None, 61.0
-0.4, None, 0.0, 0.8, None, 2019-01-01 07:30:00, 119.0, None, 59.0
-0.6, None, 0.0, 1.1, None, 2019-01-01 07:45:00, 101.0, None, 60.0
