station_observations
RelativeHumidity, AirTemperature, time, Rain
None, 1.1, 2019-01-01 00:00:00, 0.0
None, 1.2, 2019-01-01 00:15:00, 0.0
None, 1.2, 2019-01-01 00:30:00, 0.0
None, 1.2, 2019-01-01 00:45:00, 0.0
None, 1.2, 2019-01-01 01:00:00, 0.0
None, 1.3, 2019-01-01 01:15:00, 0.0
None, 1.3, 2019-01-01 01:30:00, 0.0
None, 1.3, 2019-01-01 01:45:00, 0.0
None, 1.1, 2019-01-01 02:00:00, 0.0
None, 1.1, 2019-01-01 02:15:00, 0.0
None, 1.0, 2019-01-01 02:30:00, 0.0
None, 1.1, 2019-01-01 02:45:00, 0.0
None, 1.0, 2019-01-01 03:00:00, 0.0
None, 0.9, 2019-01-01 03:15:00, 0.0
None, 1.1, 2019-01-01 03:30:00, 0.0
None, 1.2, 2019-01-01 03:45:00, 0.0
None, 1.2, 2019-01-01 04:00:00, 0.0
None, 1.2, 2019-01-01 04:15:00, 0.0
None, 1.0, 2019-01-01 04:30:00, 0.0
None, 1.0, 2019-01-01 04:45:00, 0.0
None, 0.9, 2019-01-01 05:00:00, 0.0
None, 0.8, 2019-01-01 05:15:00, 0.0
None, 0.9, 2019-01-01 05:30:00, 0.0
None, 0.9, 2019-01-01 05:45:00, 0.0
None, 0.9, 2019-01-01 06:00:00, 0.0
None, 1.1, 2019-01-01 06:15:00, 0.0
None, 1.2, 2019-01-01 06:30:00, 0.0
None, 1.2, 2019-01-01 06:45:00, 0.0
None, 1.2, 2019-01-01 07:00:00, 0.0
None, 1.2, 2019-01-01 07:15:00, 0.0
None, 1.1, 2019-01-01 07:30:00, 0.0
None, 1.2, 2019-01-01 07:45:00, 0.0
None, 1.1, 2019-01-01 08:00:00, 0.0
None, 1.1, 2019-01-01 08:15:00, 0.0
None, 1.0, 2019-01-01 08:30:00, 0.0
None, 1.0, 2019-01-01 08:45:00, 0.0
None, 1.1, 2019-01-01 09:00:00, 0.0
None, 1.1, 2019-01-01 09:15:00, 0.0
None, 1.2, 2019-01-01 09:30:00, 0.0
None, 1.3, 2019-01-01 09:45:00, 0.0
None, 1.4, 2019-01-01 10:00:00, 0.0
None, 1.8, 2019-01-01 10:15:00, 0.0
None, 1.7, 2019-01-01 10:30:00, 0.0
None, 1.9, 2019-01-01 10:45:00, 0.0
None, 2.7, 2019-01-01 11:00:00, 0.0
None, 2.7, 2019-01-01 11:15:00, 0.0
None, 2.8, 2019-01-01 11:30:00, 0.0
None, 2.9, 2019-01-01 11:45:00, 0.0
None, 3.4, 2019-01-01 12:00:00, 0.0
None, 3.0, 2019-01-01 12:15:00, 0.0
None, 3.4, 2019-01-01 12:30:00, 0.0
None, 3.4, 2019-01-01 12:45:00, 0.0
None, 3.4, 2019-01-01 13:00:00, 0.0
None, 3.2, 2019-01-01 13:15:00, 0.0
None, 2.9, 2019-01-01 13:30:00, 0.0
None, 2.8, 2019-01-01 13:45:00, 0.0
None, 2.9, 2019-01-01 14:00:00, 0.0
None, 2.9, 2019-01-01 14:15:00, 0.0
None, 2.8, 2019-01-01 14:30:00, 0.0
None, 2.5, 2019-01-01 14:45:00, 0.0
None, 2.1, 2019-01-01 15:00:00, 0.0
None, 1.9, 2019-01-01 15:15:00, 0.0
None, 1.8, 2019-01-01 15:30:00, 0.0
None, 1.8, 2019-01-01 15:45:00, 0.0
None, 1.8, 2019-01-01 16:00:00, 0.0
None, 1.8, 2019-01-01 16:15:00, 0.0
None, 1.8, 2019-01-01 16:30:00, 0.0
None, 1.7, 2019-01-01 16:45:00, 0.0
None, 1.6, 2019-01-01 17:00:00, 0.0
None, 1.5, 2019-01-01 17:15:00, 0.0
None, 1.5, 2019-01-01 17:30:00, 0.0
None, 1.5, 2019-01-01 17:45:00, 0.0
None, 1.3, 2019-01-01 18:00:00, 0.0
None, 1.2, 2019-01-01 18:15:00, 0.0
None, 1.1, 2019-01-01 18:30:00, 0.0
None, 1.2, 2019-01-01 18:45:00, 0.0
None, 1.1, 2019-01-01 19:00:00, 0.0
None, 1.1, 2019-01-01 19:15:00, 0.0
None, 1.0, 2019-01-01 19:30:00, 0.0
None, 1.0, 2019-01-01 19:45:00, 0.0
None, 0.9, 2019-01-01 20:00:00, 0.0
None, 0.7, 2019-01-01 20:15:00, 0.0
None, 0.8, 2019-01-01 20:30:00, 0.0
None, 0.9, 2019-01-01 20:45:00, 0.0
None, 1.0, 2019-01-01 21:00:00, 0.0
