TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
9.4, 1.94, 70.8, 70.54,2017-09-24 00:00:00, 9.53,39
9.5, 1.37, 70.5, 73.86,2017-09-24 01:00:00, 9.05,39
9.1, 1.278, 73.9, 74.35,2017-09-24 02:00:00, 9.28,39
9.3, 1.277, 74.4, 76.05,2017-09-24 03:00:00, 9.26,39
9.3, 1.469, 76.1, 79.7,2017-09-24 04:00:00, 8.85,39
8.9, 0.555, 79.7, 87.5,2017-09-24 05:00:00, 7.199,39
7.2, 0.386, 87.5, 93.1,2017-09-24 06:00:00, 5.527,39
5.5, 0.149, 93.1, 93.0,2017-09-24 07:00:00, 4.67,39
4.7, 0.312, 93.0, 84.3,2017-09-24 08:00:00, 6.8,39
6.8, 0.705999, 84.3, 72.25,2017-09-24 09:00:00, 11.67,39
11.7, 3.049, 72.3, 58.44,2017-09-24 10:00:00, 15.3,39
15.3, 4.886, 58.4, 50.19,2017-09-24 11:00:00, 17.02,39
17.0, 4.407, 50.2, 45.43,2017-09-24 12:00:00, 18.26,39
18.3, 4.334, 45.4, 41.12,2017-09-24 13:00:00, 19.22,39
19.2, 4.3, 41.1, 40.1,2017-09-24 14:00:00, 19.65,39
19.7, 3.905, 40.1, 39.23,2017-09-24 15:00:00, 19.61,39
19.6, 4.13, 39.2, 35.79,2017-09-24 16:00:00, 19.95,39
20.0, 2.284, 35.8, 39.96,2017-09-24 17:00:00, 19.0,39
19.0, 0.994, 40.0, 48.87,2017-09-24 18:00:00, 17.46,39
17.5, 2.266, 48.9, 49.22,2017-09-24 19:00:00, 16.22,39
16.2, 1.775, 49.2, 55.86,2017-09-24 20:00:00, 14.23,39
14.2, 1.283, 55.9, 64.38,2017-09-24 21:00:00, 12.45,39
12.5, 1.497, 64.4, 68.58,2017-09-24 22:00:00, 11.49,39
11.5, 2.308, 68.6, 70.88,2017-09-24 23:00:00, 10.94,39
10.9, 2.581, 70.9, 76.34,2017-09-25 00:00:00, 9.7,39
9.7, 2.099, 76.3, 77.24,2017-09-25 01:00:00, 9.66,39
9.7, 1.595, 77.2, 79.04,2017-09-25 02:00:00, 9.54,39
9.5, 1.798, 79.0, 78.27,2017-09-25 03:00:00, 10.02,39
10.0, 2.056, 78.3, 80.1,2017-09-25 04:00:00, 9.82,39
9.8, 2.628, 80.1, 81.0,2017-09-25 05:00:00, 9.49,39
9.5, 2.383, 81.0, 82.5,2017-09-25 06:00:00, 9.09,39
9.1, 3.128, 82.5, 82.5,2017-09-25 07:00:00, 8.91,39
8.9, 2.312, 82.5, 78.53,2017-09-25 08:00:00, 9.85,39
9.9, 2.878, 78.5, 66.21,2017-09-25 09:00:00, 13.1,39
13.1, 3.181, 66.2, 59.25,2017-09-25 10:00:00, 14.54,39
14.5, 3.206, 59.3, 53.43,2017-09-25 11:00:00, 15.56,39
15.6, 3.95, 53.4, 47.27,2017-09-25 12:00:00, 16.78,39
16.8, 3.347, 47.3, 37.65,2017-09-25 13:00:00, 18.33,39
18.3, 2.845, 37.7, 35.11,2017-09-25 14:00:00, 19.17,39
19.2, 5.181, 35.1, 36.74,2017-09-25 15:00:00, 19.57,39
19.6, 5.113, 36.7, 35.08,2017-09-25 16:00:00, 18.49,39
18.5, 3.922, 35.1, 38.03,2017-09-25 17:00:00, 18.26,39
18.3, 2.712, 38.0, 45.27,2017-09-25 18:00:00, 16.81,39
16.8, 2.146, 45.3, 52.57,2017-09-25 19:00:00, 15.46,39
15.5, 2.253, 52.6, 59.19,2017-09-25 20:00:00, 14.04,39
14.0, 1.842, 59.2, 63.83,2017-09-25 21:00:00, 12.71,39
12.7, 2.369, 63.8, 70.02,2017-09-25 22:00:00, 11.07,39
11.1, 2.505, 70.0, 72.93,2017-09-25 23:00:00, 9.95,39
9.9, 2.348, 72.9, 78.42,2017-09-26 00:00:00, 8.3,39
8.3, 1.852, 78.4, 84.7,2017-09-26 01:00:00, 6.567,39
6.6, 1.31, 84.7, 86.6,2017-09-26 02:00:00, 5.734,39
5.7, 1.648, 86.6, 92.6,2017-09-26 03:00:00, 3.68,39
3.7, 1.322, 92.6, 94.0,2017-09-26 04:00:00, 2.575,39
2.6, 1.429, 94.0, 94.6,2017-09-26 05:00:00, 1.603,39
1.6, 1.266, 94.6, 95.1,2017-09-26 06:00:00, 0.847,39
0.8, 0.898, 95.1, 94.1,2017-09-26 07:00:00, 0.504998,39
0.5, 1.163, 94.1, 89.7,2017-09-26 08:00:00, 1.79,39
1.8, 0.851998, 89.7, 84.9,2017-09-26 09:00:00, 3.857,39
3.9, 0.523998, 84.9, 79.93,2017-09-26 10:00:00, 6.033,39
6.0, 0.428999, 79.9, 69.91,2017-09-26 11:00:00, 9.72,39
9.7, 1.352, 69.9, 57.71,2017-09-26 12:00:00, 14.09,39
14.1, 4.299, 57.7, 45.85,2017-09-26 13:00:00, 17.43,39
17.4, 5.143, 45.9, 42.93,2017-09-26 14:00:00, 18.19,39
18.2, 4.982, 42.9, 47.96,2017-09-26 15:00:00, 17.53,39
17.5, 4.785, 48.0, 48.75,2017-09-26 16:00:00, 17.63,39
17.6, 3.882, 48.8, 50.11,2017-09-26 17:00:00, 17.32,39
17.3, 1.792, 50.1, 57.39,2017-09-26 18:00:00, 15.85,39
15.9, 1.705, 57.4, 62.83,2017-09-26 19:00:00, 14.54,39
14.5, 2.576, 62.8, 69.56,2017-09-26 20:00:00, 12.92,39
12.9, 2.398, 69.6, 71.55,2017-09-26 21:00:00, 12.32,39
12.3, 2.213, 71.6, 69.34,2017-09-26 22:00:00, 12.63,39
12.6, 1.888, 69.3, 67.71,2017-09-26 23:00:00, 12.97,39
13.0, 2.059, 67.7, 69.57,2017-09-27 00:00:00, 12.55,39
12.6, 2.348, 69.6, 70.66,2017-09-27 01:00:00, 12.44,39
12.4, 2.553, 70.7, 71.13,2017-09-27 02:00:00, 12.49,39
12.5, 2.41, 71.1, 72.08,2017-09-27 03:00:00, 12.52,39
12.5, 2.532, 72.1, 74.01,2017-09-27 04:00:00, 12.3,39
12.3, 1.894, 74.0, 74.6,2017-09-27 05:00:00, 12.41,39
12.4, 1.726, 74.6, 75.08,2017-09-27 06:00:00, 12.38,39
12.4, 1.713, 75.1, 74.96,2017-09-27 07:00:00, 12.37,39
12.4, 2.038, 75.0, 69.66,2017-09-27 08:00:00, 13.69,39
13.7, 2.149, 69.7, 63.81,2017-09-27 09:00:00, 15.29,39
15.3, 2.669, 63.8, 54.92,2017-09-27 10:00:00, 17.43,39
17.4, 1.829, 54.9, 46.78,2017-09-27 11:00:00, 19.61,39
19.6, 1.726, 46.8, 44.15,2017-09-27 12:00:00, 20.46,39
20.5, 2.207, 44.2, 41.74,2017-09-27 13:00:00, 21.22,39
21.2, 1.729, 41.7, 39.78,2017-09-27 14:00:00, 21.51,39
21.5, 2.736, 39.8, 37.06,2017-09-27 15:00:00, 21.93,39
21.9, 2.631, 37.1, 37.89,2017-09-27 16:00:00, 21.82,39
21.8, 3.46, 37.9, 40.15,2017-09-27 17:00:00, 21.39,39
21.4, 3.367, 40.2, 45.27,2017-09-27 18:00:00, 19.41,39
19.4, 1.784, 45.3, 50.96,2017-09-27 19:00:00, 17.42,39
17.4, 1.056, 51.0, 55.83,2017-09-27 20:00:00, 15.9,39
15.9, 0.704999, 55.8, 61.83,2017-09-27 21:00:00, 14.29,39
14.3, 0.902, 61.8, 67.2,2017-09-27 22:00:00, 13.0,39
13.0, 0.578, 67.2, 72.68,2017-09-27 23:00:00, 11.83,39
11.8, 0.566999, 72.7, 81.8,2017-09-28 00:00:00, 9.75,39
9.8, 0.492, 81.8, 88.2,2017-09-28 01:00:00, 8.28,39
8.3, 0.757, 88.2, 92.2,2017-09-28 02:00:00, 6.426,39
6.4, 0.862999, 92.2, 92.9,2017-09-28 03:00:00, 5.709,39
5.7, 0.391999, 92.9, 94.3,2017-09-28 04:00:00, 4.1,39
4.1, 0.372999, 94.3, 94.7,2017-09-28 05:00:00, 3.328,39
