wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,snwfl_amt_pst1hr,stn_pres
213.0, None, None,0.0, None,6.1, None,15.0, None, None, None,39.0,2018-07-16 00:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321.0, None, None,0.0, None,11.3, None,16.3, None, None, None,33.0,2018-07-16 01:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0, None, None,0.0, None,10.9, None,17.5, None, None, None,30.0,2018-07-16 02:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298.0, None, None,0.0, None,15.9, None,18.0, None, None, None,28.0,2018-07-16 03:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.0, None, None,0.0, None,3.2, None,15.5, None, None, None,35.0,2018-07-16 04:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.0, None, None,0.0, None,3.1, None,13.1, None, None, None,44.0,2018-07-16 05:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161.0, None, None,0.0, None,3.0, None,18.4, None, None, None,35.0,2018-07-16 06:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.0, None, None,0.0, None,4.4, None,19.4, None, None, None,32.0,2018-07-16 07:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0, None, None,0.0, None,4.5, None,21.1, None, None, None,35.0,2018-07-16 08:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.0, None, None,0.0, None,8.2, None,24.0, None, None, None,28.0,2018-07-16 09:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161.0, None, None,0.0, None,8.2, None,25.6, None, None, None,24.0,2018-07-16 10:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.0, None, None,0.0, None,6.5, None,26.6, None, None, None,20.0,2018-07-16 11:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0, None, None,0.0, None,10.3, None,27.6, None, None, None,18.0,2018-07-16 12:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205.0, None, None,0.0, None,9.1, None,28.1, None, None, None,15.0,2018-07-16 13:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.0, None, None,0.0, None,11.2, None,28.1, None, None, None,18.0,2018-07-16 14:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0, None, None,0.0, None,7.3, None,29.0, None, None, None,16.0,2018-07-16 15:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342.0, None, None,0.0, None,9.2, None,28.2, None, None, None,16.0,2018-07-16 16:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0, None, None,0.0, None,13.6, None,27.5, None, None, None,16.0,2018-07-16 17:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0, None, None,0.0, None,12.0, None,26.9, None, None, None,16.0,2018-07-16 18:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0, None, None,0.0, None,6.7, None,25.0, None, None, None,23.0,2018-07-16 19:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344.0, None, None,0.0, None,6.3, None,19.6, None, None, None,31.0,2018-07-16 20:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342.0, None, None,0.0, None,5.7, None,17.8, None, None, None,36.0,2018-07-16 21:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.0, None, None,0.0, None,3.6, None,16.6, None, None, None,39.0,2018-07-16 22:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0, None, None,0.0, None,3.0, None,16.3, None, None, None,34.0,2018-07-16 23:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0, None, None,0.0, None,2.1, None,15.2, None, None, None,36.0,2018-07-17 00:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.0, None, None,0.0, None,3.8, None,14.8, None, None, None,33.0,2018-07-17 01:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0, None, None,0.0, None,4.3, None,14.8, None, None, None,34.0,2018-07-17 02:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323.0, None, None,0.0, None,5.1, None,14.2, None, None, None,39.0,2018-07-17 03:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.0, None, None,0.0, None,5.2, None,13.2, None, None, None,41.0,2018-07-17 04:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327.0, None, None,0.0, None,4.4, None,15.4, None, None, None,40.0,2018-07-17 05:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0, None, None,0.0, None,3.5, None,19.7, None, None, None,38.0,2018-07-17 06:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.0, None, None,0.0, None,3.2, None,21.4, None, None, None,31.0,2018-07-17 07:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0, None, None,0.0, None,6.7, None,23.1, None, None, None,27.0,2018-07-17 08:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.0, None, None,0.0, None,6.3, None,25.9, None, None, None,20.0,2018-07-17 09:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.0, None, None,0.0, None,11.5, None,27.0, None, None, None,20.0,2018-07-17 10:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.0, None, None,0.0, None,10.3, None,28.9, None, None, None,19.0,2018-07-17 11:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.0, None, None,0.0, None,9.6, None,28.7, None, None, None,18.0,2018-07-17 12:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0, None, None,0.0, None,9.3, None,28.8, None, None, None,18.0,2018-07-17 13:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.0, None, None,0.0, None,10.2, None,29.6, None, None, None,19.0,2018-07-17 14:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163.0, None, None,0.0, None,9.9, None,26.6, None, None, None,22.0,2018-07-17 15:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.0, None, None,0.0, None,8.5, None,28.5, None, None, None,19.0,2018-07-17 16:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335.0, None, None,0.0, None,8.7, None,28.1, None, None, None,20.0,2018-07-17 17:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294.0, None, None,0.0, None,9.0, None,25.7, None, None, None,24.0,2018-07-17 18:00:00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
