CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -0.402, 46.88, None, None, None, None, 23.05, -7999.0, 16.65, 328.6, -9.0, None, -0.4, -1.1, -7999.0, None, None, None, 0.0, None, None, 47.0, None,2022-01-24 12:00:00, None, None,4
None, None, 31.26, None, None, None, None, 65.83, None, None, 53.87, -12.0, None, 4.1, -2914.0, None, None, None, None, 21.3, None, None, 31.0, None,2022-01-26 12:00:00, None, None,4
None, 5.16, 22.56, None, None, None, None, 39.04, None, 0.0, 191.0, -14.0, None, 5.2, 2.2, None, None, None, None, 5.8, None, None, 23.0, None,2022-01-27 12:00:00, None, None,4
None, 5.043, 23.43, None, None, None, None, 27.7, None, 0.0, 219.1, -14.0, None, 5.0, 2.2, None, None, None, None, 5.8, None, None, 23.0, None,2022-01-27 13:00:00, None, None,4
None, 5.514, 25.77, None, None, None, None, 32.68, None, 0.0, 218.5, -13.0, None, 5.5, 2.2, None, None, None, None, 5.8, None, None, 26.0, None,2022-01-27 14:00:00, None, None,4
None, 5.448, 21.65, None, None, None, None, 29.51, None, 0.0, 210.0, -14.0, None, 5.4, 2.2, None, None, None, None, 5.8, None, None, 22.0, None,2022-01-27 15:00:00, None, None,4
None, 4.852, 22.61, None, None, None, None, 20.02, None, 0.0, 192.7, -14.0, None, 4.9, 2.2, None, None, None, None, 5.8, None, None, 23.0, None,2022-01-27 16:00:00, None, None,4
None, 4.077, 23.69, None, None, None, None, 20.83, None, 0.0, 194.7, -15.0, None, 4.1, 2.2, None, None, None, None, 5.8, None, None, 24.0, None,2022-01-27 17:00:00, None, None,4
None, 4.56, 22.96, None, None, None, None, 16.02, None, 0.0, 209.6, -15.0, None, 4.6, 2.2, None, None, None, None, 5.8, None, None, 23.0, None,2022-01-27 18:00:00, None, None,4
None, 4.503, 22.76, None, None, None, None, 6.641, None, 0.0, 175.1, -15.0, None, 4.5, 4.2, None, None, None, None, 4.9, None, None, 23.0, None,2022-01-27 19:00:00, None, None,4
None, 4.92, 19.34, None, None, None, None, 12.22, None, 0.0, 185.1, -17.0, None, 4.9, 4.2, None, None, None, None, 5.2, None, None, 19.0, None,2022-01-27 20:00:00, None, None,4
None, 4.334, 19.87, None, None, None, None, 15.97, None, 0.0, 210.2, -17.0, None, 4.3, 4.2, None, None, None, None, 5.2, None, None, 20.0, None,2022-01-27 21:00:00, None, None,4
None, 3.751, 21.34, None, None, None, None, 16.62, None, 0.0, 223.8, -16.0, None, 3.8, 3.5, None, None, None, None, 5.2, None, None, 21.0, None,2022-01-27 22:00:00, None, None,4
None, 3.529, 21.91, None, None, None, None, 16.81, None, 0.0, 234.7, -17.0, None, 3.5, 3.4, None, None, None, None, 5.2, None, None, 22.0, None,2022-01-27 23:00:00, None, None,4
None, 3.65, 19.12, None, None, None, None, 15.02, None, 0.0, 254.1, -18.0, None, 3.7, 3.4, None, None, None, None, 5.2, None, None, 19.0, None,2022-01-28 00:00:00, None, None,4
None, 3.331, 20.46, None, None, None, None, 13.74, None, 0.0, 254.4, -17.0, None, 3.3, 3.3, None, None, None, None, 5.2, None, None, 20.0, None,2022-01-28 01:00:00, None, None,4
None, 2.914, 22.74, None, None, None, None, 15.18, None, 0.0, 254.7, -16.0, None, 2.9, 2.7, None, None, None, None, 5.2, None, None, 23.0, None,2022-01-28 02:00:00, None, None,4
None, 2.969, 21.85, None, None, None, None, 16.11, None, 0.0, 237.4, -17.0, None, 3.0, 2.4, None, None, None, None, 5.2, None, None, 22.0, None,2022-01-28 03:00:00, None, None,4
None, 3.163, 20.71, None, None, None, None, 13.98, None, 0.0, 220.8, -17.0, None, 3.2, 2.4, None, None, None, None, 5.2, None, None, 21.0, None,2022-01-28 04:00:00, None, None,4
None, 3.179, 20.72, None, None, None, None, 12.52, None, 0.0, 226.4, -17.0, None, 3.2, 2.4, None, None, None, None, 5.2, None, None, 21.0, None,2022-01-28 05:00:00, None, None,4
None, 2.794, 21.73, None, None, None, None, 13.95, None, 0.0, 230.0, -17.0, None, 2.8, 2.3, None, None, None, None, 5.2, None, None, 22.0, None,2022-01-28 06:00:00, None, None,4
None, 2.6, 22.14, None, None, None, None, 14.28, None, 0.0, 223.4, -17.0, None, 2.6, 2.3, None, None, None, None, 2.9, None, None, 22.0, None,2022-01-28 07:00:00, None, None,4
None, 2.909, 21.53, None, None, None, None, 17.18, None, 0.0, 207.3, -17.0, None, 2.9, 2.2, None, None, None, None, 3.2, None, None, 22.0, None,2022-01-28 08:00:00, None, None,4
None, 3.034, 21.32, None, None, None, None, 17.2, None, 0.0, 209.8, -17.0, None, 3.0, 2.2, None, None, None, None, 3.4, None, None, 21.0, None,2022-01-28 09:00:00, None, None,4
None, 2.967, 22.73, None, None, None, None, 22.35, None, 0.0, 208.3, -16.0, None, 3.0, 2.2, None, None, None, None, 3.4, None, None, 23.0, None,2022-01-28 10:00:00, None, None,4
None, 3.312, 27.72, None, None, None, None, 24.49, None, 0.0, 208.5, -13.0, None, 3.3, 2.2, None, None, None, None, 3.5, None, None, 28.0, None,2022-01-28 11:00:00, None, None,4
None, 3.231, 28.11, None, None, None, None, 22.93, None, 0.0, 213.9, -14.0, None, 3.2, 2.2, None, None, None, None, 3.5, None, None, 28.0, None,2022-01-28 12:00:00, None, None,4
None, 3.199, 31.77, None, None, None, None, 23.62, None, 0.0, 219.6, -12.0, None, 3.2, 2.2, None, None, None, None, 3.5, None, None, 32.0, None,2022-01-28 13:00:00, None, None,4
None, 3.318, 28.37, None, None, None, None, 22.13, None, 0.0, 207.9, -14.0, None, 3.3, 2.2, None, None, None, None, 3.5, None, None, 28.0, None,2022-01-28 14:00:00, None, None,4
None, 3.532, 29.22, None, None, None, None, 23.56, None, 0.0, 220.1, -13.0, None, 3.5, 2.2, None, None, None, None, 3.6, None, None, 29.0, None,2022-01-28 15:00:00, None, None,4
None, 1.678, 34.53, None, None, None, None, 26.77, None, 0.0, 208.1, -12.0, None, 1.7, 1.8, None, None, None, None, 3.6, None, None, 35.0, None,2022-01-28 16:00:00, None, None,4
None, 1.586, 33.56, None, None, None, None, 24.57, None, 0.0, 199.8, -13.0, None, 1.6, 1.2, None, None, None, None, 3.6, None, None, 34.0, None,2022-01-28 17:00:00, None, None,4
None, 1.51, 34.5, None, None, None, None, 20.4, None, 0.0, 223.5, -12.0, None, 1.5, 1.2, None, None, None, None, 3.6, None, None, 35.0, None,2022-01-28 18:00:00, None, None,4
None, 1.209, 34.87, None, None, None, None, 22.89, None, 0.0, 229.8, -13.0, None, 1.2, 1.1, None, None, None, None, 1.8, None, None, 35.0, None,2022-01-28 19:00:00, None, None,4
None, 0.736, 37.38, None, None, None, None, 20.97, None, 0.0, 231.3, -12.0, None, 0.7, 0.8, None, None, None, None, 1.8, None, None, 37.0, None,2022-01-28 20:00:00, None, None,4
None, 0.591, 39.11, None, None, None, None, 23.69, None, 0.0, 216.7, -12.0, None, 0.6, 0.3, None, None, None, None, 1.8, None, None, 39.0, None,2022-01-28 21:00:00, None, None,4
None, 0.366, 39.21, None, None, None, None, 14.68, None, 0.0, 208.4, -12.0, None, 0.4, 0.3, None, None, None, None, 1.8, None, None, 39.0, None,2022-01-28 22:00:00, None, None,4
None, 0.453, 39.61, None, None, None, None, 16.61, None, 0.0, 215.0, -12.0, None, 0.5, 0.2, None, None, None, None, 1.8, None, None, 40.0, None,2022-01-28 23:00:00, None, None,4
