pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
597.0, None, None, None,2018-09-10 00:00:00,5.5, None, None,37
597.0, None, None, None,2018-09-10 01:00:00,4.8, None, None,37
598.0, None, None, None,2018-09-10 02:00:00,4.5, None, None,37
599.0, None, None, None,2018-09-10 03:00:00,4.4, None, None,37
601.0, None, None, None,2018-09-10 04:00:00,4.4, None, None,37
601.0, None, None, None,2018-09-10 05:00:00,3.7, None, None,37
603.0, None, None, None,2018-09-10 06:00:00,3.8, None, None,37
604.0, None, None, None,2018-09-10 07:00:00,3.2, None, None,37
606.0, None, None, None,2018-09-10 08:00:00,2.8, None, None,37
606.0, None, None, None,2018-09-10 09:00:00,2.6, None, None,37
607.0, None, None, None,2018-09-10 10:00:00,2.4, None, None,37
607.0, None, None, None,2018-09-10 11:00:00,2.5, None, None,37
607.0, None, None, None,2018-09-10 12:00:00,2.8, None, None,37
607.0, None, None, None,2018-09-10 13:00:00,2.4, None, None,37
607.0, None, None, None,2018-09-10 14:00:00,2.7, None, None,37
608.0, None, None, None,2018-09-10 15:00:00,2.9, None, None,37
609.0, None, None, None,2018-09-10 16:00:00,3.3, None, None,37
609.0, None, None, None,2018-09-10 17:00:00,4.1, None, None,37
609.0, None, None, None,2018-09-10 18:00:00,4.0, None, None,37
609.0, None, None, None,2018-09-10 19:00:00,3.3, None, None,37
609.0, None, None, None,2018-09-10 20:00:00,4.3, None, None,37
609.0, None, None, None,2018-09-10 21:00:00,4.2, None, None,37
609.0, None, None, None,2018-09-10 22:00:00,4.9, None, None,37
609.0, None, None, None,2018-09-10 23:00:00,4.1, None, None,37
609.0, None, None, None,2018-09-11 00:00:00,3.7, None, None,37
610.0, None, None, None,2018-09-11 01:00:00,2.2, None, None,37
610.0, None, None, None,2018-09-11 02:00:00,2.4, None, None,37
610.0, None, None, None,2018-09-11 03:00:00,1.7, None, None,37
610.0, None, None, None,2018-09-11 04:00:00,1.8, None, None,37
610.0, None, None, None,2018-09-11 05:00:00,1.7, None, None,37
610.0, None, None, None,2018-09-11 06:00:00,2.1, None, None,37
610.0, None, None, None,2018-09-11 07:00:00,2.0, None, None,37
610.0, None, None, None,2018-09-11 08:00:00,1.9, None, None,37
610.0, None, None, None,2018-09-11 09:00:00,1.4, None, None,37
610.0, None, None, None,2018-09-11 10:00:00,1.6, None, None,37
610.0, None, None, None,2018-09-11 11:00:00,1.6, None, None,37
610.0, None, None, None,2018-09-11 12:00:00,1.4, None, None,37
610.0, None, None, None,2018-09-11 13:00:00,1.2, None, None,37
610.0, None, None, None,2018-09-11 14:00:00,0.8, None, None,37
610.0, None, None, None,2018-09-11 15:00:00,4.2, None, None,37
610.0, None, None, None,2018-09-11 16:00:00,2.7, None, None,37
610.0, None, None, None,2018-09-11 17:00:00,2.5, None, None,37
610.0, None, None, None,2018-09-11 18:00:00,3.9, None, None,37
610.0, None, None, None,2018-09-11 19:00:00,3.1, None, None,37
610.0, None, None, None,2018-09-11 20:00:00,3.9, None, None,37
610.0, None, None, None,2018-09-11 21:00:00,4.4, None, None,37
610.0, None, None, None,2018-09-11 22:00:00,3.9, None, None,37
610.0, None, None, None,2018-09-11 23:00:00,4.3, None, None,37
610.0, None, None, None,2018-09-12 00:00:00,4.2, None, None,37
610.0, None, None, None,2018-09-12 01:00:00,4.2, None, None,37
610.0, None, None, None,2018-09-12 02:00:00,2.7, None, None,37
610.0, None, None, None,2018-09-12 03:00:00,2.1, None, None,37
610.0, None, None, None,2018-09-12 04:00:00,2.2, None, None,37
610.0, None, None, None,2018-09-12 05:00:00,2.0, None, None,37
610.0, None, None, None,2018-09-12 06:00:00,1.6, None, None,37
610.0, None, None, None,2018-09-12 07:00:00,1.5, None, None,37
611.0, None, None, None,2018-09-12 08:00:00,1.5, None, None,37
611.0, None, None, None,2018-09-12 09:00:00,1.4, None, None,37
611.0, None, None, None,2018-09-12 10:00:00,0.8, None, None,37
611.0, None, None, None,2018-09-12 11:00:00,0.8, None, None,37
611.0, None, None, None,2018-09-12 12:00:00,0.8, None, None,37
611.0, None, None, None,2018-09-12 13:00:00,0.6, None, None,37
612.0, None, None, None,2018-09-12 14:00:00,0.3, None, None,37
612.0, None, None, None,2018-09-12 15:00:00,1.0, None, None,37
612.0, None, None, None,2018-09-12 16:00:00,1.5, None, None,37
612.0, None, None, None,2018-09-12 17:00:00,1.8, None, None,37
612.0, None, None, None,2018-09-12 18:00:00,1.8, None, None,37
612.0, None, None, None,2018-09-12 19:00:00,1.7, None, None,37
612.0, None, None, None,2018-09-12 20:00:00,4.4, None, None,37
612.0, None, None, None,2018-09-12 21:00:00,4.0, None, None,37
612.0, None, None, None,2018-09-12 22:00:00,3.8, None, None,37
612.0, None, None, None,2018-09-12 23:00:00,4.0, None, None,37
613.0, None, None, None,2018-09-13 00:00:00,2.7, None, None,37
613.0, None, None, None,2018-09-13 01:00:00,2.4, None, None,37
614.0, None, None, None,2018-09-13 02:00:00,0.9, None, None,37
615.0, None, None, None,2018-09-13 03:00:00,0.5, None, None,37
615.0, None, None, None,2018-09-13 04:00:00,0.5, None, None,37
615.0, None, None, None,2018-09-13 05:00:00,0.6, None, None,37
615.0, None, None, None,2018-09-13 06:00:00,0.5, None, None,37
615.0, None, None, None,2018-09-13 07:00:00,0.0, None, None,37
615.0, None, None, None,2018-09-13 08:00:00,0.1, None, None,37
615.0, None, None, None,2018-09-13 09:00:00,0.2, None, None,37
616.0, None, None, None,2018-09-13 10:00:00,-0.2, None, None,37
618.0, None, None, None,2018-09-13 11:00:00,-0.4, None, None,37
621.0, 1.0, None, None,2018-09-13 12:00:00,-0.5, None, None,37
621.0, 2.0, None, None,2018-09-13 13:00:00,-0.8, None, None,37
622.0, 2.0, None, None,2018-09-13 14:00:00,-1.0, None, None,37
624.0, 4.0, None, None,2018-09-13 15:00:00,-0.2, None, None,37
626.0, 6.0, None, None,2018-09-13 16:00:00,0.9, None, None,37
627.0, 7.0, None, None,2018-09-13 17:00:00,-0.4, None, None,37
