pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,10.52,66.25, None, None,29.9,10.82,167.0, None, None, None, None, None, None, 4.0,896.0, None, None, None,2017-09-10 00:00:00, None, None, None,37
None,10.52,63.84, None, None,36.68,9.54,169.5, None, None, None, None, None, None, 4.0,897.0, None, None, None,2017-09-10 01:00:00, None, None, None,37
None,9.89,67.86, None, None,51.74,4.649,118.4, None, None, None, None, None, None, 4.0,897.0, None, None, None,2017-09-10 02:00:00, None, None, None,37
None,9.61,70.5, None, None,50.68,3.811,118.7, None, None, None, None, None, None, 5.0,897.0, None, None, None,2017-09-10 03:00:00, None, None, None,37
None,9.9,65.93, None, None,74.3,0.978,134.3, None, None, None, None, None, None, 4.0,898.0, None, None, None,2017-09-10 04:00:00, None, None, None,37
None,9.99,64.98, None, None,41.72,7.24,211.3, None, None, None, None, None, None, 4.0,898.0, None, None, None,2017-09-10 05:00:00, None, None, None,37
None,9.7,67.39, None, None,37.91,6.486,207.6, None, None, None, None, None, None, 4.0,898.0, None, None, None,2017-09-10 06:00:00, None, None, None,37
None,8.27,79.0, None, None,71.0,1.573,286.2, None, None, None, None, None, None, 5.0,899.0, None, None, None,2017-09-10 07:00:00, None, None, None,37
None,9.95,72.2, None, None,69.54,1.246,314.0, None, None, None, None, None, None, 5.0,899.0, None, None, None,2017-09-10 08:00:00, None, None, None,37
None,10.68,65.83, None, None,72.9,0.675,63.07, None, None, None, None, None, None, 5.0,899.0, None, None, None,2017-09-10 09:00:00, None, None, None,37
None,13.35,55.49, None, None,54.43,2.553,10.44, None, None, None, None, None, None, 5.0,900.0, None, None, None,2017-09-10 10:00:00, None, None, None,37
None,14.9,46.18, None, None,76.3,0.57,241.9, None, None, None, None, None, None, 3.0,899.0, None, None, None,2017-09-10 11:00:00, None, None, None,37
None,16.77,39.3, None, None,72.8,1.448,158.1, None, None, None, None, None, None, 3.0,898.0, None, None, None,2017-09-10 12:00:00, None, None, None,37
None,16.49,40.31, None, None,72.1,1.816,160.6, None, None, None, None, None, None, 3.0,899.0, None, None, None,2017-09-10 14:00:00, None, None, None,37
