WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,week_of_year
None,5.8, None,92.7,2018-06-11 00:00:00,24
None,5.5, None,93.7,2018-06-11 01:00:00,24
None,5.0, None,95.2,2018-06-11 02:00:00,24
None,5.3, None,93.8,2018-06-11 03:00:00,24
None,5.2, None,94.7,2018-06-11 04:00:00,24
None,5.1, None,95.0,2018-06-11 05:00:00,24
None,5.4, None,94.3,2018-06-11 06:00:00,24
None,5.9, None,93.1,2018-06-11 07:00:00,24
None,6.8, None,90.0,2018-06-11 08:00:00,24
None,8.3, None,78.0,2018-06-11 09:00:00,24
None,9.3, None,67.1,2018-06-11 10:00:00,24
None,10.5, None,58.2,2018-06-11 11:00:00,24
None,12.1, None,48.4,2018-06-11 12:00:00,24
None,13.3, None,40.2,2018-06-11 13:00:00,24
None,13.9, None,33.5,2018-06-11 14:00:00,24
None,14.8, None,28.2,2018-06-11 15:00:00,24
None,15.5, None,24.8,2018-06-11 16:00:00,24
None,15.6, None,25.2,2018-06-11 17:00:00,24
None,15.7, None,25.2,2018-06-11 18:00:00,24
None,15.4, None,27.5,2018-06-11 19:00:00,24
None,14.1, None,32.2,2018-06-11 20:00:00,24
None,12.9, None,37.6,2018-06-11 21:00:00,24
None,11.4, None,44.9,2018-06-11 22:00:00,24
None,10.9, None,46.2,2018-06-11 23:00:00,24
None,10.8, None,46.6,2018-06-12 00:00:00,24
None,9.6, None,53.7,2018-06-12 01:00:00,24
None,7.7, None,68.2,2018-06-12 02:00:00,24
None,6.6, None,75.0,2018-06-12 03:00:00,24
None,5.8, None,79.2,2018-06-12 04:00:00,24
None,6.9, None,67.1,2018-06-12 05:00:00,24
None,6.5, None,71.7,2018-06-12 06:00:00,24
None,7.4, None,70.5,2018-06-12 07:00:00,24
None,7.9, None,70.2,2018-06-12 08:00:00,24
None,9.8, None,58.3,2018-06-12 09:00:00,24
None,11.8, None,49.3,2018-06-12 10:00:00,24
None,13.2, None,40.2,2018-06-12 11:00:00,24
None,14.8, None,32.7,2018-06-12 12:00:00,24
None,16.2, None,29.1,2018-06-12 13:00:00,24
None,16.7, None,27.3,2018-06-12 14:00:00,24
None,17.7, None,24.9,2018-06-12 15:00:00,24
None,18.6, None,23.2,2018-06-12 16:00:00,24
None,18.5, None,23.6,2018-06-12 17:00:00,24
None,18.2, None,25.2,2018-06-12 18:00:00,24
None,17.9, None,26.6,2018-06-12 19:00:00,24
None,16.8, None,30.2,2018-06-12 20:00:00,24
None,14.7, None,42.2,2018-06-12 21:00:00,24
None,12.9, None,54.5,2018-06-12 22:00:00,24
None,11.5, None,63.8,2018-06-12 23:00:00,24
None,10.9, None,67.2,2018-06-13 00:00:00,24
None,10.6, None,69.3,2018-06-13 01:00:00,24
None,10.2, None,71.5,2018-06-13 02:00:00,24
None,10.3, None,70.5,2018-06-13 03:00:00,24
None,10.1, None,70.3,2018-06-13 04:00:00,24
None,9.9, None,71.0,2018-06-13 05:00:00,24
None,9.9, None,72.4,2018-06-13 06:00:00,24
