snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
407.0, None, None,2019-05-21 00:00:00, 4.8, None, None,21
407.0, None, None,2019-05-21 01:00:00, 4.5, None, None,21
407.0, None, None,2019-05-21 02:00:00, 4.0, None, None,21
406.0, None, None,2019-05-21 03:00:00, 3.7, None, None,21
405.0, None, None,2019-05-21 04:00:00, 3.5, None, None,21
405.0, None, None,2019-05-21 05:00:00, 3.4, None, None,21
404.0, None, None,2019-05-21 06:00:00, 3.2, None, None,21
403.0, None, None,2019-05-21 07:00:00, 2.9, None, None,21
401.0, None, None,2019-05-21 08:00:00, 2.9, None, None,21
400.0, None, None,2019-05-21 09:00:00, 2.8, None, None,21
399.0, None, None,2019-05-21 10:00:00, 2.6, None, None,21
399.0, None, None,2019-05-21 11:00:00, 2.8, None, None,21
398.0, None, None,2019-05-21 12:00:00, 2.9, None, None,21
398.0, None, None,2019-05-21 13:00:00, 3.3, None, None,21
397.0, None, None,2019-05-21 14:00:00, 3.5, None, None,21
397.0, None, None,2019-05-21 15:00:00, 4.7, None, None,21
397.0, 765.0, None,2019-05-21 16:00:00, 6.0, None, None,21
397.0, None, None,2019-05-21 17:00:00, 7.4, None, None,21
397.0, None, None,2019-05-21 18:00:00, 8.8, None, None,21
398.0, None, None,2019-05-21 19:00:00, 10.7, None, None,21
398.0, None, None,2019-05-21 20:00:00, 9.7, None, None,21
397.0, None, None,2019-05-21 21:00:00, 7.6, None, None,21
394.0, None, None,2019-05-21 22:00:00, 9.1, None, None,21
392.0, None, None,2019-05-21 23:00:00, 8.9, None, None,21
390.0, None, None,2019-05-22 00:00:00, 9.8, None, None,21
388.0, None, None,2019-05-22 01:00:00, 9.1, None, None,21
386.0, None, None,2019-05-22 02:00:00, 7.9, None, None,21
384.0, None, None,2019-05-22 03:00:00, 7.4, None, None,21
383.0, None, None,2019-05-22 04:00:00, 6.5, None, None,21
382.0, None, None,2019-05-22 05:00:00, 6.3, None, None,21
381.0, None, None,2019-05-22 06:00:00, 6.4, None, None,21
380.0, None, None,2019-05-22 07:00:00, 6.1, None, None,21
379.0, None, None,2019-05-22 08:00:00, 5.2, None, None,21
378.0, None, None,2019-05-22 09:00:00, 5.3, None, None,21
378.0, None, None,2019-05-22 10:00:00, 5.6, None, None,21
