TempC,time,RH,week_of_year
-8.397,2020-01-08 00:00:00,92.2,2
-8.73,2020-01-08 01:00:00,91.7,2
-8.63,2020-01-08 02:00:00,92.1,2
-8.53,2020-01-08 03:00:00,92.4,2
-8.497,2020-01-08 04:00:00,91.7,2
-8.63,2020-01-08 05:00:00,92.2,2
-8.73,2020-01-08 06:00:00,92.0,2
-8.663,2020-01-08 07:00:00,91.7,2
-8.999,2020-01-08 08:00:00,93.4,2
-9.134,2020-01-08 09:00:00,94.0,2
-8.831,2020-01-08 10:00:00,93.8,2
-8.364,2020-01-08 11:00:00,93.2,2
-7.968,2020-01-08 12:00:00,92.7,2
-7.836,2020-01-08 13:00:00,91.9,2
-8.297,2020-01-08 14:00:00,90.8,2
-11.613,2020-01-08 15:00:00,91.5,2
-11.867,2020-01-08 16:00:00,93.3,2
-15.345,2020-01-08 17:00:00,92.3,2
-16.786,2020-01-08 18:00:00,91.7,2
-16.284,2020-01-08 19:00:00,91.4,2
-17.082,2020-01-08 20:00:00,91.1,2
-18.164,2020-01-08 21:00:00,90.0,2
-18.474,2020-01-08 22:00:00,89.9,2
-17.51,2020-01-08 23:00:00,90.4,2
-16.744,2020-01-09 00:00:00,90.5,2
-15.224,2020-01-09 01:00:00,91.5,2
-16.326,2020-01-09 02:00:00,91.1,2
-16.66,2020-01-09 03:00:00,90.8,2
-14.353,2020-01-09 04:00:00,91.8,2
-12.233,2020-01-09 05:00:00,93.1,2
-12.269,2020-01-09 06:00:00,93.2,2
-12.454,2020-01-09 07:00:00,93.1,2
-12.528,2020-01-09 08:00:00,93.1,2
-12.049,2020-01-09 09:00:00,93.3,2
-11.433,2020-01-09 10:00:00,93.5,2
-10.722,2020-01-09 11:00:00,93.4,2
-9.713,2020-01-09 12:00:00,93.2,2
-9.1,2020-01-09 13:00:00,92.5,2
-8.463,2020-01-09 14:00:00,91.5,2
-10.969,2020-01-09 15:00:00,91.9,2
-11.469,2020-01-09 16:00:00,93.2,2
-10.934,2020-01-09 17:00:00,94.0,2
-9.713,2020-01-09 18:00:00,94.6,2
-9.919,2020-01-09 19:00:00,94.5,2
-7.738,2020-01-09 20:00:00,93.5,2
-7.219,2020-01-09 21:00:00,92.0,2
-6.962,2020-01-09 22:00:00,92.3,2
-6.738,2020-01-09 23:00:00,93.3,2
-6.483,2020-01-10 00:00:00,94.3,2
-6.357,2020-01-10 01:00:00,92.1,2
-7.543,2020-01-10 02:00:00,90.2,2
-7.413,2020-01-10 03:00:00,90.0,2
-5.667,2020-01-10 04:00:00,88.9,2
-6.962,2020-01-10 05:00:00,88.8,2
-7.51,2020-01-10 06:00:00,90.2,2
-7.026,2020-01-10 07:00:00,90.3,2
-6.231,2020-01-10 08:00:00,92.0,2
-6.042,2020-01-10 09:00:00,91.9,2
-6.168,2020-01-10 10:00:00,92.2,2
-5.979,2020-01-10 11:00:00,93.4,2
-5.605,2020-01-10 12:00:00,93.8,2
-4.651,2020-01-10 13:00:00,94.7,2
-4.621,2020-01-10 14:00:00,95.5,2
-4.682,2020-01-10 15:00:00,96.0,2
-4.56,2020-01-10 16:00:00,96.7,2
-4.167,2020-01-10 17:00:00,97.0,2
-5.542,2020-01-10 18:00:00,97.1,2
-8.099,2020-01-10 19:00:00,95.6,2
-9.679,2020-01-10 20:00:00,94.6,2
-10.162,2020-01-10 21:00:00,94.2,2
-11.218,2020-01-10 22:00:00,93.6,2
-11.758,2020-01-10 23:00:00,93.3,2
-12.714,2020-01-11 00:00:00,92.8,2
-13.126,2020-01-11 01:00:00,92.2,2
-13.734,2020-01-11 02:00:00,91.6,2
-13.888,2020-01-11 03:00:00,91.3,2
-13.926,2020-01-11 04:00:00,91.3,2
-14.314,2020-01-11 05:00:00,91.4,2
-14.275,2020-01-11 06:00:00,91.3,2
-14.197,2020-01-11 07:00:00,91.0,2
-14.314,2020-01-11 08:00:00,91.2,2
-14.628,2020-01-11 09:00:00,91.3,2
-15.954,2020-01-11 10:00:00,90.4,2
-15.913,2020-01-11 11:00:00,90.1,2
-15.996,2020-01-11 12:00:00,89.4,2
-16.119,2020-01-11 13:00:00,89.6,2
-16.243,2020-01-11 14:00:00,88.7,2
-16.66,2020-01-11 15:00:00,88.8,2
-17.381,2020-01-11 16:00:00,88.6,2
-18.032,2020-01-11 17:00:00,88.7,2
-18.474,2020-01-11 18:00:00,88.7,2
-18.742,2020-01-11 19:00:00,88.7,2
-19.058,2020-01-11 20:00:00,88.1,2
-20.214,2020-01-11 21:00:00,87.2,2
-21.321,2020-01-11 22:00:00,86.9,2
-21.766,2020-01-11 23:00:00,85.8,2
-22.371,2020-01-12 00:00:00,85.3,2
-23.409,2020-01-12 01:00:00,85.7,2
-23.835,2020-01-12 02:00:00,85.8,2
-23.889,2020-01-12 03:00:00,85.9,2
-23.781,2020-01-12 04:00:00,85.7,2
-23.835,2020-01-12 05:00:00,85.6,2
-23.041,2020-01-12 06:00:00,85.2,2
-22.575,2020-01-12 07:00:00,84.7,2
-22.32,2020-01-12 08:00:00,84.6,2
-22.168,2020-01-12 09:00:00,84.4,2
-21.966,2020-01-12 10:00:00,82.8,2
-21.469,2020-01-12 11:00:00,80.6,2
-21.272,2020-01-12 12:00:00,79.0,2
-21.223,2020-01-12 13:00:00,78.6,2
-21.223,2020-01-12 14:00:00,78.5,2
-20.931,2020-01-12 15:00:00,77.1,2
-22.016,2020-01-12 16:00:00,77.5,2
-22.833,2020-01-12 17:00:00,80.0,2
-24.214,2020-01-12 18:00:00,80.6,2
-27.584,2020-01-12 19:00:00,82.5,2
-25.844,2020-01-12 20:00:00,82.7,2
-29.52,2020-01-12 21:00:00,82.5,2
-31.845,2020-01-12 22:00:00,81.5,2
-33.061,2020-01-12 23:00:00,80.3,2
-34.593,2020-01-13 00:00:00,80.0,2
-35.1,2020-01-13 01:00:00,79.4,2
