CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,DEW_POINT,week_of_year
7.2,55.21,2020-04-22 00:00:00,-1.0,17
5.946,61.99,2020-04-22 01:00:00,-1.0,17
4.905,66.96,2020-04-22 02:00:00,-1.0,17
5.094,64.02,2020-04-22 03:00:00,-1.0,17
3.562,69.31,2020-04-22 04:00:00,-1.0,17
1.053,79.83,2020-04-22 05:00:00,-2.0,17
0.827,81.7,2020-04-22 06:00:00,-2.0,17
2.477,76.99,2020-04-22 07:00:00,-1.0,17
7.251,57.17,2020-04-22 08:00:00,0.0,17
9.17,51.28,2020-04-22 09:00:00,0.0,17
9.64,48.23,2020-04-22 10:00:00,-1.0,17
9.74,44.92,2020-04-22 11:00:00,-1.0,17
10.18,44.92,2020-04-22 12:00:00,-2.0,17
11.0,36.81,2020-04-22 13:00:00,-3.0,17
10.6,45.67,2020-04-22 14:00:00,-1.0,17
10.93,40.55,2020-04-22 15:00:00,-2.0,17
11.25,38.37,2020-04-22 16:00:00,-3.0,17
11.27,35.97,2020-04-22 17:00:00,-4.0,17
11.16,39.6,2020-04-22 18:00:00,-2.0,17
10.76,41.55,2020-04-22 19:00:00,-2.0,17
9.09,52.17,2020-04-22 20:00:00,0.0,17
5.008,65.06,2020-04-22 21:00:00,-1.0,17
2.306,73.17,2020-04-22 22:00:00,-2.0,17
2.724,74.17,2020-04-22 23:00:00,-1.0,17
2.766,74.34,2020-04-23 00:00:00,-2.0,17
2.486,75.9,2020-04-23 01:00:00,-1.0,17
5.141,61.04,2020-04-23 02:00:00,-2.0,17
6.62,56.26,2020-04-23 03:00:00,-2.0,17
5.035,69.12,2020-04-23 04:00:00,0.0,17
3.176,74.53,2020-04-23 05:00:00,-1.0,17
1.229,81.3,2020-04-23 06:00:00,-1.0,17
1.747,81.1,2020-04-23 07:00:00,-1.0,17
4.337,74.04,2020-04-23 08:00:00,0.0,17
4.459,78.18,2020-04-23 09:00:00,1.0,17
4.052,84.2,2020-04-23 10:00:00,2.0,17
4.425,84.4,2020-04-23 11:00:00,2.0,17
6.205,78.35,2020-04-23 12:00:00,3.0,17
6.551,74.91,2020-04-23 13:00:00,2.0,17
9.63,43.42,2020-04-23 14:00:00,-2.0,17
10.11,45.11,2020-04-23 15:00:00,-1.0,17
10.21,43.42,2020-04-23 16:00:00,-1.0,17
10.89,45.2,2020-04-23 17:00:00,-1.0,17
11.36,44.35,2020-04-23 18:00:00,0.0,17
8.62,65.5,2020-04-23 19:00:00,3.0,17
7.54,67.0,2020-04-23 20:00:00,2.0,17
3.499,79.9,2020-04-23 21:00:00,1.0,17
1.619,84.4,2020-04-23 22:00:00,-1.0,17
-0.133,87.1,2020-04-23 23:00:00,-2.0,17
-1.388,89.9,2020-04-24 00:00:00,-3.0,17
-2.197,90.7,2020-04-24 01:00:00,-3.0,17
-2.695,91.2,2020-04-24 02:00:00,-3.0,17
-3.444,91.4,2020-04-24 03:00:00,-4.0,17
-4.165,91.6,2020-04-24 04:00:00,-5.0,17
-4.748,90.9,2020-04-24 05:00:00,-6.0,17
-5.087,92.1,2020-04-24 06:00:00,-6.0,17
-3.597,90.6,2020-04-24 07:00:00,-5.0,17
2.911,80.1,2020-04-24 08:00:00,0.0,17
5.281,71.86,2020-04-24 09:00:00,0.0,17
7.636,59.92,2020-04-24 10:00:00,0.0,17
8.89,48.92,2020-04-24 11:00:00,-1.0,17
9.34,45.56,2020-04-24 12:00:00,-2.0,17
10.52,42.34,2020-04-24 13:00:00,-1.0,17
11.71,34.76,2020-04-24 14:00:00,-3.0,17
12.11,34.11,2020-04-24 15:00:00,-3.0,17
12.39,35.9,2020-04-24 16:00:00,-2.0,17
12.91,34.36,2020-04-24 17:00:00,-2.0,17
12.83,34.26,2020-04-24 18:00:00,-3.0,17
12.09,35.82,2020-04-24 19:00:00,-3.0,17
10.27,40.73,2020-04-24 20:00:00,-3.0,17
5.458,56.81,2020-04-24 21:00:00,-3.0,17
5.202,53.76,2020-04-24 22:00:00,-3.0,17
7.416,46.17,2020-04-24 23:00:00,-4.0,17
6.615,49.14,2020-04-25 00:00:00,-3.0,17
4.117,58.56,2020-04-25 01:00:00,-3.0,17
3.298,63.18,2020-04-25 02:00:00,-3.0,17
5.595,56.59,2020-04-25 03:00:00,-3.0,17
5.758,59.65,2020-04-25 04:00:00,-1.0,17
5.988,60.98,2020-04-25 05:00:00,-1.0,17
5.357,68.0,2020-04-25 06:00:00,0.0,17
5.431,70.16,2020-04-25 07:00:00,0.0,17
5.945,69.03,2020-04-25 08:00:00,1.0,17
