AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,snw_dpth,HEIGHT_OF_SNOW,stn_pres
6.0, 0.0,1.2,2022-10-08 00:00:00, 3.6, 18.8,41,,,,,,,,,,,,,,,,,,,,,,
6.0, None,1.4,2022-10-08 00:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
6.0, None,1.3,2022-10-08 00:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.9, None,1.5,2022-10-08 00:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.8, None,1.7,2022-10-08 01:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.8, None,1.5,2022-10-08 01:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.6, None,1.5,2022-10-08 01:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.6, None,1.6,2022-10-08 01:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.4, None,1.7,2022-10-08 02:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.3, None,1.8,2022-10-08 02:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.1, None,1.7,2022-10-08 02:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.0, None,2.1,2022-10-08 02:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.8, None,2.1,2022-10-08 03:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.6, None,1.9,2022-10-08 03:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.6, None,2.2,2022-10-08 03:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.6, None,2.3,2022-10-08 03:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.6, None,2.3,2022-10-08 04:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.7, None,2.1,2022-10-08 04:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.7, None,2.1,2022-10-08 04:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.6, None,2.1,2022-10-08 04:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.4, None,2.0,2022-10-08 05:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.3, None,2.3,2022-10-08 05:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.2, None,2.3,2022-10-08 05:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.0, None,2.4,2022-10-08 05:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
3.9, None,2.2,2022-10-08 06:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
3.8, None,2.3,2022-10-08 06:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
3.8, None,2.5,2022-10-08 06:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.0, None,2.5,2022-10-08 06:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
4.5, None,2.3,2022-10-08 07:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.3, None,2.4,2022-10-08 07:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
5.9, None,2.4,2022-10-08 07:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
6.5, None,2.3,2022-10-08 07:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
6.9, None,2.4,2022-10-08 08:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
8.1, None,2.4,2022-10-08 08:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
9.8, None,2.6,2022-10-08 08:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
11.3, None,2.5,2022-10-08 08:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
12.6, None,2.4,2022-10-08 09:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
12.9, None,2.5,2022-10-08 09:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
13.2, None,2.2,2022-10-08 09:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
13.8, None,2.2,2022-10-08 09:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
14.3, None,2.5,2022-10-08 10:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
14.6, None,2.4,2022-10-08 10:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
15.6, None,2.3,2022-10-08 10:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
15.8, None,2.2,2022-10-08 10:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
16.2, None,2.0,2022-10-08 11:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
17.1, None,1.9,2022-10-08 11:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
17.7, None,1.8,2022-10-08 11:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
17.5, None,1.8,2022-10-08 11:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.0, None,1.6,2022-10-08 12:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.0, None,1.6,2022-10-08 12:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.2, None,1.1,2022-10-08 12:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.4, None,1.2,2022-10-08 12:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.8, None,0.8,2022-10-08 13:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.5, None,1.1,2022-10-08 13:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.3, None,0.8,2022-10-08 13:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.3, None,0.9,2022-10-08 13:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.1, None,0.4,2022-10-08 14:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
18.0, None,0.6,2022-10-08 14:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
17.9, None,0.5,2022-10-08 14:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
17.7, None,0.5,2022-10-08 14:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
17.8, None,0.3,2022-10-08 15:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
17.1, None,0.5,2022-10-08 15:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
16.5, None,0.1,2022-10-08 15:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
16.3, None,0.2,2022-10-08 15:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
15.7, None,0.5,2022-10-08 16:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
15.0, None,0.5,2022-10-08 16:15:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
14.8, None,0.4,2022-10-08 16:30:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
13.6, None,0.4,2022-10-08 16:45:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
12.7, None,0.6,2022-10-08 17:00:00, None, None,41,,,,,,,,,,,,,,,,,,,,,,
