station_observations
time, tasmin, tasmax, pcp
2015-04-24 00:00:00, -0.6, 5.9, 12.1
2015-04-25 00:00:00, 0.3, 7.5, 0.6
2015-04-26 00:00:00, -0.3, 5.8, 2.0
2015-04-27 00:00:00, 0.9, 4.3, 20.7
2015-04-28 00:00:00, 0.7, 7.7, 7.2
2015-04-29 00:00:00, 0.1, 4.8, 5.6
2015-04-30 00:00:00, 0.3, 4.7, 8.3
2015-05-01 00:00:00, 0.3, 5.1, 4.7
2015-05-02 00:00:00, -0.9, 7.8, 0.1
2015-05-03 00:00:00, -4.0, 11.0, 0.0
2015-05-04 00:00:00, 1.0, 5.5, 9.1
2015-05-05 00:00:00, 0.3, 11.7, 5.9
2015-05-06 00:00:00, -0.3, 12.5, 0.0
2015-05-07 00:00:00, 0.0, 13.5, 0.0
2015-05-08 00:00:00, -2.1, 21.1, 0.0
2015-05-09 00:00:00, -0.2, 17.4, 0.1
2015-05-10 00:00:00, 1.1, 16.2, 0.0
2015-05-11 00:00:00, -0.6, 19.3, 0.0
2015-05-12 00:00:00, 3.8, 19.5, 0.0
2015-05-13 00:00:00, 4.3, 14.9, 0.0
2015-05-14 00:00:00, 1.4, 21.1, 0.0
2015-05-15 00:00:00, 2.0, 17.9, 0.0
2015-05-16 00:00:00, 0.8, 18.2, 0.0
2015-05-17 00:00:00, 0.3, 18.9, 0.0
2015-05-18 00:00:00, 0.1, 18.3, 0.0
2015-05-19 00:00:00, -0.2, 20.5, 0.0
2015-05-20 00:00:00, -0.3, 21.4, 0.0
2015-05-21 00:00:00, -0.3, 22.2, 0.0
2015-05-22 00:00:00, 0.6, 23.3, 0.1
2015-05-23 00:00:00, 0.6, 20.4, 0.0
2015-05-24 00:00:00, 4.0, 17.3, 0.0
2015-05-25 00:00:00, 2.7, 21.1, 0.0
2015-05-26 00:00:00, 2.4, 21.9, 0.0
2015-05-27 00:00:00, 3.5, 19.4, 0.0
2015-05-28 00:00:00, 1.7, 15.8, 0.0
2015-05-29 00:00:00, 1.0, 12.0, 3.2
2015-05-30 00:00:00, 2.9, 16.4, 0.5
2015-05-31 00:00:00, 1.4, 19.3, 0.0
2015-06-01 00:00:00, 1.1, 23.1, 0.0
2015-06-02 00:00:00, 6.3, 15.0, 0.4
2015-06-03 00:00:00, 5.6, 13.4, 0.0
2015-06-04 00:00:00, 2.9, 17.8, 0.0
2015-06-05 00:00:00, 6.4, 15.5, 0.0
