wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,SNOW_ON_THE_GROUND
21.0, None, None,0.0, None,4.7, None,7.7, None, None, None,89.0,2017-06-04 00:00:00,23,,,,,,,,,,,,,
14.0, None, None,0.0, None,2.4, None,6.5, None, None, None,93.0,2017-06-04 01:00:00,23,,,,,,,,,,,,,
20.0, None, None,0.0, None,2.9, None,6.3, None, None, None,90.0,2017-06-04 02:00:00,23,,,,,,,,,,,,,
14.0, None, None,0.0, None,4.0, None,5.6, None, None, None,91.0,2017-06-04 03:00:00,23,,,,,,,,,,,,,
35.0, None, None,0.0, None,3.4, None,5.7, None, None, None,91.0,2017-06-04 04:00:00,23,,,,,,,,,,,,,
58.0, None, None,0.0, None,5.0, None,6.7, None, None, None,91.0,2017-06-04 05:00:00,23,,,,,,,,,,,,,
3.0, None, None,0.0, None,5.1, None,9.1, None, None, None,67.0,2017-06-04 06:00:00,23,,,,,,,,,,,,,
353.0, None, None,0.0, None,9.8, None,9.7, None, None, None,61.0,2017-06-04 07:00:00,23,,,,,,,,,,,,,
338.0, None, None,0.0, None,10.1, None,11.0, None, None, None,57.0,2017-06-04 08:00:00,23,,,,,,,,,,,,,
348.0, None, None,0.0, None,8.9, None,11.9, None, None, None,52.0,2017-06-04 09:00:00,23,,,,,,,,,,,,,
345.0, None, None,0.0, None,7.7, None,13.1, None, None, None,52.0,2017-06-04 10:00:00,23,,,,,,,,,,,,,
321.0, None, None,0.0, None,9.2, None,13.9, None, None, None,54.0,2017-06-04 11:00:00,23,,,,,,,,,,,,,
306.0, None, None,0.0, None,8.3, None,14.0, None, None, None,48.0,2017-06-04 12:00:00,23,,,,,,,,,,,,,
330.0, None, None,0.0, None,7.8, None,15.0, None, None, None,51.0,2017-06-04 13:00:00,23,,,,,,,,,,,,,
339.0, None, None,0.0, None,6.7, None,15.9, None, None, None,47.0,2017-06-04 14:00:00,23,,,,,,,,,,,,,
322.0, None, None,0.0, None,8.4, None,15.3, None, None, None,48.0,2017-06-04 15:00:00,23,,,,,,,,,,,,,
