CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,dwpt_temp,time,week_of_year
-6.103, 98.3, -5.0, 98.0, 54.4, 9.54, 34.2, 252.8, 34.19, -6.1, -6.2, None, 253.0, -6.0,2020-10-14 00:00:00,42
-6.976, 97.6, -5.0, 98.0, 57.7, 9.67, 35.8, 252.0, 35.78, -7.0, -6.9, None, 252.0, -8.0,2020-10-14 01:00:00,42
-7.429, 97.2, -5.0, 97.0, 49.8, 12.77, 28.6, 258.2, 28.55, -7.4, -7.4, None, 258.0, -8.0,2020-10-14 02:00:00,42
-7.255, 97.2, -5.0, 97.0, 33.2, 9.63, 20.0, 250.7, 20.02, -7.3, -7.7, None, 251.0, -8.0,2020-10-14 03:00:00,42
-7.628, 96.9, -5.0, 97.0, 35.8, 8.19, 24.3, 249.7, 24.26, -7.6, -7.8, None, 250.0, -8.0,2020-10-14 04:00:00,42
-8.08, 96.5, -5.0, 97.0, 39.9, 10.95, 25.0, 258.2, 24.99, -8.1, -8.2, None, 258.0, -9.0,2020-10-14 05:00:00,42
-8.87, 95.8, -5.0, 96.0, 40.1, 15.64, 19.6, 265.7, 19.55, -8.9, -9.0, None, 266.0, -9.0,2020-10-14 06:00:00,42
-9.32, 95.1, -8.8, 95.0, 46.2, 15.94, 27.5, 271.4, 27.54, -9.3, -9.5, None, 271.0, -10.0,2020-10-14 07:00:00,42
-9.55, 94.8, -8.8, 95.0, 46.8, 16.71, 25.8, 272.9, 25.81, -9.6, -9.8, None, 273.0, -10.0,2020-10-14 08:00:00,42
-9.45, 94.7, -8.8, 95.0, 48.7, 16.62, 22.8, 271.7, 22.81, -9.5, -9.8, None, 272.0, -10.0,2020-10-14 09:00:00,42
-8.79, 94.8, -8.7, 95.0, 36.4, 20.17, 17.0, 272.7, 17.02, -8.8, -9.8, None, 273.0, -9.0,2020-10-14 10:00:00,42
-7.766, 96.0, -7.9, 96.0, 30.6, 21.51, 14.7, 276.0, 14.74, -7.8, -9.8, None, 276.0, -8.0,2020-10-14 11:00:00,42
-7.462, 96.6, -6.8, 97.0, 26.9, 18.51, 12.8, 257.2, 12.83, -7.5, -9.8, None, 257.0, -8.0,2020-10-14 12:00:00,42
-7.716, 96.7, -6.8, 97.0, 36.6, 12.2, 22.1, 253.9, 22.12, -7.7, -9.8, None, 254.0, -9.0,2020-10-14 13:00:00,42
-7.789, 96.6, -6.8, 97.0, 42.0, 13.85, 26.0, 258.5, 26.02, -7.8, -9.8, None, 259.0, -8.0,2020-10-14 14:00:00,42
-7.76, 96.7, -6.8, 97.0, 38.7, 8.67, 28.1, 253.4, 28.05, -7.8, -9.8, None, 253.0, -8.0,2020-10-14 15:00:00,42
-7.589, 96.5, -6.8, 97.0, 37.2, 11.76, 21.6, 257.0, 21.63, -7.6, -9.8, None, 257.0, -8.0,2020-10-14 16:00:00,42
-7.828, 96.4, -6.8, 96.0, 42.2, 14.21, 26.0, 261.6, 26.03, -7.8, -9.8, None, 262.0, -8.0,2020-10-14 17:00:00,42
-8.46, 96.1, -6.8, 96.0, 38.9, 8.99, 26.8, 255.2, 26.84, -8.5, -9.8, None, 255.0, -9.0,2020-10-14 18:00:00,42
-8.05, 96.4, -7.8, 96.0, 44.4, 12.4, 28.6, 260.2, 28.57, -8.1, -8.5, None, 260.0, -8.0,2020-10-14 19:00:00,42
-8.35, 96.0, -7.8, 96.0, 44.0, 12.64, 29.8, 266.3, 29.81, -8.4, -8.5, None, 266.0, -9.0,2020-10-14 20:00:00,42
-8.32, 96.1, -7.8, 96.0, 46.1, 14.94, 24.9, 267.2, 24.88, -8.3, -8.6, None, 267.0, -9.0,2020-10-14 21:00:00,42
-8.4, 96.0, -7.8, 96.0, 55.6, 13.86, 27.3, 272.0, 27.29, -8.4, -8.6, None, 272.0, -9.0,2020-10-14 22:00:00,42
-8.3, 96.1, -7.8, 96.0, 39.9, 9.86, 25.2, 254.5, 25.17, -8.3, -8.6, None, 255.0, -9.0,2020-10-14 23:00:00,42
-8.07, 96.4, -7.8, 96.0, 40.1, 9.39, 22.1, 252.8, 22.09, -8.1, -8.6, None, 253.0, -8.0,2020-10-15 00:00:00,42
-8.19, 96.2, -7.8, 96.0, 41.6, 6.963, 30.0, 249.5, 29.97, -8.2, -8.6, None, 250.0, -8.0,2020-10-15 01:00:00,42
-8.41, 96.0, -7.8, 96.0, 46.8, 10.6, 27.1, 262.6, 27.07, -8.4, -8.6, None, 263.0, -9.0,2020-10-15 02:00:00,42
-8.65, 95.8, -7.8, 96.0, 52.1, 12.58, 33.0, 268.4, 33.0, -8.7, -8.9, None, 268.0, -9.0,2020-10-15 03:00:00,42
-8.49, 96.0, -7.8, 96.0, 41.5, 8.22, 30.0, 257.5, 29.96, -8.5, -8.9, None, 258.0, -9.0,2020-10-15 04:00:00,42
-9.09, 95.4, -7.8, 95.0, 45.3, 9.31, 30.6, 257.6, 30.57, -9.1, -9.1, None, 258.0, -10.0,2020-10-15 05:00:00,42
-9.13, 95.2, -7.8, 95.0, 59.3, 13.51, 33.5, 263.9, 33.46, -9.1, -9.3, None, 264.0, -9.0,2020-10-15 06:00:00,42
-9.64, 94.7, -9.1, 95.0, 50.9, 12.85, 30.6, 262.7, 30.6, -9.6, -9.8, None, 263.0, -10.0,2020-10-15 07:00:00,42
-9.63, 94.8, -9.1, 95.0, 44.7, 12.45, 28.2, 267.3, 28.17, -9.6, -9.8, None, 267.0, -10.0,2020-10-15 08:00:00,42
-9.64, 94.6, -9.1, 95.0, 46.6, 13.78, 29.5, 279.9, 29.52, -9.6, -9.8, None, 280.0, -10.0,2020-10-15 09:00:00,42
-8.76, 95.3, -8.7, 95.0, 35.9, 15.32, 21.7, 264.3, 21.7, -8.8, -9.8, None, 264.0, -9.0,2020-10-15 10:00:00,42
-8.58, 95.7, -8.5, 96.0, 31.8, 14.49, 18.7, 262.0, 18.74, -8.6, -9.8, None, 262.0, -9.0,2020-10-15 11:00:00,42
-8.41, 95.9, -8.3, 96.0, 31.8, 14.56, 19.6, 258.4, 19.6, -8.4, -9.8, None, 258.0, -9.0,2020-10-15 12:00:00,42
-8.25, 95.9, -8.1, 96.0, 29.5, 10.88, 19.5, 253.8, 19.47, -8.3, -9.8, None, 254.0, -9.0,2020-10-15 13:00:00,42
-8.2, 95.9, -8.1, 96.0, 33.1, 12.17, 20.6, 259.3, 20.6, -8.2, -9.8, None, 259.0, -9.0,2020-10-15 14:00:00,42
-8.27, 95.9, -8.0, 96.0, 33.6, 11.3, 21.2, 253.0, 21.19, -8.3, -9.8, None, 253.0, -9.0,2020-10-15 15:00:00,42
-8.43, 95.8, -8.0, 96.0, 40.4, 9.0, 25.1, 252.6, 25.05, -8.4, -9.8, None, 253.0, -9.0,2020-10-15 16:00:00,42
-8.54, 95.9, -8.0, 96.0, 36.3, 6.655, 24.0, 248.8, 24.02, -8.5, -9.8, None, 249.0, -9.0,2020-10-15 17:00:00,42
-8.56, 95.9, -8.0, 96.0, 29.7, 6.476, 22.2, 249.0, 22.19, -8.6, -9.8, None, 249.0, -9.0,2020-10-15 18:00:00,42
-8.61, 95.8, -8.4, 96.0, 30.6, 8.02, 21.3, 248.8, 21.34, -8.6, -8.9, None, 249.0, -9.0,2020-10-15 19:00:00,42
-8.46, 96.0, -8.3, 96.0, 31.7, 7.848, 22.0, 248.5, 22.02, -8.5, -8.9, None, 249.0, -9.0,2020-10-15 20:00:00,42
-8.1, 96.3, -8.1, 96.0, 28.5, 8.79, 21.2, 246.8, 21.22, -8.1, -8.9, None, 247.0, -9.0,2020-10-15 21:00:00,42
-7.717, 96.6, -7.7, 97.0, 32.3, 13.22, 18.5, 243.7, 18.49, -7.7, -8.9, None, 244.0, -9.0,2020-10-15 22:00:00,42
-7.585, 96.8, -7.5, 97.0, 34.9, 25.33, 14.8, 226.1, 14.78, -7.6, -8.9, None, 226.0, -8.0,2020-10-15 23:00:00,42
-7.307, 97.1, -7.2, 97.0, 36.1, 19.32, 19.3, 238.4, 19.32, -7.3, -8.9, None, 238.0, -8.0,2020-10-16 00:00:00,42
-7.315, 97.1, -7.1, 97.0, 32.3, 12.66, 18.6, 236.6, 18.6, -7.3, -8.9, None, 237.0, -8.0,2020-10-16 01:00:00,42
-7.082, 97.3, -7.0, 97.0, 34.2, 12.48, 18.7, 230.7, 18.7, -7.1, -8.9, None, 231.0, -7.0,2020-10-16 02:00:00,42
-6.716, 97.6, -6.7, 98.0, 33.0, 13.39, 20.9, 235.8, 20.91, -6.7, -8.9, None, 236.0, -7.0,2020-10-16 03:00:00,42
-6.37, 98.0, -6.3, 98.0, 47.1, 11.47, 24.3, 238.2, 24.33, -6.4, -8.9, None, 238.0, -6.0,2020-10-16 04:00:00,42
-5.627, 98.7, -5.6, 99.0, 43.3, 10.73, 29.7, 248.9, 29.66, -5.6, -8.9, None, 249.0, -6.0,2020-10-16 05:00:00,42
-4.894, 99.5, -4.6, 100.0, 59.5, 7.966, 43.7, 248.9, 43.69, -4.9, -8.9, None, 249.0, -5.0,2020-10-16 06:00:00,42
-4.139, 99.7, -4.2, 100.0, 56.3, 7.688, 39.8, 247.8, 39.82, -4.1, -4.9, None, 248.0, -4.0,2020-10-16 07:00:00,42
-3.763, 99.6, -3.4, 100.0, 54.3, 8.33, 40.9, 248.8, 40.87, -3.8, -4.9, None, 249.0, -4.0,2020-10-16 08:00:00,42
-3.137, 99.7, -3.0, 100.0, 60.0, 9.69, 42.2, 249.8, 42.18, -3.1, -4.9, None, 250.0, -3.0,2020-10-16 09:00:00,42
-2.584, 99.7, -2.6, 100.0, 58.4, 8.9, 40.7, 247.6, 40.72, -2.6, -4.9, None, 248.0, -2.0,2020-10-16 10:00:00,42
-2.666, 99.8, -2.4, 100.0, 61.4, 7.232, 42.1, 246.2, 42.12, -2.7, -4.9, None, 246.0, -3.0,2020-10-16 11:00:00,42
-2.418, 99.7, -2.2, 100.0, 82.5, 6.785, 49.5, 248.1, 49.5, -2.4, -4.9, None, 248.0, -2.0,2020-10-16 12:00:00,42
-2.419, 99.6, -1.9, 100.0, 74.2, 6.3, 52.1, 248.2, 52.07, -2.4, -4.9, None, 248.0, -2.0,2020-10-16 13:00:00,42
-1.87, 99.7, -1.8, 100.0, 70.8, 5.65, 48.1, 248.6, 48.09, -1.9, -4.9, None, 249.0, -2.0,2020-10-16 14:00:00,42
-1.573, 99.7, -1.4, 100.0, 59.8, 6.714, 34.0, 250.3, 34.04, -1.6, -4.9, None, 250.0, -2.0,2020-10-16 15:00:00,42
-1.541, 99.8, -1.4, 100.0, 79.9, 15.59, 33.5, 260.9, 33.52, -1.5, -4.9, None, 261.0, -1.0,2020-10-16 16:00:00,42
-2.285, 99.6, -1.4, 100.0, 74.4, 15.14, 39.9, 260.9, 39.88, -2.3, -4.9, None, 261.0, -2.0,2020-10-16 17:00:00,42
-2.444, 99.7, -1.4, 100.0, 63.7, 16.28, 34.8, 273.1, 34.79, -2.4, -4.9, None, 273.0, -2.0,2020-10-16 18:00:00,42
-3.258, 99.6, -2.2, 100.0, 67.7, 13.99, 38.3, 275.1, 38.29, -3.3, -3.2, None, 275.0, -3.0,2020-10-16 19:00:00,42
-3.98, 99.8, -2.2, 100.0, 67.0, 16.17, 42.0, 273.2, 41.96, -4.0, -4.0, None, 273.0, -4.0,2020-10-16 20:00:00,42
-4.494, 99.7, -2.2, 100.0, 66.3, 17.44, 32.5, 267.9, 32.54, -4.5, -4.6, None, 268.0, -4.0,2020-10-16 21:00:00,42
-5.053, 99.4, -2.2, 99.0, 57.2, 16.95, 33.9, 271.8, 33.88, -5.1, -5.1, None, 272.0, -5.0,2020-10-16 22:00:00,42
-4.865, 99.6, -2.2, 100.0, 51.1, 12.17, 31.6, 258.1, 31.56, -4.9, -5.1, None, 258.0, -5.0,2020-10-16 23:00:00,42
-6.516, 97.6, -2.2, 98.0, 49.1, 12.44, 31.3, 254.8, 31.26, -6.5, -6.4, None, 255.0, -6.0,2020-10-17 00:00:00,42
-7.171, 97.2, -2.2, 97.0, 40.2, 10.71, 29.2, 258.0, 29.24, -7.2, -7.3, None, 258.0, -7.0,2020-10-17 01:00:00,42
-8.45, 93.0, -2.2, 93.0, 62.2, 14.67, 34.6, 273.3, 34.55, -8.5, -8.5, None, 273.0, -9.0,2020-10-17 02:00:00,42
-8.91, 92.4, -2.2, 92.0, 62.7, 16.27, 35.1, 275.1, 35.13, -8.9, -8.8, None, 275.0, -10.0,2020-10-17 03:00:00,42
-9.2, 88.5, -2.2, 89.0, 58.1, 12.79, 36.6, 279.6, 36.58, -9.2, -9.5, None, 280.0, -11.0,2020-10-17 04:00:00,42
-9.3, 83.7, -2.2, 84.0, 61.1, 14.98, 34.7, 272.1, 34.71, -9.3, -9.5, None, 272.0, -11.0,2020-10-17 05:00:00,42
-9.23, 85.0, -2.2, 85.0, 63.3, 13.16, 39.8, 272.3, 39.75, -9.2, -9.6, None, 272.0, -11.0,2020-10-17 06:00:00,42
-9.15, 85.1, -8.9, 85.0, 64.0, 13.33, 39.2, 274.6, 39.15, -9.2, -9.3, None, 275.0, -11.0,2020-10-17 07:00:00,42
-9.44, 83.7, -8.9, 84.0, 72.8, 13.45, 36.4, 272.2, 36.41, -9.4, -9.4, None, 272.0, -11.0,2020-10-17 08:00:00,42
-9.5, 84.9, -8.9, 85.0, 36.0, 10.82, 23.7, 276.5, 23.68, -9.5, -9.7, None, 277.0, -11.0,2020-10-17 09:00:00,42
-9.52, 80.3, -8.9, 80.0, 31.5, 11.95, 22.4, 264.2, 22.36, -9.5, -9.7, None, 264.0, -12.0,2020-10-17 10:00:00,42
-9.28, 81.6, -8.9, 82.0, 33.2, 13.24, 21.6, 262.2, 21.61, -9.3, -9.7, None, 262.0, -12.0,2020-10-17 11:00:00,42
-9.55, 75.69, -8.9, 76.0, 31.9, 12.64, 20.4, 263.6, 20.41, -9.6, -9.7, None, 264.0, -12.0,2020-10-17 12:00:00,42
-9.22, 77.73, -8.9, 78.0, 38.0, 12.04, 25.2, 267.1, 25.24, -9.2, -9.7, None, 267.0, -12.0,2020-10-17 13:00:00,42
-9.09, 74.14, -8.9, 74.0, 40.4, 13.74, 25.4, 270.0, 25.44, -9.1, -9.7, None, 270.0, -13.0,2020-10-17 14:00:00,42
-8.71, 76.62, -8.6, 77.0, 30.3, 12.76, 19.8, 269.2, 19.84, -8.7, -9.7, None, 269.0, -12.0,2020-10-17 15:00:00,42
-8.96, 74.08, -8.5, 74.0, 34.6, 15.47, 20.6, 265.5, 20.57, -9.0, -9.7, None, 266.0, -12.0,2020-10-17 16:00:00,42
-9.16, 79.8, -8.5, 80.0, 23.8, 14.24, 15.1, 266.6, 15.06, -9.2, -9.7, None, 267.0, -12.0,2020-10-17 17:00:00,42
-9.97, 83.4, -8.5, 83.0, 20.5, 13.28, 13.1, 262.7, 13.11, -10.0, -10.2, None, 263.0, -12.0,2020-10-17 18:00:00,42
-10.09, 83.4, -9.9, 83.0, 31.8, 6.965, 12.4, 287.8, 12.44, -10.1, -10.2, None, 288.0, -12.0,2020-10-17 19:00:00,42
-10.83, 86.4, -9.9, 86.0, 14.5, 15.95, 10.0, 244.4, 10.02, -10.8, -10.9, None, 244.0, -13.0,2020-10-17 20:00:00,42
-10.68, 87.1, -9.9, 87.0, 8.8, 28.82, 2.2, 272.6, 2.23, -10.7, -11.0, None, 273.0, -12.0,2020-10-17 21:00:00,42
-11.56, 90.2, -9.9, 90.0, 11.1, 45.89, 4.7, 223.1, 4.713, -11.6, -11.5, None, 223.0, -13.0,2020-10-17 22:00:00,42
-10.98, 93.9, -9.9, 94.0, 11.9, 20.32, 6.6, 141.8, 6.587, -11.0, -11.6, None, 142.0, -12.0,2020-10-17 23:00:00,42
-11.26, 95.2, -9.9, 95.0, 14.9, 6.484, 9.0, 123.8, 9.03, -11.3, -11.6, None, 124.0, -12.0,2020-10-18 00:00:00,42
-10.88, 95.1, -9.9, 95.0, 15.2, 7.062, 9.6, 123.4, 9.64, -10.9, -11.6, None, 123.0, -11.0,2020-10-18 01:00:00,42
-10.71, 93.6, -9.9, 94.0, 11.9, 19.2, 7.5, 153.5, 7.523, -10.7, -11.6, None, 154.0, -12.0,2020-10-18 02:00:00,42
-10.7, 94.9, -9.9, 95.0, 11.4, 15.86, 6.7, 159.3, 6.695, -10.7, -11.6, None, 159.0, -11.0,2020-10-18 03:00:00,42
-10.84, 94.3, -9.9, 94.0, 14.5, 22.27, 9.3, 122.2, 9.34, -10.8, -11.6, None, 122.0, -11.0,2020-10-18 04:00:00,42
-10.32, 94.4, -9.9, 94.0, 11.4, 13.14, 8.5, 114.9, 8.46, -10.3, -11.6, None, 115.0, -11.0,2020-10-18 05:00:00,42
-9.59, 96.1, -9.8, 96.0, 14.0, 14.86, 9.5, 136.2, 9.48, -9.6, -11.6, None, 136.0, -10.0,2020-10-18 06:00:00,42
