air_temp,min_air_temp_snc_last_reset,time,max_air_temp_snc_last_reset,week_of_year
9.9,9.7,2022-03-26 00:00:00,10.7,13
9.6,9.5,2022-03-26 01:00:00,10.7,13
9.3,9.3,2022-03-26 02:00:00,10.7,13
9.1,9.1,2022-03-26 03:00:00,10.7,13
8.6,8.5,2022-03-26 04:00:00,10.7,13
7.9,7.7,2022-03-26 05:00:00,10.7,13
8.0,7.5,2022-03-26 06:00:00,10.7,13
7.2,7.2,2022-03-26 07:00:00,8.0,13
7.0,7.0,2022-03-26 08:00:00,8.0,13
7.4,6.9,2022-03-26 09:00:00,8.0,13
8.1,6.9,2022-03-26 11:00:00,8.1,13
8.6,6.9,2022-03-26 12:00:00,8.6,13
9.4,6.9,2022-03-26 13:00:00,9.4,13
10.3,6.9,2022-03-26 14:00:00,10.4,13
10.3,6.9,2022-03-26 15:00:00,10.4,13
10.9,6.9,2022-03-26 16:00:00,10.9,13
10.8,6.9,2022-03-26 17:00:00,10.9,13
10.8,6.9,2022-03-26 18:00:00,10.9,13
10.4,10.4,2022-03-26 19:00:00,10.8,13
10.3,10.3,2022-03-26 20:00:00,10.8,13
10.3,10.3,2022-03-26 21:00:00,10.8,13
10.1,10.0,2022-03-26 22:00:00,10.8,13
9.9,9.9,2022-03-26 23:00:00,10.8,13
9.8,9.8,2022-03-27 00:00:00,10.8,13
9.7,9.7,2022-03-27 01:00:00,10.8,13
9.4,9.4,2022-03-27 02:00:00,10.8,13
8.5,8.5,2022-03-27 03:00:00,10.8,13
8.6,8.5,2022-03-27 04:00:00,10.8,13
8.8,8.5,2022-03-27 05:00:00,10.8,13
8.4,8.4,2022-03-27 06:00:00,10.8,13
7.6,7.6,2022-03-27 07:00:00,8.5,13
7.9,7.6,2022-03-27 08:00:00,8.5,13
8.3,7.6,2022-03-27 09:00:00,8.5,13
8.7,7.6,2022-03-27 10:00:00,8.8,13
10.0,7.6,2022-03-27 11:00:00,10.2,13
11.4,7.6,2022-03-27 12:00:00,11.4,13
12.0,7.6,2022-03-27 13:00:00,12.4,13
13.4,7.6,2022-03-27 14:00:00,13.5,13
13.6,7.6,2022-03-27 15:00:00,14.1,13
12.5,7.6,2022-03-27 16:00:00,14.1,13
10.5,7.6,2022-03-27 17:00:00,14.1,13
9.5,7.6,2022-03-27 18:00:00,14.1,13
9.2,9.2,2022-03-27 19:00:00,9.8,13
10.8,9.2,2022-03-27 20:00:00,10.9,13
10.2,9.2,2022-03-27 21:00:00,11.7,13
8.8,8.8,2022-03-27 22:00:00,11.7,13
8.7,8.7,2022-03-27 23:00:00,11.7,13
8.7,8.4,2022-03-28 00:00:00,11.7,13
8.6,8.4,2022-03-28 01:00:00,11.7,13
8.5,8.4,2022-03-28 02:00:00,11.7,13
8.4,8.4,2022-03-28 03:00:00,11.7,13
8.1,8.1,2022-03-28 04:00:00,11.7,13
8.0,7.9,2022-03-28 05:00:00,11.7,13
7.8,7.8,2022-03-28 06:00:00,11.7,13
7.7,7.6,2022-03-28 07:00:00,7.8,13
7.6,7.5,2022-03-28 08:00:00,7.8,13
7.6,7.4,2022-03-28 09:00:00,7.8,13
7.9,7.4,2022-03-28 10:00:00,7.9,13
