wind_speed,temperature,wind_direction,relative_humidity,time,week_of_year
9.0,12.8, 142.0,97.0,2021-08-20 00:00:00,34
8.6,13.0, 143.0,96.0,2021-08-20 01:00:00,34
5.0,12.9, 136.0,97.0,2021-08-20 02:00:00,34
5.4,12.8, 163.0,98.0,2021-08-20 03:00:00,34
4.7,12.6, 192.0,99.0,2021-08-20 04:00:00,34
5.8,12.4, 172.0,100.0,2021-08-20 05:00:00,34
1.4,12.6, 65.0,100.0,2021-08-20 06:00:00,34
5.8,13.1, 95.0,100.0,2021-08-20 07:00:00,34
7.6,12.9, 173.0,98.0,2021-08-20 08:00:00,34
8.3,13.2, 180.0,94.0,2021-08-20 09:00:00,34
9.7,13.2, 164.0,94.0,2021-08-20 10:00:00,34
8.6,13.0, 189.0,97.0,2021-08-20 11:00:00,34
8.6,13.6, 185.0,91.0,2021-08-20 12:00:00,34
7.9,13.9, 196.0,91.0,2021-08-20 13:00:00,34
10.1,14.5, 184.0,88.0,2021-08-20 14:00:00,34
12.2,13.9, 181.0,88.0,2021-08-20 15:00:00,34
7.6,13.9, 193.0,90.0,2021-08-20 16:00:00,34
7.6,13.6, 175.0,91.0,2021-08-20 17:00:00,34
6.8,13.7, 189.0,92.0,2021-08-20 18:00:00,34
9.4,12.5, 165.0,97.0,2021-08-20 19:00:00,34
7.6,11.7, 174.0,98.0,2021-08-20 20:00:00,34
6.8,11.7, 156.0,99.0,2021-08-20 21:00:00,34
8.6,11.7, 179.0,100.0,2021-08-20 22:00:00,34
6.1,11.8, 235.0,100.0,2021-08-20 23:00:00,34
4.7,11.6, 202.0,100.0,2021-08-21 00:00:00,34
5.0,11.7, 161.0,100.0,2021-08-21 01:00:00,34
2.9,11.6, 172.0,100.0,2021-08-21 02:00:00,34
1.4,11.6, 143.0,100.0,2021-08-21 03:00:00,34
4.0,11.7, 236.0,100.0,2021-08-21 04:00:00,34
5.8,11.7, 114.0,100.0,2021-08-21 05:00:00,34
8.6,11.9, 160.0,100.0,2021-08-21 06:00:00,34
7.6,11.9, 158.0,100.0,2021-08-21 07:00:00,34
8.6,11.8, 182.0,100.0,2021-08-21 08:00:00,34
6.5,11.8, 200.0,100.0,2021-08-21 09:00:00,34
7.2,12.1, 215.0,100.0,2021-08-21 10:00:00,34
3.6,11.8, 138.0,100.0,2021-08-21 11:00:00,34
8.6,12.3, 184.0,99.0,2021-08-21 12:00:00,34
8.6,12.8, 179.0,95.0,2021-08-21 13:00:00,34
9.4,12.1, 183.0,95.0,2021-08-21 14:00:00,34
10.4,11.8, 176.0,96.0,2021-08-21 15:00:00,34
10.1,11.5, 162.0,99.0,2021-08-21 16:00:00,34
10.8,11.5, 157.0,100.0,2021-08-21 17:00:00,34
7.2,11.3, 137.0,100.0,2021-08-21 18:00:00,34
6.8,11.6, 169.0,100.0,2021-08-21 19:00:00,34
7.6,11.5, 156.0,100.0,2021-08-21 20:00:00,34
8.3,11.7, 167.0,100.0,2021-08-21 21:00:00,34
8.6,11.8, 155.0,100.0,2021-08-21 22:00:00,34
3.2,11.8, 150.0,97.0,2021-08-21 23:00:00,34
4.0,11.8, 103.0,97.0,2021-08-22 00:00:00,34
2.5,12.0, 31.0,98.0,2021-08-22 01:00:00,34
3.6,12.0, 345.0,98.0,2021-08-22 02:00:00,34
5.0,11.9, 303.0,97.0,2021-08-22 03:00:00,34
1.8,12.1, 266.0,95.0,2021-08-22 04:00:00,34
8.6,11.9, 268.0,95.0,2021-08-22 05:00:00,34
8.3,11.6, 284.0,97.0,2021-08-22 06:00:00,34
2.9,13.7, 3.0,90.0,2021-08-22 07:00:00,34
11.9,14.4, 180.0,82.0,2021-08-22 08:00:00,34
18.7,16.9, 315.0,58.0,2021-08-22 09:00:00,34
27.4,17.2, 298.0,62.0,2021-08-22 10:00:00,34
24.1,18.2, 293.0,59.0,2021-08-22 11:00:00,34
33.1,17.8, 285.0,57.0,2021-08-22 12:00:00,34
24.1,18.5, 284.0,60.0,2021-08-22 13:00:00,34
29.2,17.7, 280.0,59.0,2021-08-22 14:00:00,34
28.1,17.3, 283.0,62.0,2021-08-22 15:00:00,34
29.2,17.2, 299.0,61.0,2021-08-22 16:00:00,34
29.9,16.1, 302.0,65.0,2021-08-22 17:00:00,34
25.6,15.0, 298.0,70.0,2021-08-22 18:00:00,34
16.6,14.1, 303.0,75.0,2021-08-22 19:00:00,34
5.0,13.1, 322.0,80.0,2021-08-22 20:00:00,34
1.4,11.1, 352.0,89.0,2021-08-22 21:00:00,34
12.2,11.3, 129.0,96.0,2021-08-22 22:00:00,34
18.0,12.0, 148.0,93.0,2021-08-22 23:00:00,34
11.2,11.5, 128.0,92.0,2021-08-23 00:00:00,34
10.8,11.3, 143.0,95.0,2021-08-23 01:00:00,34
9.4,11.5, 125.0,95.0,2021-08-23 02:00:00,34
6.5,10.3, 73.0,98.0,2021-08-23 03:00:00,34
2.2,10.6, 39.0,97.0,2021-08-23 04:00:00,34
9.0,12.1, 175.0,94.0,2021-08-23 05:00:00,34
4.3,12.4, 24.0,94.0,2021-08-23 06:00:00,34
9.0,12.7, 160.0,93.0,2021-08-23 07:00:00,34
9.4,13.5, 184.0,87.0,2021-08-23 08:00:00,34
10.1,14.5, 185.0,82.0,2021-08-23 09:00:00,34
13.3,14.5, 205.0,79.0,2021-08-23 10:00:00,34
11.9,16.5, 204.0,71.0,2021-08-23 11:00:00,34
11.2,16.6, 192.0,71.0,2021-08-23 12:00:00,34
15.1,17.4, 245.0,64.0,2021-08-23 13:00:00,34
13.3,16.9, 258.0,64.0,2021-08-23 14:00:00,34
10.4,17.2, 232.0,64.0,2021-08-23 15:00:00,34
9.0,17.8, 234.0,60.0,2021-08-23 16:00:00,34
9.7,17.1, 296.0,60.0,2021-08-23 17:00:00,34
5.8,15.1, 289.0,70.0,2021-08-23 18:00:00,34
6.1,12.9, 315.0,83.0,2021-08-23 19:00:00,34
9.0,12.7, 325.0,82.0,2021-08-23 20:00:00,34
3.6,11.8, 347.0,88.0,2021-08-23 21:00:00,34
2.5,10.7, 45.0,93.0,2021-08-23 22:00:00,34
2.2,10.0, 355.0,94.0,2021-08-23 23:00:00,34
2.5,8.6, 299.0,94.0,2021-08-24 00:00:00,34
1.4,9.6, 349.0,96.0,2021-08-24 01:00:00,34
2.2,9.5, 18.0,97.0,2021-08-24 02:00:00,34
2.5,8.9, 17.0,98.0,2021-08-24 03:00:00,34
1.8,8.6, 354.0,97.0,2021-08-24 04:00:00,34
1.4,8.0, 159.0,96.0,2021-08-24 05:00:00,34
1.1,12.0, 57.0,95.0,2021-08-24 06:00:00,34
4.0,15.1, 166.0,81.0,2021-08-24 07:00:00,34
8.6,15.4, 195.0,79.0,2021-08-24 08:00:00,34
8.6,16.3, 193.0,71.0,2021-08-24 09:00:00,34
10.4,16.7, 210.0,68.0,2021-08-24 10:00:00,34
13.3,19.1, 252.0,57.0,2021-08-24 11:00:00,34
15.8,19.7, 294.0,54.0,2021-08-24 12:00:00,34
13.0,20.1, 282.0,55.0,2021-08-24 13:00:00,34
16.2,20.4, 276.0,51.0,2021-08-24 14:00:00,34
19.8,19.2, 303.0,57.0,2021-08-24 15:00:00,34
23.4,17.6, 291.0,62.0,2021-08-24 16:00:00,34
18.4,16.4, 299.0,69.0,2021-08-24 17:00:00,34
13.0,13.6, 301.0,85.0,2021-08-24 18:00:00,34
10.4,12.2, 316.0,92.0,2021-08-24 19:00:00,34
11.9,11.6, 300.0,93.0,2021-08-24 20:00:00,34
6.1,11.4, 330.0,96.0,2021-08-24 21:00:00,34
5.0,10.4, 292.0,97.0,2021-08-24 22:00:00,34
5.8,9.9, 308.0,98.0,2021-08-24 23:00:00,34
5.4,9.7, 335.0,99.0,2021-08-25 00:00:00,34
