wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,snwfl_amt_pst1hr,stn_pres
345.0, 66.0, 2.5,0.0, 7.1,2.8, 13.3,13.5, 357.0, 0.0, 0.0,63.0,2020-09-16 00:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.0, 64.0, 2.1,0.2, 6.8,2.3, 13.5,11.9, 28.0, 0.0, 0.0,89.0,2020-09-16 01:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.0, 63.0, 2.8,0.2, 6.6,5.6, 13.5,11.4, 345.0, 0.0, 0.0,93.0,2020-09-16 02:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348.0, 89.0, 2.3,0.0, 10.1,4.9, 11.9,10.0, 286.0, 0.2, 0.2,95.0,2020-09-16 03:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0, 93.0, 5.6,0.0, 10.3,5.4, 11.4,10.1, 356.0, 0.2, 0.4,92.0,2020-09-16 04:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.0, 95.0, 4.9,0.0, 9.2,5.6, 10.0,10.7, 348.0, 0.0, 0.4,91.0,2020-09-16 05:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353.0, 92.0, 5.4,0.0, 8.9,2.8, 10.1,11.1, 2.0, 0.0, 0.4,87.0,2020-09-16 06:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.0, 91.0, 5.6,0.0, 9.3,2.7, 10.7,14.1, 359.0, 0.0, 0.4,69.0,2020-09-16 07:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163.0, 87.0, 2.8,0.0, 9.0,5.5, 11.1,16.2, 353.0, 0.0, 0.4,59.0,2020-09-16 08:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.0, 69.0, 2.7,0.0, 8.5,4.8, 14.1,18.3, 152.0, 0.0, 0.4,53.0,2020-09-16 09:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138.0, 59.0, 5.5,0.0, 8.2,5.7, 16.2,19.0, 163.0, 0.0, 0.4,53.0,2020-09-16 10:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.0, 53.0, 4.8,0.0, 8.6,5.6, 18.3,20.3, 147.0, 0.0, 0.4,47.0,2020-09-16 11:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.0, 53.0, 5.7,0.0, 9.2,7.4, 19.0,20.4, 138.0, 0.0, 0.4,50.0,2020-09-16 12:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0, 47.0, 5.6,0.0, 8.6,7.9, 20.3,20.7, 119.0, 0.0, 0.4,47.0,2020-09-16 13:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0, 50.0, 7.4,0.0, 9.6,4.5, 20.4,21.1, 148.0, 0.0, 0.4,46.0,2020-09-16 14:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0, 47.0, 7.9,0.0, 9.0,3.5, 20.7,20.8, 100.0, 0.0, 0.4,44.0,2020-09-16 15:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0, 46.0, 4.5,0.0, 9.0,2.3, 21.1,18.9, 111.0, 0.0, 0.4,51.0,2020-09-16 16:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0, 44.0, 3.5,0.0, 8.1,3.1, 20.8,14.8, 101.0, 0.0, 0.4,60.0,2020-09-16 17:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345.0, 51.0, 2.3,0.0, 8.5,5.2, 18.9,14.0, 48.0, 0.0, 0.4,60.0,2020-09-16 18:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.0, 60.0, 3.1,0.0, 7.1,4.9, 14.8,13.3, 2.0, 0.0, 0.4,62.0,2020-09-16 19:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.0, 60.0, 5.2,0.0, 6.4,5.3, 14.0,13.0, 345.0, 0.0, 0.4,64.0,2020-09-16 20:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.0, 62.0, 4.9,0.0, 6.2,5.9, 13.3,13.0, 358.0, 0.0, 0.4,64.0,2020-09-16 21:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0, 64.0, 5.3,0.0, 6.4,6.0, 13.0,12.9, 359.0, 0.0, 0.4,66.0,2020-09-16 22:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.0, 64.0, 5.9,0.0, 6.4,4.4, 13.0,12.9, 358.0, 0.0, 0.4,67.0,2020-09-16 23:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.0, 66.0, 6.0,0.0, 6.7,5.2, 12.9,12.5, 3.0, 0.0, 0.4,70.0,2020-09-17 00:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0, 67.0, 4.4,0.0, 6.9,4.6, 12.9,12.2, 358.0, 0.0, 0.4,72.0,2020-09-17 01:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0, 70.0, 5.2,0.0, 7.2,7.9, 12.5,11.6, 357.0, 0.0, 0.4,75.0,2020-09-17 02:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.0, 72.0, 4.6,0.0, 7.3,6.7, 12.2,11.0, 0.0, 0.0, 0.2,77.0,2020-09-17 03:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.0, 75.0, 7.9,0.0, 7.3,5.6, 11.6,10.6, 4.0, 0.0, 0.0,77.0,2020-09-17 04:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0, 77.0, 6.7,0.0, 7.1,7.6, 11.0,10.8, 359.0, 0.0, 0.0,76.0,2020-09-17 05:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0, 77.0, 5.6,0.0, 6.7,6.1, 10.6,12.3, 357.0, 0.0, 0.0,72.0,2020-09-17 06:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340.0, 76.0, 7.6,0.0, 6.7,1.7, 10.8,14.9, 1.0, 0.0, 0.0,65.0,2020-09-17 07:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.0, 72.0, 6.1,0.0, 7.4,3.9, 12.3,17.4, 6.0, 0.0, 0.0,56.0,2020-09-17 08:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
