AirTemp,ONE_DAY_PRECIPITATION,time,MIN_TEMP,MAX_TEMP,week_of_year
12.9, None,2023-06-16 03:00:00, None, None,24
12.7, None,2023-06-16 04:00:00, None, None,24
12.6, None,2023-06-16 05:00:00, None, None,24
12.9, None,2023-06-16 06:00:00, None, None,24
13.2, None,2023-06-16 07:00:00, None, None,24
13.1, None,2023-06-16 08:00:00, None, None,24
13.4, None,2023-06-16 09:00:00, None, None,24
13.6, None,2023-06-16 10:00:00, None, None,24
14.6, None,2023-06-16 11:00:00, None, None,24
14.7, None,2023-06-16 12:00:00, None, None,24
15.8, None,2023-06-16 13:00:00, None, None,24
16.9, None,2023-06-16 14:00:00, None, None,24
16.0, None,2023-06-16 15:00:00, None, None,24
16.1, None,2023-06-16 16:00:00, None, None,24
16.0, None,2023-06-16 17:00:00, None, None,24
15.5, None,2023-06-16 18:00:00, None, None,24
15.2, None,2023-06-16 19:00:00, None, None,24
14.6, None,2023-06-16 20:00:00, None, None,24
13.8, None,2023-06-16 21:00:00, None, None,24
13.3, None,2023-06-16 22:00:00, None, None,24
12.9, None,2023-06-16 23:00:00, None, None,24
12.7, 6.1,2023-06-17 00:00:00, 9.0, 20.2,24
12.5, None,2023-06-17 01:00:00, None, None,24
12.4, None,2023-06-17 02:00:00, None, None,24
12.1, None,2023-06-17 03:00:00, None, None,24
12.1, None,2023-06-17 04:00:00, None, None,24
12.3, None,2023-06-17 05:00:00, None, None,24
12.6, None,2023-06-17 06:00:00, None, None,24
13.6, None,2023-06-17 07:00:00, None, None,24
14.7, None,2023-06-17 08:00:00, None, None,24
15.3, None,2023-06-17 09:00:00, None, None,24
17.3, None,2023-06-17 10:00:00, None, None,24
18.7, None,2023-06-17 11:00:00, None, None,24
18.4, None,2023-06-17 12:00:00, None, None,24
20.2, None,2023-06-17 13:00:00, None, None,24
19.0, None,2023-06-17 14:00:00, None, None,24
18.6, None,2023-06-17 15:00:00, None, None,24
17.5, None,2023-06-17 16:00:00, None, None,24
17.3, None,2023-06-17 17:00:00, None, None,24
14.6, None,2023-06-17 18:00:00, None, None,24
12.0, None,2023-06-17 19:00:00, None, None,24
10.2, None,2023-06-17 20:00:00, None, None,24
9.4, None,2023-06-17 21:00:00, None, None,24
9.5, None,2023-06-17 22:00:00, None, None,24
9.0, None,2023-06-17 23:00:00, None, None,24
