ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
0.0,0.0,-6.0,0.0,2020-02-12,62.0,5.0,7
3.2,0.0,-6.0,3.2,2020-02-13,61.0,0.0,7
0.2,0.0,-4.0,0.2,2020-02-14,63.0,6.0,7
9.0,0.0,-2.5,9.0,2020-02-15,62.0,1.5,7
1.2,1.2,-1.5,0.0,2020-02-16,71.0,4.0,7
0.0,0.0,-7.0,0.0,2020-02-17,64.0,4.5,7
0.0,0.0,-6.5,0.0,2020-02-18,63.0,5.0,7
