time,HUMIDITY,week_of_year
2021-06-11 00:00:00,67.8,24
2021-06-11 01:00:00,67.8,24
2021-06-11 02:00:00,75.3,24
2021-06-11 03:00:00,74.5,24
2021-06-11 04:00:00,76.0,24
2021-06-11 05:00:00,68.9,24
2021-06-11 06:00:00,70.4,24
2021-06-11 07:00:00,55.9,24
2021-06-11 08:00:00,48.9,24
2021-06-11 09:00:00,44.0,24
2021-06-11 10:00:00,41.5,24
2021-06-11 11:00:00,36.9,24
2021-06-11 12:00:00,33.8,24
2021-06-11 13:00:00,29.8,24
2021-06-11 14:00:00,27.2,24
2021-06-11 15:00:00,26.6,24
2021-06-11 16:00:00,27.6,24
2021-06-11 17:00:00,27.5,24
2021-06-11 18:00:00,26.8,24
2021-06-11 19:00:00,26.1,24
2021-06-11 20:00:00,32.0,24
2021-06-11 21:00:00,47.7,24
2021-06-11 22:00:00,60.3,24
2021-06-11 23:00:00,61.6,24
2021-06-12 00:00:00,62.3,24
2021-06-12 01:00:00,71.4,24
2021-06-12 02:00:00,78.6,24
2021-06-12 03:00:00,81.9,24
2021-06-12 04:00:00,75.3,24
2021-06-12 05:00:00,73.9,24
2021-06-12 06:00:00,73.8,24
2021-06-12 07:00:00,63.7,24
2021-06-12 08:00:00,54.7,24
2021-06-12 09:00:00,46.7,24
2021-06-12 10:00:00,35.3,24
2021-06-12 11:00:00,45.0,24
2021-06-12 12:00:00,63.7,24
2021-06-12 13:00:00,52.0,24
2021-06-12 14:00:00,48.5,24
2021-06-12 15:00:00,37.4,24
2021-06-12 16:00:00,36.4,24
2021-06-12 17:00:00,35.8,24
2021-06-12 18:00:00,33.1,24
2021-06-12 19:00:00,31.3,24
2021-06-12 20:00:00,34.4,24
2021-06-12 21:00:00,41.9,24
2021-06-12 22:00:00,46.3,24
2021-06-12 23:00:00,48.0,24
2021-06-13 00:00:00,56.6,24
2021-06-13 01:00:00,67.3,24
2021-06-13 02:00:00,74.7,24
2021-06-13 03:00:00,82.1,24
2021-06-13 04:00:00,83.5,24
2021-06-13 05:00:00,80.7,24
2021-06-13 06:00:00,74.1,24
2021-06-13 07:00:00,69.2,24
2021-06-13 08:00:00,62.8,24
2021-06-13 09:00:00,63.7,24
2021-06-13 10:00:00,65.2,24
2021-06-13 11:00:00,66.7,24
2021-06-13 12:00:00,63.6,24
2021-06-13 13:00:00,46.4,24
2021-06-13 14:00:00,44.0,24
2021-06-13 15:00:00,52.3,24
2021-06-13 16:00:00,46.1,24
2021-06-13 17:00:00,43.1,24
2021-06-13 18:00:00,37.8,24
2021-06-13 19:00:00,39.6,24
2021-06-13 20:00:00,53.9,24
2021-06-13 21:00:00,65.9,24
2021-06-13 22:00:00,58.9,24
2021-06-13 23:00:00,79.9,24
2021-06-14 00:00:00,85.2,24
2021-06-14 01:00:00,86.9,24
