pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, -6.886, 93.4, None, None, None, None, 23.48, None, 7.52, 271.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 00:00:00, None, None, 111.4,52
None, None, -7.266, 92.8, None, None, None, None, 17.31, None, 9.95, 269.9, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 01:00:00, None, None, 111.2,52
None, None, -7.349, 92.5, None, None, None, None, 27.85, None, 6.56, 210.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 02:00:00, None, None, 111.0,52
None, None, -7.236, 92.6, None, None, None, None, 31.09, None, 6.881, 216.9, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 03:00:00, None, None, 110.6,52
None, None, -7.323, 93.0, None, None, None, None, 32.5, None, 0.336, 212.1, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 04:00:00, None, None, 110.3,52
None, None, -7.313, 95.3, None, None, None, None, 70.09, None, 0.163, 220.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 05:00:00, None, None, 110.1,52
None, None, -7.242, 95.0, None, None, None, None, 67.01, None, 0.0, 70.21, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 06:00:00, None, None, 109.7,52
None, None, -7.327, 93.4, None, None, None, None, 63.32, None, 2.499, 126.7, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 07:00:00, None, None, 109.4,52
None, None, -7.549, 92.9, None, None, None, None, 19.07, None, 6.812, 184.3, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 08:00:00, None, None, 109.1,52
None, None, -7.498, 92.9, None, None, None, None, 14.33, None, 7.463, 189.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 09:00:00, None, None, 108.9,52
None, None, -6.848, 92.1, None, None, None, None, 18.32, None, 7.788, 163.1, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 10:00:00, None, None, 108.6,52
None, None, -6.266, 91.5, None, None, None, None, 19.76, None, 8.1, 137.7, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 11:00:00, None, None, 108.2,52
None, None, -6.408, 92.4, None, None, None, None, 20.69, None, 7.203, 122.3, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 12:00:00, None, None, 107.8,52
None, None, -6.387, 92.4, None, None, None, None, 24.71, None, 5.218, 129.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 13:00:00, None, None, 107.5,52
None, None, -6.693, 91.3, None, None, None, None, 30.6, None, 6.013, 123.8, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 14:00:00, None, None, 107.6,52
None, None, -6.928, 92.1, None, None, None, None, 25.89, None, 5.167, 114.9, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 15:00:00, None, None, 107.3,52
None, None, -7.159, 93.0, None, None, None, None, 15.78, None, 7.722, 144.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 16:00:00, None, None, 107.2,52
None, None, -7.422, 93.7, None, None, None, None, 18.59, None, 8.09, 131.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 17:00:00, None, None, 106.9,52
None, None, -7.466, 93.6, None, None, None, None, 15.69, None, 9.5, 147.5, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 18:00:00, None, None, 106.7,52
None, None, -7.541, 93.8, None, None, None, None, 10.05, None, 10.32, 131.1, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 19:00:00, None, None, 106.5,52
None, None, -7.531, 94.0, None, None, None, None, 12.42, None, 12.13, 124.5, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 20:00:00, None, None, 106.3,52
None, None, -7.563, 94.1, None, None, None, None, 8.33, None, 12.81, 102.7, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 21:00:00, None, None, 105.2,52
None, None, -7.688, 94.0, None, None, None, None, 9.89, None, 13.09, 111.3, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 22:00:00, None, None, 105.5,52
None, None, -7.741, 93.7, None, None, None, None, 10.98, None, 12.09, 113.8, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-24 23:00:00, None, None, 105.4,52
None, None, -7.998, 93.3, None, None, None, None, 6.792, None, 12.5, 94.9, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 00:00:00, None, None, 105.2,52
None, None, -8.19, 92.6, None, None, None, None, 6.224, None, 12.05, 88.3, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 01:00:00, None, None, 104.9,52
None, None, -8.07, 92.8, None, None, None, None, 6.07, None, 9.89, 81.8, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 02:00:00, None, None, 105.0,52
None, None, -7.359, 92.5, None, None, None, None, 3.795, None, 10.05, 73.1, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 03:00:00, None, None, 104.7,52
None, None, -6.927, 92.7, None, None, None, None, 6.802, None, 8.82, 81.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 04:00:00, None, None, 104.4,52
None, None, -6.628, 93.3, None, None, None, None, 31.75, None, 6.558, 79.54, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 05:00:00, None, None, 104.4,52
None, None, -6.696, 92.3, None, None, None, None, 61.29, None, 4.323, 29.01, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 06:00:00, None, None, 104.1,52
None, None, -7.119, 92.0, None, None, None, None, 9.05, None, 8.54, 75.47, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 07:00:00, None, None, 104.0,52
None, None, -7.599, 92.5, None, None, None, None, 8.48, None, 13.95, 70.65, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 08:00:00, None, None, 103.7,52
None, None, -7.47, 92.8, None, None, None, None, 8.0, None, 17.66, 60.26, None, None, None, None, None, None, None, None, None, None, None, None,2019-12-25 09:00:00, None, None, 103.6,52
