CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 2.068, 99.9, None, None, None, None, 35.31, None, 3.18, 276.5, 2.0, None, 2.1, 1.6, None, None, None, 3.3, None, None, 100.0, None,2021-10-01 00:00:00, None, None, None,40
None, 1.083, 99.8, None, None, None, None, 25.27, None, 4.062, 284.7, 1.0, None, 1.1, 1.1, None, None, None, 3.3, None, None, 100.0, None,2021-10-01 01:00:00, None, None, None,40
None, 0.41, 99.8, None, None, None, None, 39.49, None, 3.23, 311.0, 0.0, None, 0.4, 0.4, None, None, None, 3.3, None, None, 100.0, None,2021-10-01 02:00:00, None, None, None,40
None, -0.54, 99.8, None, None, None, None, 19.07, None, 4.26, 289.6, 0.0, None, -0.5, -0.5, None, None, None, 3.3, None, None, 100.0, None,2021-10-01 03:00:00, None, None, None,40
None, -0.441, 99.9, None, None, None, None, 14.22, None, 6.431, 295.5, 0.0, None, -0.4, -0.8, None, None, None, 3.3, None, None, 100.0, None,2021-10-01 04:00:00, None, None, None,40
None, -0.543, 99.8, None, None, None, None, 22.28, None, 3.617, 266.6, 0.0, None, -0.5, -0.9, None, None, None, 3.3, None, None, 100.0, None,2021-10-01 05:00:00, None, None, None,40
None, -0.855, 99.8, None, None, None, None, 29.51, None, 2.697, 272.5, -1.0, None, -0.9, -1.0, None, None, None, 3.3, None, None, 100.0, None,2021-10-01 06:00:00, None, None, None,40
None, -0.698, 99.8, None, None, None, None, 47.07, None, 2.968, 324.8, -1.0, None, -0.7, -1.0, None, None, None, -0.5, None, None, 100.0, None,2021-10-01 07:00:00, None, None, None,40
None, -0.021, 99.8, None, None, None, None, 34.42, None, 5.221, 315.4, 0.0, None, 0.0, -1.0, None, None, None, 0.0, None, None, 100.0, None,2021-10-01 08:00:00, None, None, None,40
None, 0.943, 87.0, None, None, None, None, 32.7, None, 2.574, 40.43, -1.0, None, 0.9, -1.0, None, None, None, 1.0, None, None, 87.0, None,2021-10-01 09:00:00, None, None, None,40
