RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
None, None, None, None, 19.61, 96.8, None, 1.1, None, None, None, None, None, 12.0, None, None, None, 1.094, None, 3.9, None, None, 27.47, None, 1.1, 0.0, -6.0, None,2021-10-01 00:00:00, None,40
None, None, None, None, 17.64, 74.3, None, 0.9, None, None, None, None, None, 19.0, None, None, None, 1.857, None, 3.9, None, None, 15.16, None, 1.9, 0.0, 7.0, None,2021-10-01 01:00:00, None,40
None, None, None, None, 18.9, 64.14, None, 0.9, None, None, None, None, None, 9.0, None, None, None, 2.118, None, 3.9, None, None, 13.11, None, 2.1, 0.0, -9.0, None,2021-10-01 02:00:00, None,40
None, None, None, None, 14.41, 74.0, None, 0.9, None, None, None, None, None, 22.0, None, None, None, 2.457, None, 3.9, None, None, 13.4, None, 2.5, 0.0, 13.0, None,2021-10-01 03:00:00, None,40
None, None, None, None, 16.14, 52.98, None, 0.9, None, None, None, None, None, 21.0, None, None, None, 2.808, None, 3.9, None, None, 15.38, None, 2.8, 0.0, -1.0, None,2021-10-01 04:00:00, None,40
None, None, None, None, 16.96, 48.34, None, 0.9, None, None, None, None, None, 46.0, None, None, None, 3.131, None, 3.9, None, None, 12.91, None, 3.1, 0.0, 25.0, None,2021-10-01 05:00:00, None,40
None, None, None, None, 10.75, 58.33, None, 0.9, None, None, None, None, None, 47.0, None, None, None, 3.075, None, 3.9, None, None, 21.82, None, 3.1, 0.0, 1.0, None,2021-10-01 06:00:00, None,40
None, None, None, None, 12.49, 43.62, None, 2.7, None, None, None, None, None, 47.0, None, None, None, 2.886, None, 3.3, None, None, 22.52, None, 2.9, 0.0, 0.0, None,2021-10-01 07:00:00, None,40
None, None, None, None, 11.94, 27.27, None, 2.6, None, None, None, None, None, 61.0, None, None, None, 3.094, None, 3.4, None, None, 24.37, None, 3.1, 0.0, 15.0, None,2021-10-01 08:00:00, None,40
None, None, None, None, 5.236, 338.8, None, 2.3, None, None, None, None, None, 49.0, None, None, None, 2.546, None, 3.4, None, None, 48.8, None, 2.5, 0.0, -12.0, None,2021-10-01 09:00:00, None,40
None, None, None, None, 11.56, 22.22, None, 2.3, None, None, None, None, None, 49.0, None, None, None, 3.491, None, 3.9, None, None, 28.01, None, 3.5, 0.0, 0.0, None,2021-10-01 10:00:00, None,40
None, None, None, None, 10.56, 17.93, None, 2.3, None, None, None, None, None, 48.0, None, None, None, 3.312, None, 3.9, None, None, 30.76, None, 3.3, 0.0, 0.0, None,2021-10-01 11:00:00, None,40
