RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
68.83, None, None, None, 4.759, 226.9, -3.0, 2.5, -3.0, None, None, None, None, None, None, None, None, 2.53, None, 3.1, 69.0, None, 26.88, None, 2.5, 0.0, None,2021-10-01 00:00:00, None,40
69.37, None, None, None, 5.234, 231.5, -3.0, 2.3, -3.0, None, None, None, None, None, None, None, None, 2.284, None, 3.1, 69.0, None, 25.27, None, 2.3, 0.0, None,2021-10-01 01:00:00, None,40
69.64, None, None, None, 2.855, 209.9, -3.0, 1.8, -3.0, None, None, None, None, None, None, None, None, 1.903, None, 3.1, 70.0, None, 40.39, None, 1.9, 0.2, None,2021-10-01 02:00:00, None,40
70.1, None, None, None, 3.299, 218.9, -3.0, 1.8, -3.0, None, None, None, None, None, None, None, None, 2.112, None, 3.1, 70.0, None, 31.79, None, 2.1, 0.0, None,2021-10-01 03:00:00, None,40
70.3, None, None, None, 3.366, 227.2, -3.0, 1.8, -3.0, None, None, None, None, None, None, None, None, 2.017, None, 3.1, 70.0, None, 22.2, None, 2.0, 0.0, None,2021-10-01 04:00:00, None,40
70.5, None, None, None, 2.736, 219.9, -3.0, 1.8, -3.0, None, None, None, None, None, None, None, None, 1.931, None, 3.1, 71.0, None, 28.54, None, 1.9, 0.0, None,2021-10-01 05:00:00, None,40
70.7, None, None, None, 2.525, 165.8, -3.0, 1.6, -3.0, None, None, None, None, None, None, None, None, 1.637, None, 3.1, 71.0, None, 37.97, None, 1.6, 0.0, None,2021-10-01 06:00:00, None,40
70.8, None, None, None, 5.295, 118.9, -3.0, 1.5, -3.0, None, None, None, None, None, None, None, None, 1.512, None, 1.8, 71.0, None, 15.63, None, 1.5, 0.0, None,2021-10-01 07:00:00, None,40
71.0, None, None, None, 3.566, 130.7, -3.0, 1.4, -3.0, None, None, None, None, None, None, None, None, 1.705, None, 1.8, 71.0, None, 29.59, None, 1.7, 0.1, None,2021-10-01 08:00:00, None,40
71.2, None, None, None, 4.202, 128.5, -2.0, 1.4, -2.0, None, None, None, None, None, None, None, None, 2.244, None, 2.3, 71.0, None, 31.85, None, 2.2, -0.1, None,2021-10-01 09:00:00, None,40
71.4, None, None, None, 3.98, 155.5, -2.0, 1.4, -2.0, None, None, None, None, None, None, None, None, 2.796, None, 2.8, 71.0, None, 25.64, None, 2.8, -0.2, None,2021-10-01 10:00:00, None,40
