wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
176.0, 61.0, 10.2, 0.0, 5.6, 10.4, 12.9, 12.6, 191.0, 0.0, 0.0, 61.0,2021-08-13 00:00:00,33
175.0, None, None, 0.0, None, 12.2, None, 12.0, None, None, None, 63.0,2021-08-13 01:00:00,33
174.0, 61.0, 10.4, 0.0, 5.3, 7.5, 12.6, 11.4, 176.0, 0.0, 0.0, 65.0,2021-08-13 02:00:00,33
169.0, 63.0, 12.2, 0.0, 5.2, 3.1, 12.0, 11.6, 175.0, 0.0, 0.0, 65.0,2021-08-13 03:00:00,33
169.0, 65.0, 7.5, 0.0, 5.1, 9.0, 11.4, 11.5, 174.0, 0.0, 0.0, 66.0,2021-08-13 04:00:00,33
174.0, 65.0, 3.1, 0.0, 5.3, 5.9, 11.6, 14.5, 169.0, 0.0, 0.0, 60.0,2021-08-13 05:00:00,33
163.0, 66.0, 9.0, 0.0, 5.4, 0.0, 11.5, 18.1, 169.0, 0.0, 0.0, 55.0,2021-08-13 06:00:00,33
63.0, 60.0, 5.9, 0.0, 6.8, 0.0, 14.5, 21.1, 174.0, 0.0, 0.0, 45.0,2021-08-13 07:00:00,33
63.0, None, None, 0.0, None, 0.0, None, 22.6, None, None, None, 41.0,2021-08-13 08:00:00,33
59.0, 45.0, 0.0, 0.0, 8.7, 1.9, 21.1, 24.4, 63.0, 0.0, 0.0, 40.0,2021-08-13 09:00:00,33
75.0, 41.0, 0.0, 0.0, 8.7, 6.4, 22.6, 25.8, 63.0, 0.0, 0.0, 33.0,2021-08-13 10:00:00,33
111.0, 40.0, 1.9, 0.0, 9.9, 8.5, 24.4, 26.8, 59.0, 0.0, 0.0, 29.0,2021-08-13 11:00:00,33
95.0, None, None, 0.0, None, 9.2, None, 27.5, None, None, None, 26.0,2021-08-13 12:00:00,33
