station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
None, -14.48, 54.62, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-01 00:00:00, None, None, None, None
None, -14.63, 54.66, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-01 01:00:00, None, None, None, None
None, -14.63, 54.37, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-01 02:00:00, None, None, None, None
None, -14.48, 54.03, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-01 03:00:00, None, None, None, None
None, -14.17, 54.01, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-01 04:00:00, None, None, None, None
None, -14.06, 53.96, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-01 05:00:00, None, None, None, None
None, -13.63, 54.08, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-01 06:00:00, None, None, None, None
None, -14.0, 54.22, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-01 07:00:00, None, None, None, None
None, -13.62, 53.93, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-01 08:00:00, None, None, None, None
None, -10.81, 53.47, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2016-01-01 09:00:00, None, None, None, None
None, -8.65, 49.3, None, None, None, None, 0.0, 0.0, 126.3, None, None, None, None, None, -16.0, None, None, None, None, None, None, None, 2016-01-01 10:00:00, None, None, None, None
None, -6.977, 41.89, None, None, None, None, 0.253, 0.001, 119.7, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-01 11:00:00, None, None, None, None
None, -6.311, 40.85, None, None, None, None, 1.734, 0.01, 183.1, None, None, None, None, None, -16.0, None, None, None, None, None, None, None, 2016-01-01 12:00:00, None, None, None, None
None, -5.684, 36.32, None, None, None, None, 2.658, 0.09, 177.7, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-01 13:00:00, None, None, None, None
None, -5.109, 35.03, None, None, None, None, 3.265, 0.028, 179.5, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-01 14:00:00, None, None, None, None
None, -5.204, 32.69, None, None, None, None, 0.0, 0.004, 181.5, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2016-01-01 15:00:00, None, None, None, None
None, -7.59, 35.77, None, None, None, None, 4.266, 0.0, 356.4, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2016-01-01 16:00:00, None, None, None, None
None, -9.55, 50.04, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-01 17:00:00, None, None, None, None
None, -9.08, 45.77, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2016-01-01 18:00:00, None, None, None, None
None, -8.81, 45.34, None, None, None, None, 0.0, 0.0, 100.9, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-01 19:00:00, None, None, None, None
None, -9.05, 45.48, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2016-01-01 20:00:00, None, None, None, None
None, -9.16, 44.59, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2016-01-01 21:00:00, None, None, None, None
None, -8.71, 44.58, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2016-01-01 22:00:00, None, None, None, None
None, -7.87, 32.38, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-01 23:00:00, None, None, None, None
None, -8.59, 34.72, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-02 00:00:00, None, None, None, None
None, -8.73, 32.21, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-02 01:00:00, None, None, None, None
None, -8.41, 32.82, None, None, None, None, 0.476, 0.0, 119.2, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-02 02:00:00, None, None, None, None
None, -7.93, 29.79, None, None, None, None, 0.0, 0.001, 95.4, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-02 03:00:00, None, None, None, None
None, -7.89, 29.0, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-02 04:00:00, None, None, None, None
None, -7.95, 28.6, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-02 05:00:00, None, None, None, None
None, -7.35, 25.36, None, None, None, None, 0.023, 0.005, 104.9, None, None, None, None, None, -22.0, None, None, None, None, None, None, None, 2016-01-02 06:00:00, None, None, None, None
None, -6.859, 24.86, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -22.0, None, None, None, None, None, None, None, 2016-01-02 07:00:00, None, None, None, None
None, -6.937, 24.65, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -22.0, None, None, None, None, None, None, None, 2016-01-02 08:00:00, None, None, None, None
None, -4.485, 24.56, None, None, None, None, 0.0, 0.0, 0.0, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-02 09:00:00, None, None, None, None
None, -2.186, 26.06, None, None, None, None, 0.882, 0.039, 125.9, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-02 10:00:00, None, None, None, None
