station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
43.94, None, None, None, 8.95, None, None, None, -13.0, None, None, None, None, None, None, 44.6, None, -4.014, None, None, None, None, None, None, None, None, None, 2016-01-02 19:00:00, None
46.45, None, None, None, 7.72, None, None, None, -13.0, None, None, None, None, None, None, 44.44, None, -4.061, None, None, None, None, None, None, None, None, None, 2016-01-02 20:00:00, None
48.83, None, None, None, 5.735, None, None, None, -13.0, None, None, None, None, None, None, 44.46, None, -4.723, None, None, None, None, None, None, None, None, None, 2016-01-02 21:00:00, None
50.61, None, None, None, 4.848, None, None, None, -12.0, None, None, None, None, None, None, 44.49, None, -4.44, None, None, None, None, None, None, None, None, None, 2016-01-02 22:00:00, None
45.26, None, None, None, 5.815, None, None, None, -13.0, None, None, None, None, None, None, 44.39, None, -4.061, None, None, None, None, None, None, None, None, None, 2016-01-02 23:00:00, None
45.19, None, None, None, 6.299, None, None, None, -13.0, None, None, None, None, None, None, 44.42, None, -4.345, None, None, None, None, None, None, None, None, None, 2016-01-03 00:00:00, None
46.32, None, None, None, 5.948, None, None, None, -13.0, None, None, None, None, None, None, 44.39, None, -4.44, None, None, None, None, None, None, None, None, None, 2016-01-03 01:00:00, None
50.35, None, None, None, 5.716, None, None, None, -13.0, None, None, None, None, None, None, 44.4, None, -4.96, None, None, None, None, None, None, None, None, None, 2016-01-03 02:00:00, None
52.0, None, None, None, 4.787, None, None, None, -12.0, None, None, None, None, None, None, 44.5, None, -4.96, None, None, None, None, None, None, None, None, None, 2016-01-03 03:00:00, None
56.29, None, None, None, 2.609, None, None, None, -12.0, None, None, None, None, None, None, 44.34, None, -5.999, None, None, None, None, None, None, None, None, None, 2016-01-03 04:00:00, None
52.06, None, None, None, 2.004, None, None, None, -14.0, None, None, None, None, None, None, 44.34, None, -6.378, None, None, None, None, None, None, None, None, None, 2016-01-03 05:00:00, None
57.61, None, None, None, 1.285, None, None, None, -13.0, None, None, None, None, None, None, 44.24, None, -7.09, None, None, None, None, None, None, None, None, None, 2016-01-03 07:00:00, None
54.77, None, None, None, 1.592, None, None, None, -14.0, None, None, None, None, None, None, 44.03, None, -6.756, None, None, None, None, None, None, None, None, None, 2016-01-03 08:00:00, None
57.95, None, None, None, 1.22, None, None, None, -13.0, None, None, None, None, None, None, 44.23, None, -7.27, None, None, None, None, None, None, None, None, None, 2016-01-03 09:00:00, None
60.79, None, None, None, 2.561, None, None, None, -13.0, None, None, None, None, None, None, 44.27, None, -7.6, None, None, None, None, None, None, None, None, None, 2016-01-03 10:00:00, None
64.22, None, None, None, 1.241, None, None, None, -12.0, None, None, None, None, None, None, 44.34, None, -6.803, None, None, None, None, None, None, None, None, None, 2016-01-03 12:00:00, None
50.74, None, None, None, 0.925, None, None, None, -13.0, None, None, None, None, None, None, 44.35, None, -4.818, None, None, None, None, None, None, None, None, None, 2016-01-03 13:00:00, None
52.85, None, None, None, 1.022, None, None, None, -12.0, None, None, None, None, None, None, 44.45, None, -4.923, None, None, None, None, None, None, None, None, None, 2016-01-03 14:00:00, None
57.55, None, None, None, 0.683, None, None, None, -11.0, None, None, None, None, None, None, 44.54, None, -4.819, None, None, None, None, None, None, None, None, None, 2016-01-03 15:00:00, None
60.26, None, None, None, 0.776, None, None, None, -12.0, None, None, None, None, None, None, 44.26, None, -6.236, None, None, None, None, None, None, None, None, None, 2016-01-03 17:00:00, None
60.72, None, None, None, 0.575, None, None, None, -12.0, None, None, None, None, None, None, 44.34, None, -5.999, None, None, None, None, None, None, None, None, None, 2016-01-03 19:00:00, None
56.16, None, None, None, 0.721, None, None, None, -12.0, None, None, None, None, None, None, 44.28, None, -5.905, None, None, None, None, None, None, None, None, None, 2016-01-03 20:00:00, None
60.13, None, None, None, 0.19, None, None, None, -12.0, None, None, None, None, None, None, 44.41, None, -6.236, None, None, None, None, None, None, None, None, None, 2016-01-03 21:00:00, None
59.07, None, None, None, 0.538, None, None, None, -12.0, None, None, None, None, None, None, 44.38, None, -5.999, None, None, None, None, None, None, None, None, None, 2016-01-03 22:00:00, None
58.21, None, None, None, 1.101, None, None, None, -12.0, None, None, None, None, None, None, 44.41, None, -5.81, None, None, None, None, None, None, None, None, None, 2016-01-03 23:00:00, None
60.46, None, None, None, 0.818, None, None, None, -12.0, None, None, None, None, None, None, 44.24, None, -6.283, None, None, None, None, None, None, None, None, None, 2016-01-04 00:00:00, None
63.89, None, None, None, 1.505, None, None, None, -12.0, None, None, None, None, None, None, 44.26, None, -7.42, None, None, None, None, None, None, None, None, None, 2016-01-04 02:00:00, None
72.4, None, None, None, 0.499, None, None, None, -11.0, None, None, None, None, None, None, 44.2, None, -7.28, None, None, None, None, None, None, None, None, None, 2016-01-04 03:00:00, None
63.57, None, None, None, 1.652, None, None, None, -12.0, None, None, None, None, None, None, 44.28, None, -7.08, None, None, None, None, None, None, None, None, None, 2016-01-04 04:00:00, None
69.77, None, None, None, 1.049, None, None, None, -12.0, None, None, None, None, None, None, 44.42, None, -7.7, None, None, None, None, None, None, None, None, None, 2016-01-04 05:00:00, None
67.72, None, None, None, 0.326, None, None, None, -12.0, None, None, None, None, None, None, 44.18, None, -7.42, None, None, None, None, None, None, None, None, None, 2016-01-04 06:00:00, None
69.18, None, None, None, 0.603, None, None, None, -12.0, None, None, None, None, None, None, 44.2, None, -7.89, None, None, None, None, None, None, None, None, None, 2016-01-04 07:00:00, None
68.92, None, None, None, 1.771, None, None, None, -13.0, None, None, None, None, None, None, 44.23, None, -8.92, None, None, None, None, None, None, None, None, None, 2016-01-04 08:00:00, None
71.5, None, None, None, 2.78, None, None, None, -13.0, None, None, None, None, None, None, 44.14, None, -9.1, None, None, None, None, None, None, None, None, None, 2016-01-04 09:00:00, None
68.87, None, None, None, 2.586, None, None, None, -13.0, None, None, None, None, None, None, 44.27, None, -8.86, None, None, None, None, None, None, None, None, None, 2016-01-04 10:00:00, None
67.48, None, None, None, 3.54, None, None, None, -13.0, None, None, None, None, None, None, 44.11, None, -8.34, None, None, None, None, None, None, None, None, None, 2016-01-04 11:00:00, None
62.1, None, None, None, 2.457, None, None, None, -12.0, None, None, None, None, None, None, 44.35, None, -7.0, None, None, None, None, None, None, None, None, None, 2016-01-04 13:00:00, None
60.11, None, None, None, 1.982, None, None, None, -12.0, None, None, None, None, None, None, 44.17, None, -5.832, None, None, None, None, None, None, None, None, None, 2016-01-04 14:00:00, None
67.85, None, None, None, 1.888, None, None, None, -12.0, None, None, None, None, None, None, 44.21, None, -7.8, None, None, None, None, None, None, None, None, None, 2016-01-04 15:00:00, None
64.16, None, None, None, 2.416, None, None, None, -12.0, None, None, None, None, None, None, 44.32, None, -7.42, None, None, None, None, None, None, None, None, None, 2016-01-04 16:00:00, None
62.11, None, None, None, 3.044, None, None, None, -12.0, None, None, None, None, None, None, 44.2, None, -6.898, None, None, None, None, None, None, None, None, None, 2016-01-04 17:00:00, None
49.09, None, None, None, 5.956, None, None, None, -14.0, None, None, None, None, None, None, 44.32, None, -5.525, None, None, None, None, None, None, None, None, None, 2016-01-04 18:00:00, None
55.43, None, None, None, 3.399, None, None, None, -13.0, None, None, None, None, None, None, 44.18, None, -6.472, None, None, None, None, None, None, None, None, None, 2016-01-04 19:00:00, None
56.56, None, None, None, 3.736, None, None, None, -13.0, None, None, None, None, None, None, 44.11, None, -6.518, None, None, None, None, None, None, None, None, None, 2016-01-04 20:00:00, None
55.44, None, None, None, 3.384, None, None, None, -14.0, None, None, None, None, None, None, 44.13, None, -7.27, None, None, None, None, None, None, None, None, None, 2016-01-04 21:00:00, None
