station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
75.9, None, None, None, None, None, None, None, -16.0, None, None, None, None, None, 145.7, None, None, -12.93, None, None, None, None, None, None, None, None, None, 2016-01-01 00:00:00, None
76.2, None, None, None, None, None, None, None, -17.0, None, None, None, None, None, 146.9, None, None, -14.4, None, None, None, None, None, None, None, None, None, 2016-01-01 01:00:00, None
73.8, None, None, None, None, None, None, None, -19.0, None, None, None, None, None, 145.9, None, None, -15.8, None, None, None, None, None, None, None, None, None, 2016-01-01 02:00:00, None
74.4, None, None, None, None, None, None, None, -20.0, None, None, None, None, None, 146.7, None, None, -16.8, None, None, None, None, None, None, None, None, None, 2016-01-01 03:00:00, None
75.2, None, None, None, None, None, None, None, -20.0, None, None, None, None, None, 146.5, None, None, -17.26, None, None, None, None, None, None, None, None, None, 2016-01-01 04:00:00, None
76.9, None, None, None, None, None, None, None, -20.0, None, None, None, None, None, 147.1, None, None, -17.36, None, None, None, None, None, None, None, None, None, 2016-01-01 05:00:00, None
76.9, None, None, None, None, None, None, None, -20.0, None, None, None, None, None, 147.2, None, None, -17.29, None, None, None, None, None, None, None, None, None, 2016-01-01 06:00:00, None
77.8, None, None, None, None, None, None, None, -19.0, None, None, None, None, None, 146.6, None, None, -16.78, None, None, None, None, None, None, None, None, None, 2016-01-01 07:00:00, None
78.6, None, None, None, None, None, None, None, -19.0, None, None, None, None, None, 147.3, None, None, -16.4, None, None, None, None, None, None, None, None, None, 2016-01-01 08:00:00, None
79.8, None, None, None, None, None, None, None, -18.0, None, None, None, None, None, 146.8, None, None, -15.77, None, None, None, None, None, None, None, None, None, 2016-01-01 09:00:00, None
