station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -1.944, 31.76, None, None, None, None, 67.28, None, 0.807, 335.8, None, None, None, None, None, -15.0, None, None, None, None, None, None, None, 2016-01-01 00:00:00, None, None, 53.53
None, -0.794, 29.01, None, None, None, None, 52.28, None, 0.795, 67.79, None, None, None, None, None, -15.0, None, None, None, None, None, None, None, 2016-01-01 01:00:00, None, None, 53.4
None, -0.985, 30.55, None, None, None, None, 47.23, None, 1.105, 177.8, None, None, None, None, None, -15.0, None, None, None, None, None, None, None, 2016-01-01 02:00:00, None, None, 53.47
None, -1.321, 33.77, None, None, None, None, 43.93, None, 1.158, 178.7, None, None, None, None, None, -14.0, None, None, None, None, None, None, None, 2016-01-01 03:00:00, None, None, 53.54
None, -0.698, 29.15, None, None, None, None, 27.33, None, 1.067, 69.79, None, None, None, None, None, -15.0, None, None, None, None, None, None, None, 2016-01-01 04:00:00, None, None, 54.56
None, -0.458, 34.44, None, None, None, None, 76.4, None, 0.251, 275.6, None, None, None, None, None, -13.0, None, None, None, None, None, None, None, 2016-01-01 05:00:00, None, None, 54.07
None, -1.081, 37.45, None, None, None, None, 60.05, None, 1.31, 224.9, None, None, None, None, None, -12.0, None, None, None, None, None, None, None, 2016-01-01 06:00:00, None, None, 54.65
None, -0.698, 24.32, None, None, None, None, 77.6, None, 0.182, 148.9, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-01 07:00:00, None, None, 55.09
None, -0.65, 34.44, None, None, None, None, 69.51, None, 0.64, 321.4, None, None, None, None, None, -13.0, None, None, None, None, None, None, None, 2016-01-01 08:00:00, None, None, 56.09
None, -0.266, 27.94, None, None, None, None, 68.05, None, 0.534, 30.42, None, None, None, None, None, -15.0, None, None, None, None, None, None, None, 2016-01-01 09:00:00, None, None, 55.5
None, 0.644, 24.59, None, None, None, None, 67.35, None, 0.581, 270.4, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-01 10:00:00, None, None, 55.64
None, 0.836, 22.65, None, None, None, None, 57.3, None, 0.38, 148.2, None, None, None, None, None, -18.0, None, None, None, None, None, None, None, 2016-01-01 11:00:00, None, None, 55.94
None, 1.076, 24.52, None, None, None, None, 67.57, None, 0.223, 161.6, None, None, None, None, None, -17.0, None, None, None, None, None, None, None, 2016-01-01 12:00:00, None, None, 55.77
None, 1.218, 31.09, None, None, None, None, 42.6, None, 0.743, 74.8, None, None, None, None, None, -14.0, None, None, None, None, None, None, None, 2016-01-01 13:00:00, None, None, 55.86
None, 1.407, 27.07, None, None, None, None, 54.91, None, 0.73, 68.59, None, None, None, None, None, -15.0, None, None, None, None, None, None, None, 2016-01-01 14:00:00, None, None, 55.49
None, 1.167, 33.1, None, None, None, None, 25.64, None, 1.216, 62.53, None, None, None, None, None, -13.0, None, None, None, None, None, None, None, 2016-01-01 15:00:00, None, None, 55.47
None, 0.303, 32.96, None, None, None, None, 49.63, None, 0.446, 85.9, None, None, None, None, None, -14.0, None, None, None, None, None, None, None, 2016-01-01 16:00:00, None, None, 55.91
None, 0.548, 27.14, None, None, None, None, 61.06, None, 0.37, 125.0, None, None, None, None, None, -16.0, None, None, None, None, None, None, None, 2016-01-01 17:00:00, None, None, 55.67
None, 1.315, 20.23, None, None, None, None, 40.42, None, 0.613, 76.0, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2016-01-01 18:00:00, None, None, 55.62
None, 1.507, 19.77, None, None, None, None, 45.25, None, 0.872, 71.2, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2016-01-01 19:00:00, None, None, 55.81
None, 1.986, 16.21, None, None, None, None, 36.32, None, 1.407, 191.0, None, None, None, None, None, -21.0, None, None, None, None, None, None, None, 2016-01-01 20:00:00, None, None, 55.36
None, 2.08, 15.34, None, None, None, None, 51.71, None, 0.577, 169.6, None, None, None, None, None, -22.0, None, None, None, None, None, None, None, 2016-01-01 21:00:00, None, None, 55.54
None, 2.031, 17.62, None, None, None, None, 39.59, None, 0.693, 82.5, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-01 22:00:00, None, None, 55.79
None, 1.789, 18.83, None, None, None, None, 17.57, None, 1.82, 61.47, None, None, None, None, None, -19.0, None, None, None, None, None, None, None, 2016-01-01 23:00:00, None, None, 55.73
None, 1.311, 18.83, None, None, None, None, 51.61, None, 0.282, 70.5, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-02 00:00:00, None, None, 56.39
None, 1.552, 18.36, None, None, None, None, 33.81, None, 0.79, 194.5, None, None, None, None, None, -20.0, None, None, None, None, None, None, None, 2016-01-02 01:00:00, None, None, 55.49
