station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, snwfl_amt_pst1hr, stn_pres
-20.02, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 00:00:00, None, None, None
-19.96, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 01:00:00, None, None, None
-19.73, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 02:00:00, None, None, None
-19.77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 03:00:00, None, None, None
-20.16, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 04:00:00, None, None, None
-20.54, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 05:00:00, None, None, None
-20.61, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 06:00:00, None, None, None
-20.13, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 07:00:00, None, None, None
-20.61, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 08:00:00, None, None, None
-20.54, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 09:00:00, None, None, None
-18.91, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 10:00:00, None, None, None
-12.94, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 11:00:00, None, None, None
-12.23, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 12:00:00, None, None, None
-13.38, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 13:00:00, None, None, None
-15.03, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 14:00:00, None, None, None
-15.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 15:00:00, None, None, None
-18.69, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 16:00:00, None, None, None
-18.28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 17:00:00, None, None, None
-19.09, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 18:00:00, None, None, None
-18.29, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 19:00:00, None, None, None
-18.71, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 20:00:00, None, None, None
-18.85, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 21:00:00, None, None, None
-18.59, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 22:00:00, None, None, None
-18.11, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 23:00:00, None, None, None
-17.08, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 00:00:00, None, None, None
-19.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 01:00:00, None, None, None
-18.28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 02:00:00, None, None, None
-16.78, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 03:00:00, None, None, None
-18.58, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 04:00:00, None, None, None
-18.83, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 05:00:00, None, None, None
-18.15, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 06:00:00, None, None, None
-17.27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 07:00:00, None, None, None
-17.37, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 08:00:00, None, None, None
-14.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 09:00:00, None, None, None
-15.55, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 10:00:00, None, None, None
-9.64, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 11:00:00, None, None, None
-8.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 12:00:00, None, None, None
-8.79, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 13:00:00, None, None, None
-11.78, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 14:00:00, None, None, None
-13.15, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 15:00:00, None, None, None
-12.03, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 16:00:00, None, None, None
-13.77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 17:00:00, None, None, None
-14.94, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 18:00:00, None, None, None
-13.76, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 19:00:00, None, None, None
-14.71, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 20:00:00, None, None, None
-14.79, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 21:00:00, None, None, None
-15.85, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 22:00:00, None, None, None
-17.04, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-02 23:00:00, None, None, None
-16.23, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 00:00:00, None, None, None
-16.72, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 01:00:00, None, None, None
-18.06, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 02:00:00, None, None, None
-18.07, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 03:00:00, None, None, None
-17.88, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 04:00:00, None, None, None
-18.19, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 05:00:00, None, None, None
-19.21, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 06:00:00, None, None, None
-15.81, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 07:00:00, None, None, None
-18.85, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 08:00:00, None, None, None
-16.58, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 09:00:00, None, None, None
-16.52, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 10:00:00, None, None, None
-15.84, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 11:00:00, None, None, None
-11.53, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 12:00:00, None, None, None
-10.17, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 13:00:00, None, None, None
-13.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 14:00:00, None, None, None
-14.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 15:00:00, None, None, None
-13.93, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 16:00:00, None, None, None
-15.51, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 17:00:00, None, None, None
-15.79, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 18:00:00, None, None, None
-15.61, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 19:00:00, None, None, None
-15.84, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 20:00:00, None, None, None
-14.23, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 21:00:00, None, None, None
-15.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 22:00:00, None, None, None
-14.93, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-03 23:00:00, None, None, None
-14.32, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 00:00:00, None, None, None
-13.39, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 01:00:00, None, None, None
-15.05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 02:00:00, None, None, None
-14.53, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 03:00:00, None, None, None
-14.24, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 04:00:00, None, None, None
-12.96, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 05:00:00, None, None, None
-12.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 06:00:00, None, None, None
-11.97, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 07:00:00, None, None, None
-12.36, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 08:00:00, None, None, None
-13.97, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 09:00:00, None, None, None
-10.84, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 10:00:00, None, None, None
-12.13, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 11:00:00, None, None, None
-11.18, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-04 12:00:00, None, None, None
