station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -15.09, None, None, 2016-01-01 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.8
None, None, -14.69, None, None, 2016-01-01 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.5
None, None, -18.62, None, None, 2016-01-02 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.1
None, None, -21.45, None, None, 2016-01-02 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.8
None, None, -21.87, None, None, 2016-01-04 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -20.39, None, None, 2016-01-04 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -23.28, None, None, 2016-01-05 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -22.59, None, None, 2016-01-05 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -23.46, None, None, 2016-01-05 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -11.63, None, None, 2016-01-05 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.4
None, None, -11.31, None, None, 2016-01-05 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.3
None, None, -11.45, None, None, 2016-01-05 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.4
None, None, -11.6, None, None, 2016-01-05 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.2
None, None, -11.12, None, None, 2016-01-05 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.5
None, None, -10.21, None, None, 2016-01-05 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -10.78, None, None, 2016-01-05 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.0
None, None, -10.55, None, None, 2016-01-05 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -10.58, None, None, 2016-01-05 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -14.66, None, None, 2016-01-05 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -15.15, None, None, 2016-01-05 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -14.85, None, None, 2016-01-06 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.6
None, None, -15.97, None, None, 2016-01-06 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -16.69, None, None, 2016-01-06 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -17.76, None, None, 2016-01-06 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -18.36, None, None, 2016-01-06 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -18.7, None, None, 2016-01-06 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -19.41, None, None, 2016-01-06 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -19.86, None, None, 2016-01-06 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.6
None, None, -19.54, None, None, 2016-01-06 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.0
None, None, -18.22, None, None, 2016-01-06 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.0
None, None, -16.08, None, None, 2016-01-06 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -12.52, None, None, 2016-01-06 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -10.05, None, None, 2016-01-06 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.1
None, None, -9.04, None, None, 2016-01-06 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.3
None, None, -9.11, None, None, 2016-01-06 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -8.86, None, None, 2016-01-06 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -8.63, None, None, 2016-01-06 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -8.61, None, None, 2016-01-06 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -9.06, None, None, 2016-01-06 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -8.83, None, None, 2016-01-06 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -8.66, None, None, 2016-01-06 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.0
None, None, -8.75, None, None, 2016-01-06 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.0
None, None, -8.34, None, None, 2016-01-06 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.0
None, None, -8.32, None, None, 2016-01-06 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -8.68, None, None, 2016-01-07 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -8.61, None, None, 2016-01-07 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -8.63, None, None, 2016-01-07 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -8.78, None, None, 2016-01-07 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -8.67, None, None, 2016-01-07 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -8.89, None, None, 2016-01-07 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -9.11, None, None, 2016-01-07 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -9.25, None, None, 2016-01-07 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -9.9, None, None, 2016-01-07 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.4
None, None, -10.3, None, None, 2016-01-07 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.4
None, None, -11.16, None, None, 2016-01-07 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -12.12, None, None, 2016-01-07 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -12.17, None, None, 2016-01-07 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -10.44, None, None, 2016-01-07 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -10.84, None, None, 2016-01-07 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -11.99, None, None, 2016-01-07 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -12.86, None, None, 2016-01-07 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -13.69, None, None, 2016-01-07 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -14.65, None, None, 2016-01-07 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -14.72, None, None, 2016-01-07 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -14.44, None, None, 2016-01-07 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -15.49, None, None, 2016-01-07 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -16.23, None, None, 2016-01-07 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -16.64, None, None, 2016-01-07 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -17.42, None, None, 2016-01-08 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -17.62, None, None, 2016-01-08 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -18.3, None, None, 2016-01-08 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -18.56, None, None, 2016-01-08 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -18.75, None, None, 2016-01-08 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -18.97, None, None, 2016-01-08 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -19.19, None, None, 2016-01-08 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -19.34, None, None, 2016-01-08 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -19.76, None, None, 2016-01-08 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -19.75, None, None, 2016-01-08 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -18.07, None, None, 2016-01-08 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.4
None, None, -15.36, None, None, 2016-01-08 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -14.13, None, None, 2016-01-08 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -13.35, None, None, 2016-01-08 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -12.43, None, None, 2016-01-08 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -11.92, None, None, 2016-01-08 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -11.7, None, None, 2016-01-08 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -11.47, None, None, 2016-01-08 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -11.35, None, None, 2016-01-08 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -11.2, None, None, 2016-01-08 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -10.87, None, None, 2016-01-08 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -10.32, None, None, 2016-01-08 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -9.88, None, None, 2016-01-08 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -9.22, None, None, 2016-01-08 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -8.9, None, None, 2016-01-09 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -9.1, None, None, 2016-01-09 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -9.47, None, None, 2016-01-09 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -9.55, None, None, 2016-01-09 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -9.85, None, None, 2016-01-09 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -10.06, None, None, 2016-01-09 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -9.9, None, None, 2016-01-09 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -10.15, None, None, 2016-01-09 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -10.12, None, None, 2016-01-09 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -9.82, None, None, 2016-01-09 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -8.48, None, None, 2016-01-09 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.4
None, None, -8.51, None, None, 2016-01-09 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -8.25, None, None, 2016-01-09 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -8.04, None, None, 2016-01-09 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -7.97, None, None, 2016-01-09 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -7.93, None, None, 2016-01-09 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -8.11, None, None, 2016-01-09 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.0
None, None, -8.03, None, None, 2016-01-09 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -8.28, None, None, 2016-01-09 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -8.61, None, None, 2016-01-09 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -8.91, None, None, 2016-01-09 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -8.94, None, None, 2016-01-09 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.1
None, None, -8.83, None, None, 2016-01-09 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -8.69, None, None, 2016-01-09 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.4
None, None, -9.04, None, None, 2016-01-10 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -8.69, None, None, 2016-01-10 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -8.63, None, None, 2016-01-10 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -8.48, None, None, 2016-01-10 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -8.43, None, None, 2016-01-10 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -8.52, None, None, 2016-01-10 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
None, None, -8.59, None, None, 2016-01-10 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.6
None, None, -8.77, None, None, 2016-01-10 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.7
