station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
None, -13.51, None, None, None, None, None, None, None, None, None, None, 2016-01-01 00:00:00, None, None
None, -13.47, None, None, None, None, None, None, None, None, None, None, 2016-01-01 01:00:00, None, None
None, -13.35, None, None, None, None, None, None, None, None, None, None, 2016-01-01 02:00:00, None, None
None, -13.38, None, None, None, None, None, None, None, None, None, None, 2016-01-01 03:00:00, None, None
None, -13.43, None, None, None, None, None, None, None, None, None, None, 2016-01-01 04:00:00, None, None
None, -13.48, None, None, None, None, None, None, None, None, None, None, 2016-01-01 05:00:00, None, None
None, -13.71, None, None, None, None, None, None, None, None, None, None, 2016-01-01 06:00:00, None, None
None, -13.66, None, None, None, None, None, None, None, None, None, None, 2016-01-01 07:00:00, None, None
None, -13.6, None, None, None, None, None, None, None, None, None, None, 2016-01-01 08:00:00, None, None
None, -13.11, None, None, None, None, None, None, None, None, None, None, 2016-01-01 09:00:00, None, None
None, -12.25, None, None, None, None, None, None, None, None, None, None, 2016-01-01 10:00:00, None, None
None, -11.33, None, None, None, None, None, None, None, None, None, None, 2016-01-01 11:00:00, None, None
None, -9.79, None, None, None, None, None, None, None, None, None, None, 2016-01-01 12:00:00, None, None
None, -10.21, None, None, None, None, None, None, None, None, None, None, 2016-01-01 13:00:00, None, None
None, -11.17, None, None, None, None, None, None, None, None, None, None, 2016-01-01 14:00:00, None, None
None, -11.92, None, None, None, None, None, None, None, None, None, None, 2016-01-01 15:00:00, None, None
None, -12.52, None, None, None, None, None, None, None, None, None, None, 2016-01-01 16:00:00, None, None
None, -12.66, None, None, None, None, None, None, None, None, None, None, 2016-01-01 17:00:00, None, None
None, -12.75, None, None, None, None, None, None, None, None, None, None, 2016-01-01 18:00:00, None, None
None, -12.52, None, None, None, None, None, None, None, None, None, None, 2016-01-01 19:00:00, None, None
None, -12.2, None, None, None, None, None, None, None, None, None, None, 2016-01-01 20:00:00, None, None
None, -12.03, None, None, None, None, None, None, None, None, None, None, 2016-01-01 21:00:00, None, None
None, -11.74, None, None, None, None, None, None, None, None, None, None, 2016-01-01 22:00:00, None, None
None, -11.19, None, None, None, None, None, None, None, None, None, None, 2016-01-01 23:00:00, None, None
None, -11.4, None, None, None, None, None, None, None, None, None, None, 2016-01-02 00:00:00, None, None
None, -11.59, None, None, None, None, None, None, None, None, None, None, 2016-01-02 01:00:00, None, None
None, -11.91, None, None, None, None, None, None, None, None, None, None, 2016-01-02 02:00:00, None, None
None, -12.01, None, None, None, None, None, None, None, None, None, None, 2016-01-02 03:00:00, None, None
None, -12.17, None, None, None, None, None, None, None, None, None, None, 2016-01-02 04:00:00, None, None
None, -12.2, None, None, None, None, None, None, None, None, None, None, 2016-01-02 05:00:00, None, None
None, -12.11, None, None, None, None, None, None, None, None, None, None, 2016-01-02 06:00:00, None, None
None, -12.24, None, None, None, None, None, None, None, None, None, None, 2016-01-02 07:00:00, None, None
None, -12.38, None, None, None, None, None, None, None, None, None, None, 2016-01-02 08:00:00, None, None
None, -12.44, None, None, None, None, None, None, None, None, None, None, 2016-01-02 09:00:00, None, None
None, -10.55, None, None, None, None, None, None, None, None, None, None, 2016-01-02 10:00:00, None, None
None, -11.77, None, None, None, None, None, None, None, None, None, None, 2016-01-02 11:00:00, None, None
None, -10.7, None, None, None, None, None, None, None, None, None, None, 2016-01-02 12:00:00, None, None
