station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, PRECIP_DETECTOR_RATIO, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, time, stn_pres
None, None, None, None, 5.833, 69.69, None, None, None, None, None, None, None, None, None, 67.56, None, -13.54, None, None, None, None, 37.55, None, None, None, None, None, 2016-01-01 00:00:00, None
None, None, None, None, 6.608, 76.5, None, None, None, None, None, None, None, None, None, 67.77, None, -12.25, None, None, None, None, 41.7, None, None, None, None, None, 2016-01-01 01:00:00, None
None, None, None, None, 8.59, 53.25, None, None, None, None, None, None, None, None, None, 67.87, None, -12.68, None, None, None, None, 31.53, None, None, None, None, None, 2016-01-01 02:00:00, None
None, None, None, None, 4.999, 64.19, None, None, None, None, None, None, None, None, None, 68.15, None, -12.68, None, None, None, None, 47.94, None, None, None, None, None, 2016-01-01 03:00:00, None
None, None, None, None, 8.02, 72.0, None, None, None, None, None, None, None, None, None, 68.67, None, -10.28, None, None, None, None, 35.08, None, None, None, None, None, 2016-01-01 04:00:00, None
None, None, None, None, 4.174, 76.7, None, None, None, None, None, None, None, None, None, 66.79, None, -12.17, None, None, None, None, 46.7, None, None, None, None, None, 2016-01-01 05:00:00, None
None, None, None, None, 4.232, 57.7, None, None, None, None, None, None, None, None, None, 66.4, None, -10.22, None, None, None, None, 46.82, None, None, None, None, None, 2016-01-01 06:00:00, None
None, None, None, None, 3.021, 82.7, None, None, None, None, None, None, None, None, None, 65.19, None, -9.92, None, None, None, None, 58.51, None, None, None, None, None, 2016-01-01 07:00:00, None
None, None, None, None, 5.113, 68.69, None, None, None, None, None, None, None, None, None, 66.21, None, -12.24, None, None, None, None, 48.09, None, None, None, None, None, 2016-01-01 08:00:00, None
None, None, None, None, 5.36, 72.5, None, None, None, None, None, None, None, None, None, 68.23, None, -8.42, None, None, None, None, 44.87, None, None, None, None, None, 2016-01-01 09:00:00, None
None, None, None, None, 5.73, 81.6, None, None, None, None, None, None, None, None, None, 64.53, None, -7.54, None, None, None, None, 46.7, None, None, None, None, None, 2016-01-01 10:00:00, None
None, None, None, None, 4.793, 90.4, None, None, None, None, None, None, None, None, None, 67.22, None, -3.792, None, None, None, None, 43.91, None, None, None, None, None, 2016-01-01 11:00:00, None
None, None, None, None, 6.914, 67.75, None, None, None, None, None, None, None, None, None, 63.44, None, -8.19, None, None, None, None, 27.59, None, None, None, None, None, 2016-01-01 12:00:00, None
None, None, None, None, 7.94, 66.28, None, None, None, None, None, None, None, None, None, 64.15, None, -8.98, None, None, None, None, 33.81, None, None, None, None, None, 2016-01-01 13:00:00, None
None, None, None, None, 4.947, 62.61, None, None, None, None, None, None, None, None, None, 64.56, None, -10.3, None, None, None, None, 46.69, None, None, None, None, None, 2016-01-01 14:00:00, None
None, None, None, None, 7.08, 54.7, None, None, None, None, None, None, None, None, None, 63.97, None, -9.48, None, None, None, None, 40.41, None, None, None, None, None, 2016-01-01 15:00:00, None
None, None, None, None, 9.55, 60.93, None, None, None, None, None, None, None, None, None, 65.61, None, -8.96, None, None, None, None, 31.43, None, None, None, None, None, 2016-01-01 16:00:00, None
None, None, None, None, 6.657, 66.72, None, None, None, None, None, None, None, None, None, 64.36, None, -10.6, None, None, None, None, 42.76, None, None, None, None, None, 2016-01-01 17:00:00, None
None, None, None, None, 6.231, 69.15, None, None, None, None, None, None, None, None, None, 63.62, None, -9.35, None, None, None, None, 37.14, None, None, None, None, None, 2016-01-01 18:00:00, None
None, None, None, None, 6.079, 71.5, None, None, None, None, None, None, None, None, None, 68.67, None, -6.653, None, None, None, None, 41.31, None, None, None, None, None, 2016-01-01 19:00:00, None
None, None, None, None, 4.691, 75.1, None, None, None, None, None, None, None, None, None, 68.8, None, -6.157, None, None, None, None, 48.18, None, None, None, None, None, 2016-01-01 20:00:00, None
None, None, None, None, 1.121, 65.59, None, None, None, None, None, None, None, None, None, 66.05, None, -5.44, None, None, None, None, 71.0, None, None, None, None, None, 2016-01-01 21:00:00, None
None, None, None, None, 2.363, 70.2, None, None, None, None, None, None, None, None, None, 69.37, None, -7.91, None, None, None, None, 59.79, None, None, None, None, None, 2016-01-01 22:00:00, None
None, None, None, None, 3.757, 47.94, None, None, None, None, None, None, None, None, None, 65.89, None, -8.6, None, None, None, None, 52.8, None, None, None, None, None, 2016-01-01 23:00:00, None
None, None, None, None, 1.582, 358.4, None, None, None, None, None, None, None, None, None, 66.07, None, -5.097, None, None, None, None, 68.28, None, None, None, None, None, 2016-01-02 00:00:00, None
None, None, None, None, 2.124, 353.0, None, None, None, None, None, None, None, None, None, 64.88, None, -5.984, None, None, None, None, 61.32, None, None, None, None, None, 2016-01-02 01:00:00, None
None, None, None, None, 3.429, 71.6, None, None, None, None, None, None, None, None, None, 66.23, None, -5.375, None, None, None, None, 56.37, None, None, None, None, None, 2016-01-02 02:00:00, None
None, None, None, None, 2.499, 22.45, None, None, None, None, None, None, None, None, None, 64.51, None, -5.472, None, None, None, None, 60.66, None, None, None, None, None, 2016-01-02 03:00:00, None
None, None, None, None, 2.667, 37.35, None, None, None, None, None, None, None, None, None, 62.94, None, -7.92, None, None, None, None, 58.26, None, None, None, None, None, 2016-01-02 04:00:00, None
None, None, None, None, 2.669, 324.2, None, None, None, None, None, None, None, None, None, 65.96, None, -3.081, None, None, None, None, 54.92, None, None, None, None, None, 2016-01-02 05:00:00, None
None, None, None, None, 2.583, 336.9, None, None, None, None, None, None, None, None, None, 66.79, None, -6.057, None, None, None, None, 56.12, None, None, None, None, None, 2016-01-02 06:00:00, None
None, None, None, None, 3.69, 331.4, None, None, None, None, None, None, None, None, None, 66.06, None, -6.896, None, None, None, None, 47.46, None, None, None, None, None, 2016-01-02 07:00:00, None
