station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, PRECIP_DETECTOR_RATIO, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
None, 1.3, 8.24, None, None, None, 6.588, 25.97, None, 117.5, None, None, None, None, None, -29.0, None, None, None, None, None, None, None, 2016-01-02 07:00:00, None, None, None, None
None, 1.243, 8.1, None, None, None, 6.553, 21.99, None, 123.3, None, None, None, None, None, -29.0, None, None, None, None, None, None, None, 2016-01-02 08:00:00, None, None, None, None
None, 1.819, 9.71, None, None, None, 15.5, 19.75, None, 104.7, None, None, None, None, None, -27.0, None, None, None, None, None, None, None, 2016-01-02 09:00:00, None, None, None, None
None, 1.854, 9.91, None, None, None, 8.87, 24.85, None, 109.0, None, None, None, None, None, -27.0, None, None, None, None, None, None, None, 2016-01-02 10:00:00, None, None, None, None
None, 2.188, 12.32, None, None, None, 13.17, 15.43, None, 86.6, None, None, None, None, None, -24.0, None, None, None, None, None, None, None, 2016-01-02 11:00:00, None, None, None, None
None, 2.5, 9.71, None, None, None, 8.4, 19.92, None, 97.4, None, None, None, None, None, -26.0, None, None, None, None, None, None, None, 2016-01-02 12:00:00, None, None, None, None
None, 2.69, 10.11, None, None, None, 8.12, 22.78, None, 103.8, None, None, None, None, None, -26.0, None, None, None, None, None, None, None, 2016-01-02 13:00:00, None, None, None, None
None, 2.727, 13.39, None, None, None, 9.03, 22.06, None, 115.0, None, None, None, None, None, -23.0, None, None, None, None, None, None, None, 2016-01-02 14:00:00, None, None, None, None
None, 2.33, 13.18, None, None, None, 9.37, 17.55, None, 127.5, None, None, None, None, None, -23.0, None, None, None, None, None, None, None, 2016-01-02 15:00:00, None, None, None, None
None, 1.324, 11.18, None, None, None, 13.29, 15.7, None, 112.9, None, None, None, None, None, -26.0, None, None, None, None, None, None, None, 2016-01-02 16:00:00, None, None, None, None
