AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
14.9, 0.0,0.0,0.1, 0.0,2016-08-26 00:00:00,259.0,64.0,35
14.5, None,0.0,0.2, None,2016-08-26 00:15:00,53.0,59.0,35
14.7, None,0.0,0.0, None,2016-08-26 00:30:00,343.0,57.0,35
14.8, None,0.0,0.0, None,2016-08-26 00:45:00,222.0,62.0,35
14.6, 0.0,0.0,3.2, 0.0,2016-08-26 01:00:00,45.0,57.0,35
14.4, None,0.0,0.8, None,2016-08-26 01:15:00,234.0,67.0,35
14.4, None,0.0,0.2, None,2016-08-26 01:30:00,239.0,60.0,35
14.7, None,0.0,0.0, None,2016-08-26 01:45:00,326.0,56.0,35
14.7, 0.0,0.0,0.6, 0.0,2016-08-26 02:00:00,357.0,55.0,35
14.6, None,0.0,3.2, None,2016-08-26 02:15:00,37.0,56.0,35
14.9, None,0.0,3.2, None,2016-08-26 02:30:00,358.0,60.0,35
14.9, None,0.0,0.4, None,2016-08-26 02:45:00,57.0,54.0,35
14.5, 0.0,0.0,0.5, 0.0,2016-08-26 03:00:00,264.0,57.0,35
14.6, None,0.0,0.9, None,2016-08-26 03:15:00,46.0,57.0,35
14.5, None,0.0,2.1, None,2016-08-26 03:30:00,56.0,57.0,35
14.2, None,0.0,0.0, None,2016-08-26 03:45:00,58.0,58.0,35
14.3, 0.0,0.0,1.7, 0.0,2016-08-26 04:00:00,32.0,57.0,35
14.2, None,0.0,0.8, None,2016-08-26 04:15:00,39.0,58.0,35
13.6, None,0.0,0.0, None,2016-08-26 04:30:00,227.0,61.0,35
13.3, None,0.0,0.4, None,2016-08-26 04:45:00,258.0,62.0,35
13.5, 1.0,0.0,0.0, 0.0,2016-08-26 05:00:00,296.0,61.0,35
13.6, None,0.0,0.0, None,2016-08-26 05:15:00,326.0,60.0,35
13.6, None,0.0,0.0, None,2016-08-26 05:30:00,23.0,59.0,35
13.3, None,0.0,0.0, None,2016-08-26 05:45:00,247.0,64.0,35
13.4, -1.0,0.0,1.1, 0.0,2016-08-26 06:00:00,213.0,63.0,35
14.0, None,0.0,0.5, None,2016-08-26 06:15:00,28.0,61.0,35
14.3, None,0.0,0.0, None,2016-08-26 06:30:00,266.0,59.0,35
15.3, None,0.0,0.0, None,2016-08-26 06:45:00,275.0,57.0,35
16.4, 0.0,0.0,2.0, 0.0,2016-08-26 07:00:00,22.0,58.0,35
17.0, None,0.0,0.5, None,2016-08-26 07:15:00,231.0,59.0,35
17.2, None,0.0,3.8, None,2016-08-26 07:30:00,341.0,58.0,35
18.1, None,0.0,0.7, None,2016-08-26 07:45:00,73.0,61.0,35
19.2, 0.0,0.0,1.0, 0.0,2016-08-26 08:00:00,169.0,56.0,35
21.7, None,0.0,1.2, None,2016-08-26 08:15:00,316.0,46.0,35
23.2, None,0.0,5.0, None,2016-08-26 08:30:00,250.0,40.0,35
24.8, None,0.0,5.9, None,2016-08-26 08:45:00,243.0,33.0,35
26.3, -2.0,0.0,7.1, 0.0,2016-08-26 09:00:00,242.0,32.0,35
27.2, None,0.0,2.7, None,2016-08-26 09:15:00,204.0,30.0,35
28.3, None,0.0,5.1, None,2016-08-26 09:30:00,213.0,27.0,35
28.8, None,0.0,6.2, None,2016-08-26 09:45:00,133.0,25.0,35
28.9, 0.0,0.0,7.4, 0.0,2016-08-26 10:00:00,233.0,25.0,35
29.5, None,0.0,8.8, None,2016-08-26 10:15:00,174.0,25.0,35
29.4, None,0.0,7.7, None,2016-08-26 10:30:00,213.0,23.0,35
29.4, None,0.0,9.6, None,2016-08-26 10:45:00,205.0,22.0,35
30.2, 0.0,0.0,7.4, 0.0,2016-08-26 11:00:00,184.0,22.0,35
30.1, None,0.0,8.9, None,2016-08-26 11:15:00,193.0,22.0,35
30.4, None,0.0,11.5, None,2016-08-26 11:30:00,267.0,20.0,35
30.3, None,0.0,9.3, None,2016-08-26 11:45:00,272.0,20.0,35
30.3, 0.0,0.0,12.4, 0.0,2016-08-26 12:00:00,291.0,21.0,35
30.4, None,0.0,12.1, None,2016-08-26 12:15:00,299.0,21.0,35
30.6, None,0.0,13.9, None,2016-08-26 12:30:00,268.0,23.0,35
30.5, None,0.0,14.4, None,2016-08-26 12:45:00,285.0,23.0,35
30.4, 0.0,0.0,15.3, 0.0,2016-08-26 13:00:00,282.0,23.0,35
30.0, None,0.0,16.4, None,2016-08-26 13:15:00,279.0,23.0,35
30.0, None,0.0,16.5, None,2016-08-26 13:30:00,286.0,23.0,35
30.4, None,0.0,15.8, None,2016-08-26 13:45:00,281.0,21.0,35
30.7, -1.0,0.0,14.4, 0.003,2016-08-26 14:00:00,263.0,21.0,35
30.1, None,0.0,18.0, None,2016-08-26 14:15:00,282.0,22.0,35
30.3, None,0.0,16.3, None,2016-08-26 14:30:00,281.0,21.0,35
30.3, None,0.0,15.6, None,2016-08-26 14:45:00,280.0,21.0,35
30.1, 0.0,0.0,16.4, 0.0,2016-08-26 15:00:00,274.0,22.0,35
30.1, None,0.0,16.4, None,2016-08-26 15:15:00,276.0,22.0,35
29.7, None,0.0,19.2, None,2016-08-26 15:30:00,251.0,22.0,35
29.6, None,0.0,15.5, None,2016-08-26 15:45:00,256.0,24.0,35
28.8, 0.0,0.0,16.7, 0.0,2016-08-26 16:00:00,285.0,26.0,35
28.7, None,0.0,15.1, None,2016-08-26 16:15:00,271.0,26.0,35
28.6, None,0.0,18.6, None,2016-08-26 16:30:00,275.0,27.0,35
29.1, None,0.0,12.5, None,2016-08-26 16:45:00,253.0,26.0,35
28.9, 1.0,0.0,10.0, 0.0,2016-08-26 17:00:00,263.0,26.0,35
28.2, None,0.0,10.0, None,2016-08-26 17:15:00,268.0,28.0,35
27.4, None,0.0,12.7, None,2016-08-26 17:30:00,263.0,29.0,35
27.3, None,0.0,12.0, None,2016-08-26 17:45:00,269.0,29.0,35
27.1, 0.0,0.0,9.2, 0.0,2016-08-26 18:00:00,263.0,30.0,35
26.3, None,0.0,10.0, None,2016-08-26 18:15:00,254.0,32.0,35
25.1, None,0.0,11.1, None,2016-08-26 18:30:00,267.0,33.0,35
24.8, None,0.0,10.6, None,2016-08-26 18:45:00,272.0,30.0,35
23.9, 0.0,0.0,8.3, 0.0,2016-08-26 19:00:00,295.0,32.0,35
23.6, None,0.0,12.1, None,2016-08-26 19:15:00,287.0,33.0,35
23.1, None,0.0,5.9, None,2016-08-26 19:30:00,262.0,35.0,35
22.9, None,0.0,9.1, None,2016-08-26 19:45:00,277.0,36.0,35
22.7, 1.0,0.0,5.5, 0.0,2016-08-26 20:00:00,285.0,38.0,35
22.3, None,0.0,6.5, None,2016-08-26 20:15:00,306.0,39.0,35
22.3, None,0.0,9.4, None,2016-08-26 20:30:00,316.0,39.0,35
22.1, None,0.0,10.0, None,2016-08-26 20:45:00,325.0,40.0,35
21.8, 0.0,0.0,12.6, 0.0,2016-08-26 21:00:00,327.0,41.0,35
21.9, None,0.0,10.5, None,2016-08-26 21:15:00,334.0,40.0,35
21.7, None,0.0,10.3, None,2016-08-26 21:30:00,338.0,41.0,35
20.1, None,0.0,3.7, None,2016-08-26 21:45:00,181.0,48.0,35
19.6, 1.0,0.0,3.9, 0.0,2016-08-26 22:00:00,41.0,47.0,35
19.3, None,0.0,3.2, None,2016-08-26 22:15:00,6.0,47.0,35
18.6, None,0.0,2.7, None,2016-08-26 22:30:00,34.0,51.0,35
17.8, None,0.0,3.3, None,2016-08-26 22:45:00,43.0,52.0,35
17.5, 0.0,0.0,3.9, 0.0,2016-08-26 23:00:00,316.0,53.0,35
18.2, None,0.0,5.2, None,2016-08-26 23:15:00,325.0,53.0,35
17.5, None,0.0,4.0, None,2016-08-26 23:30:00,46.0,50.0,35
18.3, None,0.0,4.8, None,2016-08-26 23:45:00,2.0,48.0,35
17.0, 0.0,0.0,0.7, 0.0,2016-08-27 00:00:00,267.0,56.0,35
17.3, None,0.0,2.7, None,2016-08-27 00:15:00,21.0,51.0,35
16.1, None,0.0,0.7, None,2016-08-27 00:30:00,252.0,60.0,35
15.8, None,0.0,1.1, None,2016-08-27 00:45:00,345.0,57.0,35
15.8, 0.0,0.0,0.0, 0.0,2016-08-27 01:00:00,341.0,59.0,35
15.3, None,0.0,0.0, None,2016-08-27 01:15:00,263.0,63.0,35
14.7, None,0.0,0.0, None,2016-08-27 01:30:00,6.0,63.0,35
14.6, None,0.0,0.8, None,2016-08-27 01:45:00,347.0,62.0,35
14.1, 0.0,0.0,1.8, 0.0,2016-08-27 02:00:00,209.0,74.0,35
15.0, None,0.0,7.7, None,2016-08-27 02:15:00,307.0,59.0,35
15.1, None,0.0,2.6, None,2016-08-27 02:30:00,347.0,61.0,35
15.1, None,0.0,3.5, None,2016-08-27 02:45:00,42.0,60.0,35
15.2, 0.0,0.0,4.3, 0.0,2016-08-27 03:00:00,35.0,59.0,35
14.7, None,0.0,4.3, None,2016-08-27 03:15:00,50.0,63.0,35
13.6, None,0.0,3.7, None,2016-08-27 03:30:00,43.0,67.0,35
13.3, None,0.0,4.1, None,2016-08-27 03:45:00,37.0,68.0,35
12.9, 0.0,0.0,2.4, 0.0,2016-08-27 04:00:00,339.0,69.0,35
12.9, None,0.0,1.9, None,2016-08-27 04:15:00,79.0,69.0,35
13.0, None,0.0,0.1, None,2016-08-27 04:30:00,273.0,69.0,35
13.0, None,0.0,2.5, None,2016-08-27 04:45:00,92.0,71.0,35
12.7, 1.0,0.0,2.5, 0.0,2016-08-27 05:00:00,97.0,74.0,35
12.7, None,0.0,3.3, None,2016-08-27 05:15:00,338.0,76.0,35
13.1, None,0.0,6.1, None,2016-08-27 05:30:00,304.0,76.0,35
12.8, None,0.0,9.2, None,2016-08-27 05:45:00,275.0,82.0,35
11.8, 0.0,0.0,6.8, 0.0,2016-08-27 06:00:00,275.0,90.0,35
11.3, None,0.0,6.8, None,2016-08-27 06:15:00,272.0,94.0,35
11.4, None,0.0,8.8, None,2016-08-27 06:30:00,300.0,94.0,35
11.9, None,0.0,5.6, None,2016-08-27 06:45:00,304.0,91.0,35
14.0, -1.0,0.0,3.3, 0.0,2016-08-27 07:00:00,343.0,81.0,35
14.6, None,0.0,6.6, None,2016-08-27 07:15:00,293.0,79.0,35
15.1, None,0.0,7.4, None,2016-08-27 07:30:00,243.0,77.0,35
15.2, None,0.0,7.4, None,2016-08-27 07:45:00,249.0,78.0,35
15.3, 0.0,0.0,9.0, 0.0,2016-08-27 08:00:00,254.0,77.0,35
15.3, None,0.0,10.0, None,2016-08-27 08:15:00,272.0,78.0,35
