,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
22,1,EC,1120630,1014,BANKEIR,1417,BC,-120.233333,49.716667,1097.0,1954-08-20,1959-07-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
23,1,EC,1120633,1015,BANKIER CHAIN LAKE,1418,BC,-120.283333,49.7,1020.0,1974-05-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
48,1,EC,1125880,1072,OSPREY LAKE,1475,BC,-120.183333,49.7,1099.0,1928-09-01,1952-05-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
148,12,FLNRO-WMB,332,1880,ZZ CHAIN LAKE,2283,BC,-120.3,49.7,10.0,1979-05-01,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
227,17,ARDA,112046,4862,OSPREY LK ASB,6542,BC,-120.233333333333,49.7158333333333,1098.0,1971-04-04,1972-10-30,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
228,17,ARDA,112047,4863,TSUH,6543,BC,-120.166666666667,49.72,1082.0,1971-05-27,1972-08-28,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
229,17,ARDA,112048,4864,THIRSK,6544,BC,-120.055833333333,49.7116666666667,1013.0,1971-04-27,1972-09-28,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
230,17,ARDA,112049,4865,KIRTON,6545,BC,-119.9775,49.6891666666667,945.0,1971-04-27,1972-09-28,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
484,12,FLNRO-WMB,1151,10996,ZZ BULL CREEK TEMP,13162,BC,-119.9747167,49.59471667,1407.0,2013-05-30,2014-10-01,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
486,12,FLNRO-WMB,1180,11000,ZZ RED CREEK TEMP,13168,BC,-120.2208333,49.52916667,1400.0,2014-06-25,2018-09-11,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
488,12,FLNRO-WMB,1212,11412,ZZ KIRTON TS,13473,BC,-120.0233333,49.63778333,1491.0,2015-06-02,2015-10-06,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
493,12,FLNRO-WMB,1254,12017,ZZ LOST CHAIN TS,14074,BC,-120.0666667,49.64861667,1633.0,2015-08-06,2016-10-12,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
498,12,FLNRO-WMB,1285,12046,ZZ KATHLEEN LAKE TEMP,14103,BC,-120.06695,49.73833333,1397.0,2017-05-31,2017-10-20,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
511,14,ENV-ASP,2F01AP,12509,Trout Creek West,14531,BC,-120.1891,49.74017,1420.0,2019-12-16,2024-01-14,Unspecified,Cumulative Precipitation|Precipitation 1hr|Precipitation 24hr|Snow Depth|Snow Water Equivalent|Temperature (Mean)
512,12,FLNRO-WMB,1392,12523,MCNULTY EXT,14545,BC,-120.173222,49.555694,1595.0,2020-06-15,2024-01-13,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
