,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
11,1,EC,1162683,272,ENDERBY VALECAIRN FARM,675,BC,-119.166667,50.533333,335.0,1966-02-01,1967-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
14,1,EC,1164903,284,MARA LAKE,687,BC,-119.033333,50.716667,354.0,1965-06-01,1969-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
81,1,EC,1160483,1230,ARMSTRONG HULLCAR,1633,BC,-119.216667,50.5,505.0,1971-07-13,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
87,1,EC,1162680,1260,ENDERBY,1663,BC,-119.15,50.55,354.0,1893-09-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
88,1,EC,1162682,1261,ENDERBY ASHTON CREEK,1664,BC,-118.916667,50.55,351.0,1965-06-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
105,1,EC,1166945,1302,SALMON ARM,1705,BC,-119.25,50.7,506.0,1911-07-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
109,1,EC,1166R45,1306,SALMON ARM A,1709,BC,-119.2325,50.68278,527.3,1982-10-01,2013-02-20,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
153,12,FLNRO-WMB,346,1891,SALMON ARM,2294,BC,-119.235,50.685,527.0,1989-10-05,2023-04-18,Hourly,Dew Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
321,17,ARDA,116087,5585,RICARDO,7267,BC,-119.093333333333,50.5558333333333,363.0,1971-04-29,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
322,17,ARDA,116088,5586,GRINDROD,7268,BC,-119.103333333333,50.6383333333333,352.0,1971-03-18,1972-10-30,Daily,Precipitation (Cumulative)|Temperature (Max.)|Temperature (Min.)
323,17,ARDA,116097,5587,METCALFE,7269,BC,-119.131666666667,50.6758333333333,744.0,1971-04-06,1972-10-30,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
324,17,ARDA,116098,5588,CROSSMAN,7270,BC,-119.198333333333,50.6266666666667,530.0,1971-04-06,1972-10-31,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
325,17,ARDA,116099,5589,STEPHEY,7271,BC,-119.215,50.6733333333333,518.0,1971-04-28,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
326,17,ARDA,116101,5590,DETTLEBACH,7272,BC,-119.25,50.7230555555556,506.0,1971-03-18,1972-10-31,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
334,17,ARDA,116119,5603,OLEEN,7285,BC,-118.957222222222,50.5208333333333,536.0,1971-07-30,1972-09-29,Irregular,Precipitation (Cumulative)
335,17,ARDA,116121,5604,ASHTON 3200,7286,BC,-118.975,50.5733333333333,936.0,1971-04-05,1972-10-30,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
502,12,FLNRO-WMB,1323,12336,LARCH HILLS WEST,14392,BC,-119.1761111,50.6905556,892.0,2018-07-03,2024-01-14,Unspecified,Dew Point Temperature|Precipitation Amount|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
509,14,ENV-ASP,1F04P,12498,Enderby,14520,BC,-118.9269,50.6525,1950.0,2019-12-10,2024-01-14,Unspecified,Cumulative Precipitation|Precipitation 1hr|Precipitation 24hr|Snow Depth|Snow Water Equivalent|Temperature (Mean)
516,14,ENV-ASP,1F04P2,13008,,14940,BC,-118.9268,50.6529,,2021-12-08,2023-10-09,Unspecified,Cumulative Precipitation|Precipitation 1hr|Precipitation 24hr|Snow Water Equivalent|Temperature (Mean)
