RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None,17.77,190.8, None, None, None, None, None, None, None, None, None, None, None, 0.05, None, None, None, None,12.09, None, None, None, None,2017-06-05 10:00:00, None,23
None, None, None, None,15.37,168.2, None, None, None, None, None, None, None, None, None, None, None, 0.676, None, None, None, None,9.84, None, None, None, None,2017-06-05 11:00:00, None,23
None, None, None, None,16.03,176.9, None, None, None, None, None, None, None, None, None, None, None, 1.715, None, None, None, None,6.52, None, None, None, None,2017-06-05 12:00:00, None,23
None, None, None, None,16.04,173.7, None, None, None, None, None, None, None, None, None, None, None, 1.547, None, None, None, None,5.693, None, None, None, None,2017-06-05 13:00:00, None,23
None, None, None, None,18.23,180.9, None, None, None, None, None, None, None, None, None, None, None, 2.061, None, None, None, None,5.423, None, None, None, None,2017-06-05 14:00:00, None,23
None, None, None, None,18.94,186.3, None, None, None, None, None, None, None, None, None, None, None, 3.981, None, None, None, None,10.66, None, None, None, None,2017-06-05 15:00:00, None,23
None, None, None, None,19.65,199.4, None, None, None, None, None, None, None, None, None, None, None, 2.042, None, None, None, None,11.35, None, None, None, None,2017-06-05 16:00:00, None,23
None, None, None, None,18.81,194.6, None, None, None, None, None, None, None, None, None, None, None, 0.864, None, None, None, None,14.04, None, None, None, None,2017-06-05 17:00:00, None,23
None, None, None, None,22.2,178.1, None, None, None, None, None, None, None, None, None, None, None, 0.191, None, None, None, None,3.919, None, None, None, None,2017-06-05 18:00:00, None,23
None, None, None, None,22.42,180.7, None, None, None, None, None, None, None, None, None, None, None, -0.276, None, None, None, None,5.747, None, None, None, None,2017-06-05 19:00:00, None,23
None, None, None, None,19.34,179.9, None, None, None, None, None, None, None, None, None, None, None, -0.519, None, None, None, None,8.82, None, None, None, None,2017-06-05 20:00:00, None,23
None, None, None, None,17.54,200.7, None, None, None, None, None, None, None, None, None, None, None, -1.099, None, None, None, None,11.02, None, None, None, None,2017-06-05 21:00:00, None,23
None, None, None, None,13.86,178.5, None, None, None, None, None, None, None, None, None, None, None, -1.745, None, None, None, None,12.84, None, None, None, None,2017-06-05 22:00:00, None,23
None, None, None, None,15.16,179.6, None, None, None, None, None, None, None, None, None, None, None, -2.072, None, None, None, None,14.41, None, None, None, None,2017-06-05 23:00:00, None,23
None, None, None, None,13.68,183.3, None, None, None, None, None, None, None, None, None, None, None, -1.969, None, None, None, None,10.91, None, None, None, None,2017-06-06 00:00:00, None,23
None, None, None, None,9.49,191.4, None, None, None, None, None, None, None, None, None, None, None, -1.999, None, None, None, None,11.08, None, None, None, None,2017-06-06 01:00:00, None,23
None, None, None, None,10.07,199.0, None, None, None, None, None, None, None, None, None, None, None, -1.698, None, None, None, None,18.6, None, None, None, None,2017-06-06 02:00:00, None,23
None, None, None, None,12.62,174.5, None, None, None, None, None, None, None, None, None, None, None, -2.148, None, None, None, None,6.783, None, None, None, None,2017-06-06 03:00:00, None,23
None, None, None, None,20.38,179.1, None, None, None, None, None, None, None, None, None, None, None, -1.912, None, None, None, None,3.646, None, None, None, None,2017-06-06 04:00:00, None,23
None, None, None, None,21.73,177.6, None, None, None, None, None, None, None, None, None, None, None, -1.603, None, None, None, None,4.25, None, None, None, None,2017-06-06 05:00:00, None,23
None, None, None, None,21.92,179.9, None, None, None, None, None, None, None, None, None, None, None, -1.09, None, None, None, None,5.118, None, None, None, None,2017-06-06 06:00:00, None,23
None, None, None, None,23.42,161.0, None, None, None, None, None, None, None, None, None, None, None, -0.921, None, None, None, None,8.18, None, None, None, None,2017-06-06 07:00:00, None,23
None, None, None, None,28.64,166.7, None, None, None, None, None, None, None, None, None, None, None, -0.399, None, None, None, None,7.89, None, None, None, None,2017-06-06 08:00:00, None,23
None, None, None, None,20.78,161.0, None, None, None, None, None, None, None, None, None, None, None, 0.014, None, None, None, None,8.04, None, None, None, None,2017-06-06 09:00:00, None,23
None, None, None, None,32.18,174.3, None, None, None, None, None, None, None, None, None, None, None, 2.752, None, None, None, None,6.548, None, None, None, None,2017-06-06 10:00:00, None,23
None, None, None, None,36.15,180.2, None, None, None, None, None, None, None, None, None, None, None, 3.464, None, None, None, None,5.065, None, None, None, None,2017-06-06 11:00:00, None,23
None, None, None, None,35.11,175.5, None, None, None, None, None, None, None, None, None, None, None, 2.379, None, None, None, None,5.579, None, None, None, None,2017-06-06 12:00:00, None,23
None, None, None, None,32.88,171.9, None, None, None, None, None, None, None, None, None, None, None, 3.316, None, None, None, None,6.882, None, None, None, None,2017-06-06 13:00:00, None,23
None, None, None, None,30.66,168.6, None, None, None, None, None, None, None, None, None, None, None, 3.756, None, None, None, None,8.83, None, None, None, None,2017-06-06 14:00:00, None,23
None, None, None, None,28.63,166.8, None, None, None, None, None, None, None, None, None, None, None, 3.072, None, None, None, None,8.95, None, None, None, None,2017-06-06 15:00:00, None,23
None, None, None, None,35.82,171.6, None, None, None, None, None, None, None, None, None, None, None, 3.953, None, None, None, None,9.28, None, None, None, None,2017-06-06 16:00:00, None,23
None, None, None, None,39.32,177.1, None, None, None, None, None, None, None, None, None, None, None, 4.029, None, None, None, None,2.832, None, None, None, None,2017-06-06 17:00:00, None,23
None, None, None, None,40.73,175.8, None, None, None, None, None, None, None, None, None, None, None, 5.621, None, None, None, None,2.893, None, None, None, None,2017-06-06 18:00:00, None,23
None, None, None, None,38.76,177.8, None, None, None, None, None, None, None, None, None, None, None, 4.96, None, None, None, None,4.378, None, None, None, None,2017-06-06 19:00:00, None,23
None, None, None, None,38.7,179.9, None, None, None, None, None, None, None, None, None, None, None, 3.916, None, None, None, None,3.562, None, None, None, None,2017-06-06 20:00:00, None,23
None, None, None, None,30.49,169.6, None, None, None, None, None, None, None, None, None, None, None, 3.681, None, None, None, None,9.39, None, None, None, None,2017-06-06 21:00:00, None,23
None, None, None, None,30.89,156.9, None, None, None, None, None, None, None, None, None, None, None, 3.559, None, None, None, None,7.94, None, None, None, None,2017-06-06 22:00:00, None,23
None, None, None, None,34.08,165.6, None, None, None, None, None, None, None, None, None, None, None, 4.226, None, None, None, None,8.53, None, None, None, None,2017-06-06 23:00:00, None,23
None, None, None, None,34.49,167.7, None, None, None, None, None, None, None, None, None, None, None, 3.953, None, None, None, None,7.07, None, None, None, None,2017-06-07 00:00:00, None,23
None, None, None, None,26.92,179.7, None, None, None, None, None, None, None, None, None, None, None, 3.963, None, None, None, None,4.678, None, None, None, None,2017-06-07 01:00:00, None,23
None, None, None, None,26.14,179.9, None, None, None, None, None, None, None, None, None, None, None, 3.962, None, None, None, None,2.944, None, None, None, None,2017-06-07 02:00:00, None,23
None, None, None, None,26.61,193.2, None, None, None, None, None, None, None, None, None, None, None, 3.184, None, None, None, None,12.12, None, None, None, None,2017-06-07 03:00:00, None,23
None, None, None, None,28.25,186.9, None, None, None, None, None, None, None, None, None, None, None, 2.809, None, None, None, None,8.87, None, None, None, None,2017-06-07 04:00:00, None,23
None, None, None, None,10.84,178.1, None, None, None, None, None, None, None, None, None, None, None, 3.372, None, None, None, None,10.03, None, None, None, None,2017-06-07 05:00:00, None,23
None, None, None, None,10.05,172.5, None, None, None, None, None, None, None, None, None, None, None, 3.747, None, None, None, None,8.4, None, None, None, None,2017-06-07 06:00:00, None,23
None, None, None, None,11.58,145.6, None, None, None, None, None, None, None, None, None, None, None, 5.356, None, None, None, None,13.4, None, None, None, None,2017-06-07 07:00:00, None,23
None, None, None, None,25.29,139.4, None, None, None, None, None, None, None, None, None, None, None, 5.942, None, None, None, None,6.339, None, None, None, None,2017-06-07 08:00:00, None,23
None, None, None, None,28.92,163.2, None, None, None, None, None, None, None, None, None, None, None, 7.69, None, None, None, None,9.99, None, None, None, None,2017-06-07 09:00:00, None,23
None, None, None, None,23.84,176.7, None, None, None, None, None, None, None, None, None, None, None, 9.95, None, None, None, None,4.337, None, None, None, None,2017-06-07 10:00:00, None,23
None, None, None, None,29.81,174.9, None, None, None, None, None, None, None, None, None, None, None, 6.672, None, None, None, None,6.191, None, None, None, None,2017-06-07 11:00:00, None,23
None, None, None, None,34.62,176.4, None, None, None, None, None, None, None, None, None, None, None, 7.19, None, None, None, None,2.766, None, None, None, None,2017-06-07 12:00:00, None,23
None, None, None, None,39.79,174.5, None, None, None, None, None, None, None, None, None, None, None, 7.58, None, None, None, None,2.624, None, None, None, None,2017-06-07 13:00:00, None,23
None, None, None, None,32.03,174.5, None, None, None, None, None, None, None, None, None, None, None, 9.07, None, None, None, None,6.604, None, None, None, None,2017-06-07 14:00:00, None,23
None, None, None, None,35.71,178.4, None, None, None, None, None, None, None, None, None, None, None, 10.65, None, None, None, None,7.32, None, None, None, None,2017-06-07 15:00:00, None,23
None, None, None, None,35.58,166.2, None, None, None, None, None, None, None, None, None, None, None, 9.44, None, None, None, None,9.21, None, None, None, None,2017-06-07 16:00:00, None,23
None, None, None, None,41.36,156.2, None, None, None, None, None, None, None, None, None, None, None, 9.49, None, None, None, None,10.78, None, None, None, None,2017-06-07 17:00:00, None,23
None, None, None, None,40.39,156.2, None, None, None, None, None, None, None, None, None, None, None, 11.07, None, None, None, None,8.61, None, None, None, None,2017-06-07 18:00:00, None,23
None, None, None, None,40.24,153.8, None, None, None, None, None, None, None, None, None, None, None, 11.62, None, None, None, None,9.98, None, None, None, None,2017-06-07 19:00:00, None,23
None, None, None, None,37.31,150.0, None, None, None, None, None, None, None, None, None, None, None, 9.66, None, None, None, None,7.88, None, None, None, None,2017-06-07 20:00:00, None,23
None, None, None, None,39.8,148.7, None, None, None, None, None, None, None, None, None, None, None, 10.21, None, None, None, None,12.02, None, None, None, None,2017-06-07 21:00:00, None,23
None, None, None, None,47.49,146.1, None, None, None, None, None, None, None, None, None, None, None, 9.09, None, None, None, None,12.54, None, None, None, None,2017-06-07 22:00:00, None,23
None, None, None, None,45.62,137.3, None, None, None, None, None, None, None, None, None, None, None, 8.99, None, None, None, None,12.53, None, None, None, None,2017-06-07 23:00:00, None,23
None, None, None, None,42.51,138.8, None, None, None, None, None, None, None, None, None, None, None, 9.83, None, None, None, None,6.41, None, None, None, None,2017-06-08 00:00:00, None,23
None, None, None, None,46.44,134.9, None, None, None, None, None, None, None, None, None, None, None, 7.11, None, None, None, None,6.286, None, None, None, None,2017-06-08 02:00:00, None,23
None, None, None, None,49.38,136.7, None, None, None, None, None, None, None, None, None, None, None, 7.84, None, None, None, None,7.92, None, None, None, None,2017-06-08 03:00:00, None,23
None, None, None, None,47.79,137.7, None, None, None, None, None, None, None, None, None, None, None, 7.66, None, None, None, None,8.57, None, None, None, None,2017-06-08 04:00:00, None,23
None, None, None, None,44.66,140.9, None, None, None, None, None, None, None, None, None, None, None, 7.88, None, None, None, None,7.15, None, None, None, None,2017-06-08 05:00:00, None,23
None, None, None, None,42.75,137.7, None, None, None, None, None, None, None, None, None, None, None, 7.59, None, None, None, None,5.189, None, None, None, None,2017-06-08 06:00:00, None,23
None, None, None, None,41.72,135.2, None, None, None, None, None, None, None, None, None, None, None, 7.76, None, None, None, None,2.556, None, None, None, None,2017-06-08 07:00:00, None,23
None, None, None, None,37.91,131.7, None, None, None, None, None, None, None, None, None, None, None, 8.07, None, None, None, None,3.403, None, None, None, None,2017-06-08 08:00:00, None,23
None, None, None, None,41.28,130.1, None, None, None, None, None, None, None, None, None, None, None, 7.56, None, None, None, None,3.838, None, None, None, None,2017-06-08 09:00:00, None,23
None, None, None, None,38.36,126.9, None, None, None, None, None, None, None, None, None, None, None, 9.32, None, None, None, None,4.403, None, None, None, None,2017-06-08 10:00:00, None,23
