station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
12.0, None, 627.0, None, -5.2, -5.3, 181.0, None, None, 0.0, 190.0, None, 2023-01-01 00:00:00, None
13.0, None, 628.0, None, -5.9, -6.1, 179.0, None, None, 1.0, 190.0, None, 2023-01-01 01:00:00, None
13.0, None, 628.0, None, -6.2, -6.4, 180.0, None, None, 0.0, 190.0, None, 2023-01-01 02:00:00, None
13.0, None, 628.0, None, -6.7, -6.9, 179.0, None, None, 0.0, 190.0, None, 2023-01-01 03:00:00, None
13.0, None, 628.0, None, -6.8, -7.0, 178.0, None, None, 0.0, 189.0, None, 2023-01-01 04:00:00, None
13.0, None, 628.0, None, -7.0, -7.2, 179.0, None, None, 0.0, 189.0, None, 2023-01-01 05:00:00, None
14.0, None, 629.0, None, -7.5, -7.7, 179.0, None, None, 1.0, 189.0, None, 2023-01-01 06:00:00, None
14.0, None, 629.0, None, -7.3, -7.5, 179.0, None, None, 0.0, 189.0, None, 2023-01-01 07:00:00, None
13.0, None, 629.0, None, -7.2, -7.4, 179.0, None, None, 0.0, 188.0, None, 2023-01-01 08:00:00, None
11.0, None, 626.0, None, -2.8, -3.1, 176.0, None, None, None, 188.0, None, 2023-01-01 10:00:00, None
13.0, None, 628.0, None, -0.3, 0.6, 175.0, None, None, 2.0, 188.0, None, 2023-01-01 11:00:00, None
11.0, None, 627.0, None, -0.2, 0.1, 175.0, None, None, None, 189.0, None, 2023-01-01 12:00:00, None
14.0, None, 630.0, None, -0.4, -1.2, 176.0, None, None, 3.0, 189.0, None, 2023-01-01 13:00:00, None
0.0, None, 630.0, None, -3.3, -2.2, 175.0, None, None, 0.0, 189.0, None, 2023-01-01 14:00:00, None
0.0, None, 629.0, None, -4.7, -4.5, 175.0, None, None, None, 189.0, None, 2023-01-01 15:00:00, None
0.0, None, 628.0, None, -5.1, -5.0, 176.0, None, None, None, 189.0, None, 2023-01-01 16:00:00, None
0.0, None, 628.0, None, -5.7, -6.0, 176.0, None, None, 0.0, 189.0, None, 2023-01-01 17:00:00, None
1.0, None, 628.0, None, -5.8, -6.1, 177.0, None, None, 0.0, 189.0, None, 2023-01-01 18:00:00, None
1.0, None, 628.0, None, -6.6, -6.7, 176.0, None, None, 0.0, 189.0, None, 2023-01-01 19:00:00, None
1.0, None, 628.0, None, -6.3, -6.4, 177.0, None, None, 0.0, 189.0, None, 2023-01-01 20:00:00, None
2.0, None, 629.0, None, -5.9, -6.2, 177.0, None, None, 1.0, 188.0, None, 2023-01-01 21:00:00, None
2.0, None, 629.0, None, -6.0, -6.2, 174.0, None, None, 0.0, 188.0, None, 2023-01-01 22:00:00, None
2.0, None, 629.0, None, -6.3, -6.4, 176.0, None, None, 0.0, 188.0, None, 2023-01-01 23:00:00, None
2.0, None, 629.0, None, -6.6, -6.8, 174.0, None, None, 0.0, 188.0, None, 2023-01-02 00:00:00, None
1.0, None, 629.0, None, -6.7, -6.6, 174.0, None, None, 0.0, 188.0, None, 2023-01-02 01:00:00, None
1.0, None, 629.0, None, -5.9, -6.0, 175.0, None, None, 0.0, 188.0, None, 2023-01-02 02:00:00, None
1.0, None, 629.0, None, -5.7, -5.7, 174.0, None, None, 0.0, 188.0, None, 2023-01-02 03:00:00, None
1.0, None, 629.0, None, -5.6, -5.6, 174.0, None, None, 0.0, 188.0, None, 2023-01-02 04:00:00, None
1.0, None, 629.0, None, -5.9, -5.9, 173.0, None, None, 0.0, 188.0, None, 2023-01-02 05:00:00, None
0.0, None, 629.0, None, -5.6, -5.5, 173.0, None, None, 0.0, 188.0, None, 2023-01-02 06:00:00, None
1.0, None, 630.0, None, -5.8, -5.9, 173.0, None, None, 1.0, 188.0, None, 2023-01-02 07:00:00, None
1.0, None, 630.0, None, -5.8, -5.8, 173.0, None, None, 0.0, 188.0, None, 2023-01-02 08:00:00, None
1.0, None, 630.0, None, -5.4, -5.3, 173.0, None, None, 0.0, 188.0, None, 2023-01-02 09:00:00, None
3.0, None, 629.0, None, -4.4, -4.3, 173.0, None, None, None, 188.0, None, 2023-01-02 10:00:00, None
0.0, None, 628.0, None, -3.4, -2.8, 172.0, None, None, None, 188.0, None, 2023-01-02 11:00:00, None
1.0, None, 628.0, None, -3.3, -2.8, 172.0, None, None, 0.0, 188.0, None, 2023-01-02 12:00:00, None
None, None, 628.0, None, -3.2, -2.9, 172.0, None, None, 0.0, 188.0, None, 2023-01-02 13:00:00, None
None, None, 628.0, None, -3.1, -2.6, 172.0, None, None, 0.0, 188.0, None, 2023-01-02 14:00:00, None
None, None, 628.0, None, -3.4, -3.1, 171.0, None, None, 0.0, 188.0, None, 2023-01-02 15:00:00, None
