time,tasmin,tasmax,pcp,week_of_year
2016-04-01, -0.4, 14.0,0.0,14
2016-04-02, 2.0, 8.9,0.0,14
2016-04-03, -1.5, 9.8,4.6,14
2016-04-04, 2.3, 7.4,2.2,14
2016-04-05, 1.4, 7.1,26.8,14
2016-04-06, 1.5, 8.3,0.6,14
2016-04-07, -0.7, 14.9,0.0,14
